Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Jason Adam,SD,RP,FA,33,,9.573140041,11.47701845,,5,0,3.34019,1.1126,67,3,12,15,67,77,10.3898,3.12718,0.275529,3.63414
Lance Lynn,(N/A),SP,FA,37,,-21.18471972,-26.11138704,,6,10,4.40881,1.32806,21,0,0,0,118,109,8.31389,3.07617,0.293343,4.46379
Kyle Harrison,SF,SP,FA,23,,-12.49618284,-15.49334502,,7,12,4.10453,1.28338,24,0,0,0,126,128,9.15117,3.34564,0.289526,4.10432
Josh Hader,HOU,RP,FA,30,,23.51032771,28.50930435,,6,0,3.10286,1.08382,68,33,2,35,68,96,12.7273,3.46523,0.278814,3.11895
Javier Assad,CHC,SP,FA,27,,-24.36574649,-29.99883971,,7,9,4.28395,1.37182,45,0,1,1,137,113,7.46695,3.49248,0.290276,4.48391
J.P. Sears,ATH,SP,FA,29,,-24.39642424,-30.03633021,,10,14,4.54941,1.28613,31,0,0,0,176,145,7.3842,2.60365,0.284107,4.77112
Andrew Abbott,CIN,SP,FA,25,,-23.34325763,-28.74928184,,8,11,4.56676,1.34014,24,0,0,0,133,127,8.60055,3.28134,0.290783,4.61752
Zack Littell,TB,SP,FA,29,,-11.93707767,-14.81007667,,8,10,4.27355,1.25442,33,0,1,1,134,114,7.67463,2.06596,0.294153,4.30364
Jameson Taillon,CHC,SP,FA,33,,-15.12395793,-18.70468275,,10,14,4.31106,1.25861,29,0,0,0,165,132,7.18035,2.16925,0.290933,4.33194
Tyler Anderson,LAA,SP,FA,35,,-35.75719912,-43.92004696,,9,13,4.6227,1.37448,29,0,0,0,169,136,7.26844,3.26549,0.288985,4.77714
DJ Herz,WSH,SP,FA,24,,-17.50955219,-21.62005739,,6,8,4.19537,1.35907,36,0,1,1,109,119,9.7866,4.54297,0.282946,4.34423
Patrick Corbin,(N/A),SP,FA,35,,-34.47382436,-42.351667,,4,7,4.95279,1.45779,16,0,0,0,88,68,6.95017,2.94593,0.309341,4.72839
David Festa,MIN,SP,FA,24,,-9.596666209,-11.9499188,,6,7,3.99568,1.28337,42,0,1,1,106,111,9.41748,3.30575,0.29534,3.86761
Reid Detmers,LAA,SP,FA,25,,-7.42433621,-9.295169035,,7,8,4.10169,1.24124,36,0,1,1,116,128,9.9127,3.13936,0.292009,3.93338
A.J. Puk,ARI,RP,FA,29,,11.08559302,13.32534912,,5,0,3.26342,1.17216,64,17,7,24,64,78,10.9272,3.1436,0.294592,3.31499
Matthew Boyd,CHC,SP,FA,34,,1,1,,8,12,3.79316,1.21364,31,0,1,1,122,124,9.13175,2.85047,0.287531,3.90045
Tomoyuki Sugano,BAL,SP,FA,35,,-26.48674116,-32.59085385,,7,10,4.68603,1.31314,23,0,0,0,129,96,6.65018,1.97211,0.297577,4.66572
Cade Smith,CLE,RP,FA,25,,12.19479679,14.68087911,,4,0,3.01689,1.10654,68,2,14,16,68,86,11.3605,3.07211,0.287831,2.96316
Spencer Strider,ATL,SP,FA,26,,22.77856632,27.6150372,,9,13,3.24533,1.09027,21,0,0,0,119,159,12.0373,2.82402,0.294286,3.00667
Andre Pallante,STL,SP,FA,26,,-22.88872304,-28.19380656,,9,12,3.92338,1.40656,41,0,1,1,153,113,6.64469,3.61746,0.300482,4.05092
Luke Weaver,NYY,RP,FA,31,,-0.969484436,-1.406857308,,3,0,3.91239,1.20041,68,6,13,19,68,73,9.6173,2.68001,0.287958,3.84469
Eduardo Rodriguez,ARI,SP,FA,31,,-5.684461109,-7.168911508,,10,12,3.84806,1.29121,32,0,1,1,143,132,8.30612,2.82654,0.30005,3.88056
Austin Gomber,COL,SP,FA,31,,-47.43381439,-58.18974429,,7,10,5.16996,1.40834,26,0,0,0,143,102,6.42316,2.50475,0.302968,4.93198
Jon Gray,TEX,SP,FA,33,,-16.49964918,-20.38588037,,8,10,4.36021,1.27222,37,0,1,1,145,133,8.21791,2.74773,0.292372,4.10732
Griffin Jax,MIN,RP,FA,30,,12.58509197,15.15784902,,5,0,3.21057,1.10877,70,8,11,19,70,83,10.6383,2.53385,0.293182,3.14128
Chris Flexen,CHC,SP,FA,30,,1,1,,1,0,4.5569,1.38322,16,0,1,1,16,13,7.29927,2.98301,0.298757,4.46654
Raisel Iglesias,ATL,RP,FA,35,,17.82847368,21.56565369,,5,0,3.14109,1.10393,68,32,1,33,68,76,10.082,2.24934,0.292777,3.21537
Ryan Feltner,COL,SP,FA,28,,-42.89122411,-52.63835916,,7,14,4.78143,1.39537,31,0,0,0,170,147,7.77237,3.177,0.305067,4.50738
Lucas Giolito,BOS,SP,FA,30,,-19.26513465,-23.76551049,,8,10,4.42815,1.32263,33,0,1,1,137,137,9.01508,3.15694,0.299533,4.24908
Robert Suarez,SD,RP,FA,34,,8.752298644,10.47388886,,5,0,3.65368,1.20146,65,28,4,32,65,65,9.02946,3.05815,0.283487,3.80686
Ryan Helsley,STL,RP,BLUE,30,,23.52582019,27.93036637,9,6,0,2.91613,1.11329,66,35,2,37,66,82,11.1473,3.29888,0.28249,3.00791
Jesus Luzardo,PHI,SP,FA,27,,-6.408667853,-8.053946324,,10,12,4.14658,1.24795,41,0,1,1,158,163,9.28894,3.09802,0.286496,4.13658
Dean Kremer,BAL,SP,FA,29,,-16.72077857,-20.65611702,,8,12,4.21197,1.31099,24,0,0,0,130,115,7.94752,3.01913,0.290647,4.33987
Jeffrey Springs,ATH,SP,FA,32,,1.792122682,1.968033173,,8,13,3.71524,1.21561,34,0,1,1,133,131,8.87,2.51736,0.291452,3.87124
