Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Bryan Woo,8,14,3.71208,26,0,0,0,134,125,8.40062,1.97042,
Kumar Rocker,6,11,3.82899,36,0,1,1,122,125,9.26384,2.65698,
Ryan Feltner,7,14,4.78142,31,0,0,0,170,147,7.77239,3.17698,
Jon Gray,8,10,4.35298,40,0,1,1,148,136,8.22947,2.74231,
Erick Fedde,9,15,4.21055,29,0,0,0,164,144,7.90909,2.81807,
Walker Buehler,9,12,4.26283,40,0,1,1,150,129,7.76386,2.76702,
Ryan Pepiot,10,15,4.03516,29,0,0,0,155,163,9.47972,3.31433,
Sean Manaea,9,14,4.173,28,0,0,0,159,160,9.04505,3.05611,
Jeffrey Springs,8,13,3.71524,34,0,1,1,133,131,8.86997,2.51738,
David Peterson,9,13,3.89694,32,0,1,1,147,136,8.36418,3.56251,
Matthew Boyd,8,12,3.79316,31,0,1,1,122,124,9.13175,2.85047,
Edwin Díaz,5,0,2.94196,65,36,2,38,65,93,12.8696,3.22208,
Félix Bautista,5,0,2.66014,60,26,4,30,60,85,12.7927,3.23062,
Emmanuel Clase,5,0,2.62612,66,34,2,36,66,66,9.04999,1.95132,
Andre Pallante,9,12,3.92336,41,0,1,1,153,113,6.64477,3.61746,
Reid Detmers,7,8,4.10169,36,0,1,1,116,128,9.91271,3.13936,
Robbie Ray,9,15,3.90717,28,0,0,0,151,161,9.64346,2.88175,
Gavin Williams,8,13,3.98842,26,0,0,0,131,132,9.06988,3.42434,
Miles Mikolas,9,15,4.45862,31,0,0,0,176,123,6.29175,1.74883,
Tyler Mahle,8,13,4.28777,26,0,0,0,141,131,8.38424,2.86116,
Luis Severino,9,15,4.30625,31,0,0,0,177,152,7.72776,2.94098,
Merrill Kelly,9,14,4.03267,26,0,0,0,149,131,7.89457,2.78278,
Ryan Helsley,6,0,2.91613,66,35,2,37,66,82,11.1473,3.29888,
Lucas Giolito,8,10,4.42816,33,0,1,1,137,137,9.01506,3.15694,
Bowden Francis,11,12,4.1332,36,0,1,1,157,145,8.29143,2.46266,
Mitchell Parker,8,12,4.28713,36,0,1,1,148,131,7.95812,3.35278,
Alex Cobb,5,10,3.82118,18,0,0,0,95,78,7.41928,2.74373,
Josh Hader,6,0,3.10286,68,33,2,35,68,96,12.7273,3.46521,
Ronel Blanco,10,14,4.15411,28,0,0,0,159,158,8.92771,3.74572,
Shane Bieber,6,8,3.6179,25,0,1,1,96,93,8.68033,2.29353,
Andrés Muñoz,6,0,2.72693,64,26,4,30,64,85,11.9369,3.45395,
Jameson Taillon,10,14,4.31105,29,0,0,0,165,132,7.18037,2.16923,
Andrew Abbott,8,11,4.56678,24,0,0,0,133,127,8.60045,3.28134,
Tanner Scott,6,0,3.03171,66,25,8,33,66,82,11.1406,4.01356,
Jeff Hoffman,4,0,2.97653,65,26,4,30,65,80,11.0356,3.01004,
Luis Garcia,9,9,4.00506,33,0,1,1,121,119,8.88572,2.84378,
Jake Irvin,9,14,4.43507,29,0,0,0,163,135,7.47149,2.8601,
Cade Smith,4,0,3.01844,68,2,14,16,68,86,11.3629,3.07271,
Max Meyer,7,11,4.29614,34,0,1,1,133,117,7.89286,3.09899,
Devin Williams,5,0,2.94775,63,31,3,34,63,84,11.9478,4.02862,
Kutter Crawford,8,7,4.35245,53,0,1,1,134,129,8.66515,2.51331,
Tobias Myers,8,10,4.19632,42,0,1,1,142,129,8.21493,2.7755,
Ryan Weathers,7,12,4.29696,32,0,1,1,142,124,7.9101,3.31796,
Kris Bubic,7,8,4.0665,42,0,1,1,115,109,8.56916,3.20059,
Aaron Civale,8,11,4.31437,39,0,1,1,146,136,8.40987,2.68879,
Chris Paddack,7,7,4.22044,55,0,1,1,124,115,8.31313,2.26959,
David Festa,6,7,3.99565,42,0,1,1,106,111,9.41759,3.30575,
Griffin Jax,5,0,3.21056,70,8,11,19,70,83,10.6384,2.5339,
Spencer Arrighetti,9,13,4.32247,26,0,0,0,138,145,9.42249,3.86639,
Edward Cabrera,7,10,4.16853,35,0,1,1,125,133,9.61473,4.25922,
Justin Verlander,8,12,4.18403,24,0,0,0,138,111,7.20782,2.45249,
Davis Martin,6,11,4.50847,24,0,0,0,123,108,7.86315,3.33578,
Matt Strahm,5,0,3.26625,67,3,12,15,67,79,10.599,2.32544,
Luis Gil,7,9,4.17668,32,0,1,1,114,128,10.0852,4.32398,
Kyle Freeland,7,12,5.04391,28,0,0,0,152,109,6.49314,2.47503,
Dean Kremer,8,12,4.21197,24,0,0,0,130,115,7.94758,3.01916,
Charlie Morton,9,14,4.2903,28,0,0,0,154,153,8.91131,3.56358,
Kyle Gibson,7,11,4.36011,23,0,0,0,130,110,7.58112,3.3119,
Tyler Anderson,9,13,4.62271,29,0,0,0,169,136,7.26848,3.26559,
Shane Baz,8,11,4.28818,39,0,1,1,142,131,8.31998,3.29837,
Steven Matz,6,8,4.00892,42,0,1,1,116,102,7.91952,2.7311,
Martín Pérez,6,11,4.55554,24,0,0,0,136,100,6.64928,3.28325,
Grant Holmes,6,7,3.99362,45,0,1,1,114,110,8.651,2.9396,
Zack Littell,8,10,4.2684,35,0,1,1,136,116,7.68271,2.06232,
Bryan Abreu,4,0,3.15222,72,2,15,17,72,93,11.5761,3.67233,
Raisel Iglesias,5,0,3.14111,68,32,1,33,68,76,10.082,2.24938,
Kyle Harrison,7,12,4.10453,24,0,0,0,126,128,9.15113,3.34562,
Casey Mize,6,11,4.23514,23,0,0,0,118,94,7.17663,2.53642,
Antonio Senzatela,6,8,5.06593,42,0,1,1,135,85,5.65706,2.60992,
Ryan Walker,5,0,3.03958,68,28,5,33,68,81,10.6964,2.81368,
Jose Quintana,8,12,4.30568,24,0,0,0,131,108,7.3663,3.52164,
Chris Martin,4,0,3.37252,58,20,6,26,58,58,9.01643,1.64429,
Justin Martinez,5,0,3.10974,67,17,9,26,67,84,11.2931,4.73139,
Clayton Kershaw,5,7,3.80886,13,0,0,0,68,63,8.36371,2.41063,
Aroldis Chapman,5,0,3.23509,63,12,9,21,63,93,13.3189,5.10149,
Jonathan Cannon,7,11,4.75123,32,0,1,1,155,115,6.63299,3.05126,
Andrew Heaney,7,10,4.51024,35,0,1,1,130,124,8.58218,2.81667,
Gregory Santos,3,0,2.94792,62,5,13,18,62,67,9.74429,2.92704,
Simeon Woods Richardson,6,12,4.54403,26,0,0,0,130,111,7.69279,3.42852,
Lance Lynn,6,10,4.40882,21,0,0,0,118,109,8.31385,3.07623,
Marcus Stroman,8,9,4.39137,42,0,1,1,136,102,6.74715,3.10651,
Orion Kerkering,4,0,3.16954,63,5,12,17,63,72,10.348,2.82612,
Eury Pérez,4,8,3.86038,15,0,0,0,73,80,9.75956,2.87186,
Aaron Bummer,5,0,3.0264,61,1,14,15,61,71,10.4223,3.60012,
Rhett Lowder,6,7,4.64963,42,0,1,1,117,93,7.15619,2.81887,
Robert Garcia,5,0,3.46436,64,8,10,18,64,74,10.4553,3.22983,
Jordan Montgomery,7,7,4.0693,42,0,1,1,117,93,7.16345,2.74044,
Trevor Megill,3,0,3.43453,64,28,2,30,64,78,10.9673,3.18885,
Quinn Mathews,5,8,3.97585,28,0,1,1,99,93,8.47029,3.31357,
Jordan Hicks,8,11,4.06093,40,0,1,1,136,127,8.36578,4.01884,
DJ Herz,6,8,4.19536,36,0,1,1,109,119,9.78663,4.5429,
Alec Marsh,7,7,4.47772,36,0,1,1,111,106,8.59885,3.30575,
Lance McCullers Jr.,5,5,3.68977,39,0,1,1,92,90,8.83822,3.56985,
Frankie Montas,6,9,4.35447,19,0,0,0,102,97,8.5838,3.43346,
Sean Burke,6,9,4.66982,31,0,1,1,118,111,8.51742,4.12918,
A.J. Puk,5,0,3.2634,64,17,7,24,64,78,10.9272,3.14362,
Lucas Erceg,4,0,3.45557,67,11,10,21,67,75,10.1396,3.73948,
Luis L. Ortiz,8,10,4.288,38,0,1,1,149,127,7.66525,3.27628,
Zebby Matthews,5,5,4.02931,39,0,1,1,87,80,8.25044,1.8677,
David Bednar,4,0,3.70785,64,28,4,32,64,68,9.61732,3.27651,
Ryan Pressly,3,0,3.37857,61,25,5,30,61,63,9.32453,2.69163,
Austin Gomber,7,10,5.16996,26,0,0,0,143,102,6.42318,2.50475,
Kyle Wright,6,5,4.24177,35,0,1,1,94,78,7.47265,3.02588,
Keegan Akin,3,0,3.4232,70,2,16,18,70,79,10.2067,2.47609,
Pete Fairbanks,4,0,3.46473,60,22,7,29,60,67,10.0373,3.38715,
Jeremiah Estrada,4,0,3.25938,63,3,13,16,63,85,12.1162,3.89994,
Bailey Falter,6,8,4.48684,43,0,1,1,124,91,6.64518,2.62266,
Blake Treinen,5,0,3.33735,59,6,14,20,59,64,9.69823,2.79242,
Mitch Spence,6,8,4.35932,31,0,1,1,120,94,7.05789,2.72773,
Garrett Whitlock,4,0,3.6239,67,2,16,18,67,67,9.06572,2.10601,
Michael Lorenzen,7,8,4.55671,56,0,1,1,148,114,6.91506,3.67664,
JP Sears,10,14,4.54942,31,0,0,0,176,145,7.38418,2.60367,
Ben Joyce,3,0,3.47136,62,7,10,17,62,75,10.8404,4.05027,
Javier Assad,7,9,4.28392,45,0,1,1,137,113,7.46702,3.49248,
Ben Lively,9,12,4.52277,26,0,0,0,141,111,7.05754,2.91757,
Ian Anderson,5,7,4.25919,24,0,1,1,92,79,7.76446,3.65942,
Cade Cavalli,5,6,4.2288,28,0,1,1,82,78,8.51756,3.65719,
Fernando Cruz,4,0,3.25185,61,0,13,13,61,83,12.2263,3.95882,
Jason Adam,5,0,3.34289,67,3,12,15,67,77,10.3919,3.12783,
Michael Soroka,7,6,4.44239,52,0,1,1,121,113,8.41088,3.53453,
Colin Rea,6,8,4.53009,31,0,1,1,122,97,7.12461,2.45625,
José Alvarado,4,0,3.31413,60,3,10,13,60,69,10.4143,4.01792,
Paul Blackburn,7,6,4.38895,46,0,1,1,115,94,7.37389,2.87015,
Yariel Rodríguez,6,5,3.98689,59,0,1,1,100,105,9.44092,3.79196,
Hunter Harvey,3,0,3.53348,60,2,14,16,60,62,9.32819,2.81821,
Cade Povich,6,7,4.24202,27,0,1,1,88,81,8.28021,3.40487,
Cody Bradford,5,4,4.20317,47,0,1,1,88,79,8.04619,1.96524,
