Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Huascar Brazobán,3,0,4.01908,1.34713,51,0,7,7,51,52,9.20081,4.26988,0.289725,4.00558
Huascar Ynoa,2,0,4.11534,1.30719,36,0,1,1,36,36,8.95069,3.33345,0.296424,3.96399
Hunter Bigge,3,0,4.19159,1.39144,55,0,8,8,55,60,9.77415,4.50281,0.292061,4.25749
Hunter Brown,12,16,3.70995,1.25772,29,0,0,0,166,171,9.28279,3.17212,0.295452,3.71778
Hunter Gaddis,4,0,4.02699,1.23285,65,0,17,17,65,59,8.21339,2.69591,0.283698,4.27953
Hunter Greene,9,16,3.89819,1.15204,29,0,0,0,169,195,10.3838,3.18612,0.275058,3.947
Hunter Harvey,3,0,3.53348,1.20148,60,2,14,16,60,62,9.32816,2.8182,0.296908,3.44418
Hunter Stratton,1,0,4.10955,1.32387,15,0,1,1,15,14,8.53862,3.48365,0.295233,4.06802
Hunter Strickland,1,0,4.69712,1.40675,35,0,0,0,35,29,7.51537,3.80698,0.288091,4.91402
Hurston Waldrep,2,1,4.45813,1.44115,15,0,1,1,29,26,8.17437,4.0322,0.297971,4.47781
Ian Anderson,5,7,4.25919,1.4059,24,0,1,1,92,79,7.76446,3.65945,0.300378,4.25858
Ian Hamilton,3,0,3.46018,1.24929,60,1,15,16,60,66,9.94607,3.62046,0.28929,3.53824
Ian Seymour,2,1,4.37967,1.31292,18,0,1,1,32,29,8.04229,3.10787,0.288282,4.53055
J.B. Wendelken,1,0,4.14842,1.35435,19,0,1,1,19,17,8.12387,3.71316,0.290674,4.39234
J.P. France,2,1,4.31799,1.37193,23,0,1,1,30,27,8.11312,3.4487,0.293956,4.43265
J.T. Ginn,4,5,4.43819,1.37309,35,0,1,1,91,67,6.63164,3.09332,0.294026,4.53242
Jack Dashwood,2,0,4.45558,1.33124,42,0,1,1,42,38,8.10974,3.0197,0.291693,4.54982
Jack Dreyer,1,0,4.15795,1.32294,19,0,1,1,19,19,8.93854,3.56954,0.287454,4.20895
Jack Flaherty,11,16,3.79701,1.21377,29,0,0,0,164,178,9.7736,2.86578,0.290162,3.81851
Jack Kochanowicz,5,6,4.78995,1.39688,29,0,1,1,97,54,5.03445,2.45755,0.297436,4.85318
Jack Leiter,6,7,4.77849,1.37374,39,0,1,1,112,113,9.05585,3.98113,0.285757,4.68733
Jack Neely,0,0,4.1038,1.2805,10,0,1,1,10,10,9.42491,3.53848,0.285,4.07934
Jack O'Loughlin,0,0,4.86104,1.47189,8,0,1,1,8,6,6.85794,3.47591,0.303886,4.8173
Jackson Jobe,5,8,4.62877,1.37302,31,0,1,1,106,82,6.97849,3.35344,0.283943,4.78419
Jackson Kowar,2,0,4.32968,1.39437,35,0,1,1,35,34,8.86337,4.06488,0.293837,4.3614
Jackson Rutledge,1,1,4.68855,1.41174,26,0,1,1,32,26,7.32275,3.73657,0.289855,4.75576
Jacob Barnes,1,0,4.60256,1.37874,24,0,1,1,24,20,7.51697,3.17297,0.295899,4.54931
Jacob deGrom,9,16,2.98784,0.964991,26,0,0,0,132,178,12.1184,1.83806,0.286535,2.76165
Jacob Latz,2,0,4.41254,1.41575,46,0,1,1,46,47,9.10186,4.45463,0.288785,4.52688
Jacob Lopez,2,0,4.06841,1.32849,41,0,1,1,41,40,8.72425,3.76876,0.287471,4.31111
Jacob Misiorowski,2,0,4.45749,1.38216,36,0,1,1,36,39,9.7602,4.77866,0.2826,4.69893
Jacob Waguespack,3,1,4.14614,1.34449,43,0,1,1,50,48,8.74604,3.48514,0.297888,4.17247
Jacob Wallace,1,0,4.87466,1.53486,10,0,1,1,10,9,8.15008,5.26402,0.292498,4.92868
Jacob Webb,3,0,4.25986,1.32699,62,2,14,16,62,63,9.18089,3.94581,0.286373,4.16848
Jaden Hill,2,0,5.00782,1.44553,42,0,1,1,42,37,7.87601,3.69072,0.305933,4.83815
Jairo Iriarte,3,3,4.96548,1.47805,30,0,1,1,66,56,7.69398,4.31194,0.293365,5.06416
Jake Bird,2,0,4.60576,1.44534,61,1,10,11,61,52,7.63818,3.75599,0.307595,4.47926
