Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Landon Knack,2,1,4.25014,1.25252,37,0,1,1,43,42,8.7921,2.83897,0.28539,4.2653
Liam Hendriks,4,0,3.88399,1.22476,61,23,6,29,61,70,10.3232,2.8571,0.301096,3.77066
Logan Allen,2,3,4.32607,1.37991,6,0,0,0,34,29,7.76713,3.43111,0.293331,4.52584
Logan Evans,1,1,4.35589,1.35091,10,0,1,1,16,13,7.07082,3.24874,0.287287,4.54956
Logan Gilbert,12,19,3.36066,1.09439,32,0,0,0,196,201,9.23668,1.99725,0.283459,3.47296
Logan Henderson,1,0,4.09002,1.19804,10,0,1,1,10,10,9.3759,2.65055,0.281106,4.15164
Logan VanWey,1,0,4.2781,1.40678,22,0,1,1,22,22,8.99442,4.45219,0.290682,4.48572
Logan Webb,13,20,3.32443,1.18614,32,0,0,0,201,171,7.68182,1.97591,0.300459,3.21437
Lou Trivino,4,0,4.3535,1.38225,56,0,10,10,56,53,8.47884,3.7704,0.29489,4.25275
Louis Varland,4,1,3.96763,1.2452,56,0,7,7,63,61,8.70847,2.51113,0.299459,3.82705
Luarbert Arias,3,0,4.58797,1.36286,44,0,1,1,44,39,8.00943,3.4307,0.289712,4.70211
Lucas Erceg,4,0,3.45557,1.26112,67,11,10,21,67,75,10.1396,3.73948,0.298995,3.47264
Lucas Gilbreath,2,0,4.7292,1.48531,50,0,4,4,50,46,8.29608,4.62022,0.301248,4.59467
Lucas Giolito,8,10,4.42815,1.32263,33,0,1,1,137,137,9.01508,3.15694,0.299533,4.24908
Lucas Sims,3,0,4.48533,1.3908,58,1,11,12,58,60,9.30003,4.81271,0.283329,4.67932
Luinder Avila,1,0,4.77259,1.47862,12,0,1,1,12,9,6.54966,3.95658,0.297303,4.74434
Luis Castillo,12,18,3.56023,1.16676,31,0,0,0,181,184,9.15106,2.56042,0.284316,3.70861
Luis Contreras,2,0,4.32457,1.34013,44,0,1,1,44,43,8.74863,3.79168,0.287945,4.40571
Luis Curvelo,1,0,4.70436,1.35307,22,0,1,1,22,20,8.01065,3.37824,0.287237,4.73044
Luis Frías,2,0,4.25045,1.39316,34,0,1,1,34,34,9.01626,4.1265,0.29758,4.13151
Luis Garcia,9,9,4.00505,1.24176,33,0,1,1,121,119,8.88575,2.84378,0.287675,4.04935
Luis García,1,0,3.8814,1.32519,17,0,1,1,17,15,8.04718,2.87278,0.306874,3.77632
Luis Gil,7,9,4.17669,1.31837,32,0,1,1,114,128,10.0852,4.324,0.279177,4.31031
Luis González,2,0,3.99955,1.27408,36,0,1,1,36,34,8.48668,2.8713,0.291243,4.18506
Luis Guerrero,2,0,4.47116,1.41658,42,0,1,1,42,42,9.07125,4.48037,0.295425,4.50257
Luis L. Ortiz,8,10,4.28669,1.342,38,0,1,1,149,127,7.66501,3.27626,0.289574,4.4814
Luis Mey,2,0,5.69571,1.7018,42,0,1,1,42,37,7.89032,6.14578,0.299297,5.68823
Luis Patiño,1,0,4.56723,1.36026,12,0,1,1,12,10,7.62594,3.61023,0.281667,4.75535
Luis Peralta,3,0,4.86208,1.51332,61,2,12,14,61,60,8.91535,4.85414,0.302174,4.91004
Luis Severino,9,15,4.30625,1.30721,31,0,0,0,177,152,7.72776,2.94098,0.291788,4.35182
Luke Jackson,3,0,3.95823,1.35847,55,0,10,10,55,58,9.56174,4.02158,0.299422,4.06237
Luke Little,2,0,3.41419,1.29085,40,0,1,1,40,48,10.8163,4.86991,0.284518,3.69531
Luke Weaver,3,0,3.91239,1.20041,68,6,13,19,68,73,9.6173,2.68001,0.287958,3.84469
Lyon Richardson,0,0,4.81947,1.45808,12,0,1,1,12,11,8.48469,4.29408,0.298023,4.7924
MacKenzie Gore,10,17,3.85657,1.27974,31,0,0,0,167,178,9.60836,3.38785,0.294244,3.85741
Manuel Rodríguez,4,0,3.81119,1.2972,61,2,13,15,61,58,8.60927,3.39285,0.297735,3.88931
Marc Church,3,0,4.41802,1.3501,60,0,5,5,60,60,8.98951,3.71528,0.291058,4.34336
Marcus Stroman,8,9,4.39136,1.37031,42,0,1,1,136,102,6.74715,3.10645,0.293353,4.43637
Mark Leiter Jr.,3,0,3.90964,1.23135,58,0,12,12,58,67,10.4698,3.44346,0.289009,3.9439
Martín Pérez,6,11,4.55557,1.44676,24,0,0,0,136,100,6.64918,3.28327,0.302341,4.62422
Mason Adams,1,2,4.76415,1.37587,5,0,0,0,27,19,6.30003,2.63629,0.2978,4.7792
Mason Barnett,0,1,4.46959,1.35585,2,0,0,0,9,8,7.85424,3.53483,0.286569,4.59953
Mason Black,3,1,4.26796,1.3247,37,0,1,1,50,44,7.9859,3.09946,0.292683,4.28871
Mason Englert,2,0,4.34697,1.29291,46,0,1,1,46,41,7.94948,2.82577,0.29114,4.32978
Mason Fluharty,1,0,4.14188,1.31365,22,0,1,1,22,21,8.45288,3.42443,0.286838,4.29582
Mason Miller,4,0,2.69784,1.00787,67,30,2,32,67,98,13.1836,3.12338,0.282279,2.60136
Mason Montgomery,3,0,4.04288,1.29649,60,1,12,13,60,58,8.75173,3.32355,0.289331,4.16556
Mason Thompson,3,0,4.19827,1.36562,42,0,1,1,42,35,7.55673,3.41815,0.296975,4.1813
Matt Barnes,1,0,4.63872,1.4153,28,0,0,0,28,25,7.97383,3.8693,0.295584,4.46856
Matt Bowman,1,0,4.52578,1.41694,19,0,1,1,19,16,7.44684,3.65151,0.297589,4.56602
Matt Brash,3,0,3.01453,1.20397,48,0,1,1,48,62,11.614,3.89494,0.292326,3.13253
Matt Canterino,1,0,4.30984,1.36535,12,0,1,1,12,13,9.40823,4.02037,0.293079,4.32043
Matt Festa,1,0,4.32752,1.31929,16,0,1,1,16,15,8.53013,3.50252,0.28814,4.32257
Matt Krook,1,0,4.22989,1.46695,21,0,1,1,21,21,8.79586,5.06423,0.292889,4.3828
Matt Manning,2,1,4.14441,1.27954,28,0,1,1,35,29,7.45608,2.83946,0.285225,4.22636
Matt Moore,2,0,4.60293,1.42619,28,0,1,1,28,26,8.3816,4.11802,0.293752,4.75943
Matt Pushard,1,0,4.62453,1.42154,24,0,1,1,24,20,7.42602,3.65445,0.294873,4.77103
Matt Strahm,5,0,3.26643,1.05447,67,3,12,15,67,79,10.599,2.32541,0.280517,3.37837
Matt Svanson,2,0,4.41717,1.40567,35,0,1,1,35,25,6.4767,3.31802,0.295813,4.5498
Matt Waldron,4,5,4.51275,1.28683,21,0,1,1,80,66,7.41042,2.5819,0.287658,4.53826
Matthew Boyd,8,12,3.79316,1.21364,31,0,1,1,122,124,9.13175,2.85047,0.287531,3.90045
Matthew Liberatore,5,2,3.96708,1.30017,65,2,12,14,85,78,8.30443,3.25575,0.291262,4.08453
Max Fried,12,17,3.42455,1.19565,29,0,0,0,174,162,8.33718,2.58115,0.290496,3.53739
Max Kranick,2,0,4.31608,1.3203,44,0,1,1,44,37,7.51034,3.06813,0.2861,4.38527
Max Lazar,3,0,4.27847,1.30029,50,0,4,4,50,41,7.36141,2.74339,0.290385,4.23575
Max Meyer,7,11,4.29614,1.35536,34,0,1,1,133,117,7.89286,3.09899,0.30055,4.28165
Max Rajcic,1,0,4.45883,1.33027,10,0,1,1,10,7,6.71544,2.74354,0.288514,4.59895
Max Scherzer,8,11,3.76258,1.13204,27,0,1,1,122,127,9.36355,2.20066,0.282054,3.8562
Merrill Kelly,9,14,4.03266,1.29158,26,0,0,0,149,131,7.89463,2.78282,0.29454,4.14257
Michael Arias,0,0,5.00506,1.55217,10,0,1,1,10,9,8.38721,5.36944,0.286817,5.20693
Michael Darrell-Hicks,1,0,4.68209,1.34681,22,0,1,1,22,18,7.44412,2.91461,0.295896,4.73354
Michael Fulmer,3,0,4.33768,1.37611,50,0,1,1,50,49,8.85869,3.87309,0.299744,4.13503
Michael Grove,3,0,3.96864,1.23322,44,0,1,1,44,46,9.50051,2.84823,0.293953,3.8446
Michael Kelly,1,0,4.15677,1.33711,24,0,1,1,24,22,8.33748,3.49346,0.292953,4.12014
Michael King,13,18,3.45947,1.21711,31,0,0,0,178,193,9.75031,3.18911,0.288721,3.63558
Michael Kopech,3,0,4.13618,1.28746,53,3,10,13,53,62,10.5628,4.2591,0.278897,4.2984
Michael Lorenzen,7,8,4.55671,1.4025,56,0,1,1,148,114,6.91503,3.67661,0.28982,4.66256
Michael McGreevy,2,1,3.8089,1.25246,34,0,1,1,41,30,6.62546,2.13853,0.293012,3.92526
Michael Mercado,2,0,4.97263,1.42535,40,0,1,1,40,35,7.93913,3.93367,0.286969,5.02051
Michael Petersen,2,0,4.52923,1.3605,36,0,1,1,36,33,8.30961,3.66563,0.289053,4.6361
Michael Soroka,7,6,4.44239,1.34064,52,0,1,1,121,113,8.41086,3.53453,0.290495,4.46221
Michael Tonkin,3,0,4.18248,1.292,63,0,12,12,63,62,8.89156,3.28568,0.296199,4.10869
Michael Wacha,9,14,4.18041,1.28104,28,0,0,0,155,132,7.6434,2.64804,0.292211,4.20508
Michel Otañez,4,0,3.83219,1.35616,61,0,13,13,61,75,11.0474,4.99274,0.291947,3.92561
Mick Abel,1,0,4.76008,1.46334,22,0,1,1,22,20,8.01453,4.48429,0.289312,4.85164
Miguel Castro,3,0,4.28977,1.33641,43,0,1,1,43,40,8.35636,3.63648,0.291218,4.29031
Mike Burrows,2,1,4.40034,1.34096,35,0,1,1,41,35,7.76494,3.33455,0.290248,4.42654
Mike Clevinger,2,0,4.61813,1.31213,44,6,0,6,44,39,7.88521,2.88599,0.289417,4.66995
Mike Vasil,3,0,4.29469,1.31948,48,0,1,1,48,38,7.1271,2.77697,0.292503,4.37822
Miles Mikolas,9,15,4.45864,1.2701,31,0,0,0,176,123,6.29172,1.74885,0.295164,4.39392
Mitch Keller,10,16,4.13667,1.28269,31,0,0,0,180,163,8.13,2.72207,0.298347,4.04069
Mitch Spence,6,8,4.35933,1.33182,31,0,1,1,120,94,7.05783,2.72773,0.29552,4.37281
Mitchell Parker,8,12,4.28715,1.34814,36,0,1,1,148,131,7.95806,3.35286,0.290374,4.32241
Nate Lavender,1,0,3.96718,1.32731,22,0,1,1,22,24,10.0098,4.3238,0.287888,4.02718
Nate Pearson,2,0,3.9748,1.2684,54,0,7,7,54,59,9.87171,3.55646,0.288305,4.0034
Nathan Eovaldi,10,15,3.99059,1.20676,29,0,0,0,172,163,8.54043,2.38879,0.291584,3.88433
Neftalí Feliz,0,0,4.9558,1.44149,15,0,0,0,15,14,8.52408,4.09091,0.271053,4.68429
Nestor Cortes,9,10,3.7501,1.159,44,0,1,1,144,144,9.04385,2.3427,0.281209,3.88577
Nic Enright,2,0,3.77867,1.20636,41,0,1,1,41,42,9.30881,2.71428,0.288708,3.76531
Nick Anderson,3,0,4.23343,1.34547,44,0,1,1,44,39,7.93116,3.32527,0.292318,4.34461
Nick Frasso,1,0,4.05424,1.26845,15,0,1,1,15,14,8.487,2.88504,0.290255,4.20859
Nick Hernandez,3,0,4.35888,1.29247,52,0,4,4,52,52,9.07499,3.53114,0.280563,4.45791
Nick Lodolo,8,12,4.24186,1.23169,24,0,0,0,132,144,9.82659,2.94824,0.297213,4.02883
Nick Martinez,10,11,3.99472,1.25978,49,0,1,1,168,143,7.69807,2.30627,0.298771,3.94291
Nick Mears,3,0,3.73233,1.28235,59,0,11,11,59,73,11.1104,4.20218,0.288888,3.59824
Nick Nastrini,3,4,5.33472,1.53994,23,0,1,1,75,65,7.78805,4.91247,0.287657,5.38206
Nick Pivetta,10,14,4.03854,1.20318,28,0,0,0,154,171,10.028,2.88682,0.28611,4.03642
Nick Robertson,2,0,4.04087,1.32256,42,0,1,1,42,40,8.59951,3.38589,0.291961,4.09607
Nick Sandlin,4,0,3.98317,1.27656,59,0,12,12,59,63,9.58688,3.90223,0.280573,4.26263
Noah Cameron,1,0,3.98713,1.25946,21,0,1,1,21,19,8.13201,2.57707,0.294046,3.96051
Noah Murdock,2,0,4.71416,1.52544,56,0,7,7,56,47,7.55429,5.01499,0.293253,4.92107
Noah Schultz,1,3,4.33051,1.31102,6,0,0,0,31,28,8.07124,3.08117,0.293655,4.38092
Omar Cruz,1,0,4.27278,1.34913,22,0,1,1,22,21,8.45131,3.9403,0.283267,4.55275
Orion Kerkering,4,0,3.16955,1.12756,63,5,12,17,63,72,10.348,2.8261,0.289677,3.14594
Orlando Ribalta,1,0,4.81716,1.47986,28,0,1,1,28,25,8.1287,4.63437,0.288921,4.83698
Osvaldo Bido,7,6,4.39875,1.3346,42,0,1,1,112,103,8.24071,3.66552,0.285727,4.4979
Owen White,0,0,5.15999,1.46014,12,0,1,1,12,9,6.6678,3.50827,0.295771,5.0224
Pablo López,13,18,3.69979,1.16355,32,0,0,0,192,201,9.42675,2.22959,0.296208,3.57157
Patrick Corbin,4,7,4.95279,1.45779,16,0,0,0,88,68,6.95017,2.94593,0.309341,4.72839
Patrick Monteverde,2,1,4.53863,1.39464,28,0,1,1,35,26,6.70871,3.04041,0.294938,4.69099
Patrick Sandoval,1,1,3.82189,1.34205,8,0,1,1,15,14,8.72013,3.55896,0.304144,3.76552
Paul Blackburn,7,6,4.38909,1.3399,46,0,1,1,115,94,7.3739,2.87016,0.294212,4.33923
Paul Sewald,3,0,3.84427,1.18175,59,1,12,13,59,66,10.0448,2.96737,0.282401,3.9958
Paul Skenes,11,20,3.00668,1.08539,31,0,0,0,174,214,11.0619,2.57281,0.294616,2.90155
Penn Murfee,2,0,4.45558,1.35054,51,0,4,4,51,47,8.3557,3.48428,0.293268,4.41063
Pete Fairbanks,4,0,3.46473,1.22209,60,22,7,29,60,67,10.0373,3.38715,0.29344,3.44609
Peter Strzelecki,1,0,4.47644,1.38362,26,0,1,1,26,23,7.98921,3.59975,0.297078,4.42003
Phil Maton,3,0,4.2375,1.29652,56,0,0,0,56,54,8.66626,3.41188,0.289064,4.30822
Pierce Johnson,5,0,3.60084,1.2884,64,2,12,14,64,78,10.95,3.7662,0.302495,3.57888
Porter Hodge,3,0,3.86527,1.31608,63,11,10,21,63,68,9.74686,4.24791,0.28678,3.98788
Prelander Berroa,2,0,4.41832,1.4683,48,3,1,4,48,51,9.60758,5.09827,0.291414,4.58678
Quinn Mathews,5,8,3.97585,1.29375,28,0,1,1,99,93,8.47029,3.31357,0.288601,4.09673
Quinn Priester,2,0,4.08713,1.31954,30,0,1,1,30,25,7.63884,2.81965,0.304383,3.91064
Rafael Montero,2,0,4.37262,1.39358,54,0,7,7,54,50,8.25551,3.88855,0.29341,4.4285
Raisel Iglesias,5,0,3.14109,1.10393,68,32,1,33,68,76,10.082,2.24934,0.292777,3.21537
Randy Dobnak,1,0,4.22663,1.39741,10,0,1,1,10,8,7.26643,3.27848,0.303708,4.23907
Randy Rodríguez,3,0,4.05229,1.36835,53,0,7,7,53,54,9.11782,4.2484,0.29097,4.15959
Randy Vásquez,4,4,4.44284,1.34138,25,0,1,1,65,50,6.88846,3.00385,0.288145,4.58447
Ranger Suárez,11,15,3.62001,1.25597,40,0,1,1,166,149,8.08041,2.81617,0.294579,3.70783
Reed Garrett,6,0,3.57615,1.29177,66,0,15,15,66,77,10.5638,4.05356,0.290947,3.58788
Reese Olson,8,14,3.90408,1.26259,26,0,0,0,134,124,8.29588,3.00561,0.289486,3.84762
Reid Detmers,7,8,4.10169,1.24124,36,0,1,1,116,128,9.9127,3.13936,0.292009,3.93338
Reynaldo López,11,18,3.56546,1.21602,31,0,0,0,173,184,9.5956,3.02205,0.293453,3.57148
Rhett Lowder,6,7,4.64963,1.34942,42,0,1,1,117,93,7.15619,2.81887,0.29681,4.53622
Richard Fitts,3,1,4.49301,1.33047,39,0,1,1,53,40,6.78492,2.4773,0.297265,4.40748
Richard Lovelady,3,0,3.75658,1.23782,32,0,1,1,32,29,8.03461,2.63063,0.291654,3.79105
Riley O'Brien,3,0,4.09493,1.3994,53,0,7,7,53,53,9.00739,4.47441,0.294522,4.28591
Roansy Contreras,2,0,4.38598,1.30669,33,0,1,1,33,31,8.35639,3.32416,0.284524,4.38233
Robbie Ray,9,15,3.90716,1.22312,28,0,0,0,151,161,9.64346,2.88168,0.288103,4.04068
Robby Snelling,1,2,4.68386,1.45741,5,0,0,0,25,18,6.6308,3.53278,0.298085,4.72716
Robert Garcia,5,0,3.46439,1.19644,64,8,10,18,64,74,10.4552,3.22986,0.291169,3.35545
Robert Stephenson,2,0,3.87277,1.17288,32,0,1,1,32,39,11.1062,2.9098,0.292196,3.6946
Robert Suarez,5,0,3.65368,1.20146,65,28,4,32,65,65,9.02946,3.05815,0.283487,3.80686
Roddery Muñoz,1,0,4.61714,1.40192,26,0,1,1,26,23,7.89192,3.80028,0.288434,4.83008
Rodolfo Martinez,0,0,4.9558,1.44149,24,0,0,0,24,23,8.52408,4.09091,0.271053,4.68429
Roki Sasaki,11,14,3.47974,1.12139,24,0,0,0,135,169,11.3186,2.65691,0.299745,3.37892
Rolddy Munoz,1,0,4.40508,1.43563,22,0,1,1,22,20,8.28676,4.1055,0.297964,4.5564
Ron Marinaccio,2,0,4.21648,1.34044,40,0,1,1,40,40,9.08765,4.30899,0.282192,4.58248
Ronel Blanco,10,14,4.15413,1.3249,28,0,0,0,159,158,8.92767,3.74572,0.28516,4.4266
Ronny Henriquez,2,0,4.17232,1.34978,53,0,6,6,53,45,7.60413,3.14938,0.297794,4.19701
Ross Stripling,2,1,4.70077,1.34919,28,0,1,1,35,24,6.29641,2.16218,0.302314,4.40539
Ryan Bergert,1,0,4.57079,1.36755,17,0,1,1,17,14,7.28916,3.36288,0.28467,4.76318
Ryan Borucki,1,0,4.20045,1.36957,28,0,1,1,28,28,8.92957,3.93846,0.298794,4.28304
Ryan Brasier,3,0,3.62419,1.193,58,2,13,15,58,55,8.48244,2.62372,0.292041,3.66805
Ryan Burr,3,0,3.55524,1.22346,50,0,4,4,50,56,10.0083,3.10023,0.291742,3.65591
Ryan Cusick,1,0,4.99247,1.53479,15,0,1,1,15,12,7.36378,4.82763,0.290141,5.17534
Ryan Feltner,7,14,4.78143,1.39537,31,0,0,0,170,147,7.77237,3.177,0.305067,4.50738
Ryan Fernandez,4,0,3.76201,1.29894,65,1,16,17,65,64,8.86101,3.51051,0.293281,3.80402
Ryan Gusto,2,1,4.5073,1.35823,27,0,1,1,42,34,7.22819,3.14088,0.288974,4.63563
Ryan Helsley,6,0,2.91613,1.11329,66,35,2,37,66,82,11.1473,3.29888,0.28249,3.00791
Ryan Loutos,2,0,4.19985,1.39419,48,0,1,1,48,39,7.3632,3.57858,0.295559,4.2708
Ryan Pepiot,10,15,4.03518,1.25056,29,0,0,0,155,163,9.4797,3.31435,0.284671,4.18131
Ryan Pressly,3,0,3.37855,1.2028,61,25,5,30,61,63,9.32461,2.69159,0.298447,3.35288
Ryan Thompson,5,0,3.69037,1.28508,63,0,13,13,63,51,7.24185,2.64729,0.302083,3.76746
Ryan Walker,5,0,3.0396,1.11753,68,28,5,33,68,81,10.6963,2.8137,0.292171,3.07104
Ryan Weathers,7,12,4.29698,1.35901,32,0,1,1,142,124,7.91008,3.318,0.296442,4.34316
Ryan Webb,1,0,4.23084,1.38293,22,0,1,1,22,19,7.85718,3.54955,0.294508,4.46491
Ryan Yarbrough,1,0,4.34528,1.27945,26,0,1,1,26,19,6.67786,2.41164,0.285583,4.61666
Ryan Zeferjahn,3,0,4.6239,1.4078,61,1,12,13,61,61,8.95684,4.40267,0.288551,4.68544
Ryne Nelson,6,4,4.0917,1.26891,55,0,1,1,100,82,7.41401,2.36268,0.29433,4.12462
Ryne Stanek,4,0,3.84112,1.2892,58,0,12,12,58,66,10.1869,4.11735,0.284872,3.99891
Sam Aldegheri,1,1,4.94389,1.46103,3,0,0,0,17,14,7.73022,4.08259,0.291593,5.0637
Sam Bachman,2,0,4.61193,1.45241,44,0,1,1,44,36,7.26395,3.94262,0.296675,4.71171
Sam Long,3,0,4.30056,1.37308,56,0,10,10,56,49,7.94226,3.61055,0.293169,4.36219
Sam Moll,3,0,4.16511,1.32317,55,0,10,10,55,55,9.03584,3.81554,0.292822,4.1852
Sandy Alcantara,11,17,3.65017,1.19547,29,0,0,0,190,166,7.88511,2.1629,0.296025,3.59551
Sawyer Gipson-Long,2,1,3.9784,1.22633,30,0,1,1,37,34,8.23764,2.47662,0.289837,3.93862
Scott Alexander,3,0,4.11863,1.36287,56,0,9,9,56,42,6.82588,2.95871,0.30638,4.09055
Scott Barlow,3,0,3.87334,1.31246,58,0,7,7,58,65,10.1129,3.97998,0.294358,3.938
Scott Blewett,1,0,4.49724,1.39382,24,0,1,1,24,19,7.03092,3.18228,0.297055,4.52907
Scott Effross,2,0,4.0019,1.26262,26,0,1,1,26,22,7.52416,2.6864,0.288757,4.00627
Scott McGough,1,0,4.4775,1.44099,22,0,1,1,22,21,8.38778,4.0557,0.301832,4.45994
Sean Burke,6,9,4.66983,1.41209,31,0,1,1,118,111,8.5174,4.12918,0.289519,4.7096
Sean Guenther,3,0,3.89288,1.27037,43,0,1,1,43,34,7.19382,2.47517,0.293758,3.95545
Sean Hjelle,3,0,3.87012,1.29709,66,0,13,13,66,55,7.50491,2.5026,0.304045,3.83925
Sean Manaea,9,14,4.17313,1.25457,28,0,0,0,159,160,9.04503,3.05609,0.286777,4.17435
Sean Reid-Foley,1,0,3.8353,1.36545,22,0,1,1,22,25,10.2582,4.77829,0.28923,3.79843
Sean Reynolds,2,0,4.30938,1.42999,53,1,6,7,53,52,8.88145,4.68014,0.288046,4.51562
Sem Robberse,1,0,4.1891,1.31521,21,0,1,1,21,17,7.26769,2.91664,0.289484,4.28775
Seranthony Domínguez,4,0,3.70567,1.24705,62,3,12,15,62,68,9.80986,3.54778,0.290321,3.75701
Seth Halvorsen,4,0,4.67179,1.42315,63,9,8,17,63,58,8.26342,3.817,0.303411,4.52916
Seth Johnson,1,0,5.14228,1.51011,24,0,1,1,24,19,7.23647,4.19905,0.291701,5.13677
Seth Lugo,11,17,3.98073,1.27344,31,0,0,0,188,161,7.69794,2.49987,0.298449,3.97474
Seth Martinez,1,0,4.0749,1.33587,17,0,1,1,17,14,7.59027,3.39249,0.287419,4.37396
Shane Baz,8,11,4.29511,1.31059,36,0,1,1,139,128,8.30846,3.30167,0.288397,4.37699
Shane Bieber,6,8,3.61603,1.20661,25,0,1,1,96,93,8.67848,2.29314,0.29785,3.60588
Shane McClanahan,11,15,3.34476,1.13354,34,0,1,1,159,172,9.73795,2.45083,0.289486,3.40384
Shane Smith,2,0,4.34832,1.32528,58,0,10,10,58,54,8.4524,3.2782,0.293676,4.35348
Shawn Armstrong,3,0,4.19719,1.28547,61,1,12,13,61,59,8.67607,2.87755,0.296966,4.03292
Shawn Dubin,1,0,3.99285,1.3748,33,0,1,1,33,34,9.31009,4.22277,0.297237,3.99729
Shelby Miller,4,0,4.33318,1.2782,56,0,10,10,56,53,8.44232,3.38862,0.285561,4.2483
Shinnosuke Ogasawara,0,4,4.91346,1.41587,46,0,0,0,80,74,8.28321,3.69789,0.280859,4.68661
Shintaro Fujinami,1,0,4.12682,1.38887,24,0,1,1,24,26,9.79325,4.86243,0.286349,4.23847
Shohei Ohtani,9,12,3.6315,1.15431,21,0,0,0,123,137,10.0938,3.19533,0.274825,3.88873
Shota Imanaga,11,17,3.57509,1.13888,29,0,0,0,172,174,9.09363,1.98598,0.28784,3.7012
Simeon Woods Richardson,6,12,4.54405,1.37768,26,0,0,0,130,111,7.69275,3.42852,0.292851,4.50725
Slade Cecconi,3,1,4.19637,1.20504,42,0,1,1,57,51,8.10417,2.06721,0.28862,4.1302
Sonny Gray,13,18,3.41785,1.15199,31,0,0,0,181,191,9.4963,2.48162,0.290945,3.41886
Spencer Arrighetti,9,13,4.32249,1.32978,26,0,0,0,138,145,9.42239,3.86639,0.286772,4.39798
Spencer Bivens,2,0,4.31698,1.37315,40,0,1,1,40,30,6.76028,3.03049,0.296038,4.48618
Spencer Schwellenbach,12,16,3.71006,1.17377,29,0,0,0,165,159,8.67197,2.07616,0.295694,3.66843
Spencer Strider,9,13,3.24533,1.09027,21,0,0,0,119,159,12.0373,2.82402,0.294286,3.00667
Spencer Turnbull,3,5,4.3029,1.32019,11,0,0,0,63,57,8.19343,3.29367,0.294963,4.22403
Stephen Kolek,3,1,4.23875,1.35472,31,0,1,1,47,38,7.28694,3.31531,0.294556,4.28813
Steven Cruz,2,0,4.34594,1.42631,44,0,1,1,44,42,8.50672,4.37503,0.296969,4.38661
Steven Matz,6,8,4.00889,1.30266,42,0,1,1,116,102,7.91959,2.73107,0.298168,4.03133
Steven Okert,1,0,4.17838,1.29462,26,0,1,1,26,28,9.55945,3.77431,0.282731,4.47078
Steven Wilson,1,0,5.05593,1.44369,32,0,1,1,32,31,8.79619,4.6687,0.281572,5.26477
T.J. McFarland,3,0,4.1607,1.38983,58,0,10,10,58,41,6.42279,3.13523,0.300768,4.29224
Taijuan Walker,3,1,4.81058,1.38264,51,0,1,1,66,48,6.5877,3.08571,0.288391,4.89606
Taj Bradley,10,15,4.06759,1.24201,29,0,0,0,159,164,9.27582,2.95555,0.288161,4.05551
Tanner Banks,3,0,3.725,1.23888,68,0,12,12,68,67,8.90516,2.85462,0.294019,3.70413
Tanner Bibee,10,16,3.68001,1.18121,29,0,0,0,167,171,9.20211,2.52447,0.286247,3.81435
Tanner Dodson,1,0,4.86844,1.61289,10,0,1,1,10,7,6.42679,5.19724,0.298534,5.07932
Tanner Gordon,2,1,4.99882,1.38368,33,0,1,1,39,28,6.44199,2.21706,0.304503,4.75175
Tanner Houck,11,15,3.899,1.27179,40,0,1,1,178,160,8.07525,2.73091,0.304292,3.73435
Tanner Rainey,1,0,4.94357,1.47843,42,0,1,1,42,38,8.14099,4.5371,0.291716,4.9666
Tanner Scott,6,0,3.03183,1.20617,66,25,8,33,66,82,11.1405,4.01362,0.290387,3.15044
Tarik Skubal,14,22,2.83407,1.02137,32,0,0,0,198,229,10.407,1.92849,0.287509,2.79966
Tayler Saucedo,3,0,3.78316,1.31728,61,0,12,12,61,58,8.60539,3.82377,0.288784,4.0406
Tayler Scott,4,0,3.933,1.33694,65,1,16,17,65,65,9.02952,3.90495,0.292077,4.11508
Taylor Clarke,0,0,4.51658,1.37096,8,0,1,1,8,6,7.31085,2.75132,0.301459,4.42301
Taylor Rogers,3,0,4.33249,1.33089,62,3,13,16,62,71,10.294,3.66442,0.302183,4.22476
Tejay Antone,0,0,4.80547,1.41434,8,0,1,1,8,7,8.40207,3.85802,0.298765,4.72626
Tekoah Roby,0,1,4.58052,1.35855,2,0,0,0,8,6,6.78474,2.96346,0.288381,4.67852
Thaddeus Ward,1,0,4.81385,1.52763,16,0,1,1,16,13,7.24036,4.69357,0.295913,5.03338
Thomas Harrington,0,1,4.57865,1.32815,2,0,0,0,9,7,6.93638,2.53277,0.292701,4.60581
Tim Herrin,4,0,3.39659,1.26473,62,0,14,14,62,66,9.58284,3.69474,0.292406,3.56175
Tim Hill,3,0,4.23723,1.39502,63,0,12,12,63,36,5.13818,2.74681,0.299188,4.31256
Tim Mayza,2,0,4.07118,1.39991,55,0,4,4,55,41,6.78343,3.15347,0.305309,4.15253
Tink Hence,1,1,4.26213,1.3366,3,0,0,0,16,13,7.51354,3.18964,0.289238,4.37395
Tobias Myers,8,10,4.19636,1.27422,42,0,1,1,142,129,8.21482,2.77556,0.286706,4.33516
Tom Cosgrove,2,0,4.27815,1.3269,46,0,1,1,46,43,8.41009,3.82529,0.281688,4.51288
Tommy Doyle,1,0,4.94935,1.47971,21,0,1,1,21,17,7.47801,3.8146,0.304267,4.70052
Tommy Henry,1,0,4.10927,1.34584,24,0,1,1,24,21,7.82051,3.29416,0.294534,4.25232
Tommy Kahnle,2,0,3.77709,1.2941,58,2,10,12,58,59,9.20228,3.92719,0.287444,3.94274
