Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,PitchingTeamid
Emmanuel Clase,CLE,RP,GOV,26,,,,,,,,,,,,,,,
Kyle Gibson,(N/A),SP,FA,37,,,,,,,,,,,,,,,
Jacob deGrom,TEX,SP,TSN,36,,,,,,,,,,,,,,,
Brandon Woodruff,MIL,SP,JCR,32,,,,,,,,,,,,,,,
Ryan Walker,SF,RP,BLUE,29,,,,,,,,,,,,,,,
Jason Adam,SD,RP,FA,33,,,,,,,,,,,,,,,
Lance Lynn,(N/A),SP,FA,37,,,,,,,,,,,,,,,
Kyle Harrison,SF,SP,FA,23,,,,,,,,,,,,,,,
Josh Hader,HOU,RP,FA,30,,,,,,,,,,,,,,,
Nick Lodolo,CIN,SP,IRM,27,,,,,,,,,,,,,,,
Javier Assad,CHC,SP,FA,27,,,,,,,,,,,,,,,
J.P. Sears,ATH,SP,FA,29,,,,,,,,,,,,,,,
Kumar Rocker,TEX,SP,TSN,25,,,,,,,,,,,,,,,
Andrew Abbott,CIN,SP,FA,25,,,,,,,,,,,,,,,
Zack Littell,TB,SP,FA,29,,,,,,,,,,,,,,,
Jameson Taillon,CHC,SP,FA,33,,,,,,,,,,,,,,,
Tyler Anderson,LAA,SP,FA,35,,,,,,,,,,,,,,,
DJ Herz,WSH,SP,FA,24,,,,,,,,,,,,,,,
Patrick Corbin,(N/A),SP,FA,35,,,,,,,,,,,,,,,
David Festa,MIN,SP,FA,24,,,,,,,,,,,,,,,
Reid Detmers,LAA,SP,FA,25,,,,,,,,,,,,,,,
A.J. Puk,ARI,RP,FA,29,,,,,,,,,,,,,,,
Matthew Boyd,CHC,SP,FA,34,,,,,,,,,,,,,,,
Tomoyuki Sugano,BAL,SP,FA,35,,,,,,,,,,,,,,,
Cade Smith,CLE,RP,FA,25,,,,,,,,,,,,,,,
Spencer Strider,ATL,SP,FA,26,,,,,,,,,,,,,,,
Andre Pallante,STL,SP,FA,26,,,,,,,,,,,,,,,
Luke Weaver,NYY,RP,FA,31,,,,,,,,,,,,,,,
Shane McClanahan,TB,SP,GOV,27,,,,,,,,,,,,,,,
Eduardo Rodriguez,ARI,SP,FA,31,,,,,,,,,,,,,,,
Walker Buehler,BOS,SP,TBBC,30,,,,,,,,,,,,,,,
Austin Gomber,COL,SP,FA,31,,,,,,,,,,,,,,,
Robbie Ray,SF,SP,TSN,33,,,,,,,,,,,,,,,
Jon Gray,TEX,SP,FA,33,,,,,,,,,,,,,,,
Griffin Jax,MIN,RP,FA,30,,,,,,,,,,,,,,,
Chris Flexen,CHC,SP,FA,30,,,,,,,,,,,,,,,
Raisel Iglesias,ATL,RP,FA,35,,,,,,,,,,,,,,,
Mason Miller,ATH,RP,MSBT,26,,,,,,,,,,,,,,,
Ryan Feltner,COL,SP,FA,28,,,,,,,,,,,,,,,
Lucas Giolito,BOS,SP,FA,30,,,,,,,,,,,,,,,
Robert Suarez,SD,RP,FA,34,,,,,,,,,,,,,,,
Ryan Helsley,STL,RP,BLUE,30,,,,,,,,,,,,,,,
Jesus Luzardo,PHI,SP,FA,27,,,,,,,,,,,,,,,
Dean Kremer,BAL,SP,FA,29,,,,,,,,,,,,,,,
Jeffrey Springs,ATH,SP,FA,32,,,,,,,,,,,,,,,
Edwin Diaz,NYM,RP,TBBC,30,,,,,,,,,,,,,,,
Valente Bellozo,MIA,SP,FA,25,,,,,,,,,,,,,,,
Sandy Alcantara,MIA,SP,JCR,29,,,,,,,,,,,,,,,
Cody Bradford,TEX,SP,FA,27,,,,,,,,,,,,,,,
Yariel Rodriguez,TOR,SP,FA,27,,,,,,,,,,,,,,,
Mitch Spence,ATH,P,FA,26,,,,,,,,,,,,,,,
Ben Lively,CLE,SP,FA,33,,,,,,,,,,,,,,,
Braxton Garrett,MIA,SP,VLAD,27,,,,,,,,,,,,,,,
Jhoan Duran,MIN,RP,FA,27,,,,,,,,,,,,,,,
Yennier Cano,BAL,RP,FA,30,,,,,,,,,,,,,,,
Sean Burke,CHW,SP,FA,25,,,,,,,,,,,,,,,
Grant Holmes,ATL,SP,FA,28,,,,,,,,,,,,,,,
Jose Soriano,LAA,SP,FA,26,,,,,,,,,,,,,,,
Felix Bautista,BAL,RP,JCR,29,,,,,,,,,,,,,,,
Tanner Scott,LAD,RP,JCR,30,,,,,,,,,,,,,,,
Tylor Megill,NYM,SP,FA,29,,,,,,,,,,,,,,,
Kutter Crawford,BOS,SP,FA,28,,,,,,,,,,,,,,,
Justin Martinez,ARI,RP,FA,23,,,,,,,,,,,,,,,
Justin Verlander,SF,SP,FA,42,,,,,,,,,,,,,,,
Yu Darvish,SD,SP,FA,38,,,,,,,,,,,,,,,
Andres Munoz,SEA,RP,FA,26,,,,,,,,,,,,,,,
Simeon Woods-Richardson,MIN,SP,FA,24,,,,,,,,,,,,,,,
Hunter Gaddis,CLE,RP,FA,26,,,,,,,,,,,,,,,
Bailey Falter,PIT,SP,FA,27,,,,,,,,,,,,,,,
Tyler Holton,DET,RP,FA,28,,,,,,,,,,,,,,,
Hayden Birdsong,SF,SP,FA,23,,,,,,,,,,,,,,,
Luis Ortiz,CLE,SP,FA,26,,,,,,,,,,,,,,,
David Bednar,PIT,RP,FA,30,,,,,,,,,,,,,,,
Michael Lorenzen,KC,RP,FA,33,,,,,,,,,,,,,,,
David Peterson,NYM,SP,FA,29,,,,,,,,,,,,,,,
Edward Cabrera,MIA,SP,FA,26,,,,,,,,,,,,,,,
Jackson Jobe,DET,SP,MMAS,22,,,,,,,,,,,,,,,
Cal Quantrill,MIA,SP,FA,30,,,,,,,,,,,,,,,
Jeremiah Estrada,SD,RP,FA,26,,,,,,,,,,,,,,,
Alec Marsh,KC,SP,FA,26,,,,,,,,,,,,,,,
Luis Garcia,HOU,SP,FA,28,,,,,,,,,,,,,,,
Orion Kerkering,PHI,RP,GOV,23,,,,,,,,,,,,,,,
Tyler Rogers,SF,RP,FA,34,,,,,,,,,,,,,,,
Shinnosuke Ogasawara,WSH,SP,FA,27,,,,,,,,,,,,,,,
Matt Strahm,PHI,RP,FA,33,,,,,,,,,,,,,,,
Martin Perez,CHW,SP,FA,33,,,,,,,,,,,,,,,
Kona Takahashi,(N/A),SP,FA,28,,,,,,,,,,,,,,,
Ryne Nelson,ARI,SP,FA,27,,,,,,,,,,,,,,,
Max Meyer,MIA,SP,FA,25,,,,,,,,,,,,,,,
Derek Law,WSH,RP,FA,34,,,,,,,,,,,,,,,
Porter Hodge,CHC,RP,FA,24,,,,,,,,,,,,,,,
Jonathan Cannon,CHW,SP,FA,24,,,,,,,,,,,,,,,
Alexis Diaz,CIN,RP,FA,28,,,,,,,,,,,,,,,
Kevin Ginkel,ARI,RP,FA,30,,,,,,,,,,,,,,,
Chad Green,TOR,RP,FA,33,,,,,,,,,,,,,,,
Jason Foley,DET,RP,FA,29,,,,,,,,,,,,,,,
Lucas Erceg,KC,RP,FA,29,,,,,,,,,,,,,,,
Kyle Freeland,COL,SP,FA,31,,,,,,,,,,,,,,,
Ryan Weathers,MIA,SP,FA,25,,,,,,,,,,,,,,,
German Marquez,COL,SP,FA,30,,,,,,,,,,,,,,,
Drew Rasmussen,TB,SP,FA,29,,,,,,,,,,,,,,,
Alex Cobb,DET,SP,FA,37,,,,,,,,,,,,,,,
Tyler Mahle,TEX,SP,FA,30,,,,,,,,,,,,,,,
Cole Irvin,MIN,SP,FA,31,,,,,,,,,,,,,,,
Marcus Stroman,NYY,SP,FA,33,,,,,,,,,,,,,,,
Jeff Hoffman,TOR,RP,IRM,32,,,,,,,,,,,,,,,
Jordan Hicks,SF,SP,FA,28,,,,,,,,,,,,,,,
Joel Payamps,MIL,RP,FA,30,,,,,,,,,,,,,,,
Davis Martin,CHW,SP,FA,28,,,,,,,,,,,,,,,
Joey Estes,ATH,P,FA,23,,,,,,,,,,,,,,,
Fernando Cruz,NYY,RP,FA,34,,,,,,,,,,,,,,,
Matt Waldron,SD,SP,FA,28,,,,,,,,,,,,,,,
Casey Mize,DET,SP,FA,27,,,,,,,,,,,,,,,
Max Scherzer,TOR,SP,MMAS,40,,,,,,,,,,,,,,,
Albert Suarez,BAL,SP,FA,35,,,,,,,,,,,,,,,
Clay Holmes,NYM,RP,FA,31,,,,,,,,,,,,,,,
Kirby Yates,LAD,RP,FA,37,,,,,,,,,,,,,,,
Randy Vasquez,SD,SP,FA,26,,,,,,,,,,,,,,,
Aroldis Chapman,BOS,RP,FA,37,,,,,,,,,,,,,,,
Ryan Thompson,ARI,RP,FA,32,,,,,,,,,,,,,,,
Mark Leiter Jr.,NYY,RP,FA,33,,,,,,,,,,,,,,,
Tyler Alexander,MIL,RP,FA,30,,,,,,,,,,,,,,,
Will Vest,DET,RP,FA,29,,,,,,,,,,,,,,,
Jordan Lyles,(N/A),SP,FA,34,,,,,,,,,,,,,,,
Colin Rea,CHC,SP,FA,34,,,,,,,,,,,,,,,
Jordan Montgomery,ARI,SP,FA,32,,,,,,,,,,,,,,,
Pete Fairbanks,TB,RP,FA,31,,,,,,,,,,,,,,,
Kris Bubic,KC,RP,FA,27,,,,,,,,,,,,,,,
Ryan Pressly,CHC,RP,FA,36,,,,,,,,,,,,,,,
Cole Sands,MIN,RP,FA,27,,,,,,,,,,,,,,,
Camilo Doval,SF,RP,FA,27,,,,,,,,,,,,,,,
Kyle Hendricks,LAA,RP,FA,35,,,,,,,,,,,,,,,
Keegan Akin,BAL,RP,FA,29,,,,,,,,,,,,,,,
Clayton Kershaw,LAD,SP,FA,36,,,,,,,,,,,,,,,
Drew Thorpe,CHW,SP,FA,24,,,,,,,,,,,,,,,
Andrew Kittredge,BAL,RP,FA,34,,,,,,,,,,,,,,,
Trevor Williams,WSH,SP,FA,32,,,,,,,,,,,,,,,
Kevin Kelly,TB,RP,FA,27,,,,,,,,,,,,,,,
Ryan Fernandez,STL,P,FA,26,,,,,,,,,,,,,,,
Chris Paddack,MIN,SP,FA,29,,,,,,,,,,,,,,,
Keider Montero,DET,SP,FA,24,,,,,,,,,,,,,,,
Carlos Estevez,KC,RP,FA,32,,,,,,,,,,,,,,,
David Robertson,(N/A),RP,FA,39,,,,,,,,,,,,,,,
Bubba Chandler,PIT,SP,FA,22,,,,,,,,,,,,,,,
Erik Miller,SF,SP,FA,27,,,,,,,,,,,,,,,
Aaron Ashby,MIL,SP,FA,26,,,,,,,,,,,,,,,
Sean Hjelle,SF,RP,FA,27,,,,,,,,,,,,,,,
Michael Kopech,LAD,RP,FA,28,,,,,,,,,,,,,,,
Johan Oviedo,PIT,SP,FA,27,,,,,,,,,,,,,,,
Ben Brown,CHC,SP,FA,25,,,,,,,,,,,,,,,
Blake Treinen,LAD,RP,FA,36,,,,,,,,,,,,,,,
Mike Clevinger,CHW,SP,FA,34,,,,,,,,,,,,,,,
Reed Garrett,NYM,RP,FA,32,,,,,,,,,,,,,,,
Michael Tonkin,MIN,RP,FA,35,,,,,,,,,,,,,,,
Alex Vesia,LAD,RP,FA,28,,,,,,,,,,,,,,,
Jose Alvarado,PHI,RP,FA,29,,,,,,,,,,,,,,,
Garrett Whitlock,BOS,SP,FA,28,,,,,,,,,,,,,,,
Pierce Johnson,ATL,RP,FA,33,,,,,,,,,,,,,,,
Mike Soroka,WSH,RP,FA,27,,,,,,,,,,,,,,,
Tim Herrin,CLE,RP,FA,28,,,,,,,,,,,,,,,
Michael McGreevy,STL,SP,MMAS,24,,,,,,,,,,,,,,,
Griffin Canning,NYM,SP,FA,28,,,,,,,,,,,,,,,
Rhett Lowder,CIN,SP,IRM,22,,,,,,,,,,,,,,,
JoJo Romero,STL,RP,FA,28,,,,,,,,,,,,,,,
Ross Stripling,KC,SP,FA,35,,,,,,,,,,,,,,,
Trent Thornton,SEA,RP,FA,31,,,,,,,,,,,,,,,
Dylan Lee,ATL,RP,FA,30,,,,,,,,,,,,,,,
Nate Pearson,CHC,RP,FA,28,,,,,,,,,,,,,,,
A.J. Minter,NYM,RP,FA,31,,,,,,,,,,,,,,,
Spencer Turnbull,(N/A),RP,FA,32,,,,,,,,,,,,,,,
Joe Mantiply,ARI,RP,FA,34,,,,,,,,,,,,,,,
Tayler Scott,HOU,RP,FA,32,,,,,,,,,,,,,,,
Jared Shuster,CHW,SP,FA,26,,,,,,,,,,,,,,,
Matthew Liberatore,STL,SP,FA,25,,,,,,,,,,,,,,,
Aaron Bummer,ATL,RP,FA,31,,,,,,,,,,,,,,,
John Schreiber,KC,RP,FA,31,,,,,,,,,,,,,,,
Tony Gonsolin,LAD,SP,FA,30,,,,,,,,,,,,,,,
Tanner Banks,PHI,RP,FA,33,,,,,,,,,,,,,,,
Josh Winckowski,BOS,RP,FA,26,,,,,,,,,,,,,,,
Robert Garcia,TEX,P,FA,28,,,,,,,,,,,,,,,
John King,STL,RP,FA,30,,,,,,,,,,,,,,,
Bryan Hudson,MIL,RP,FA,27,,,,,,,,,,,,,,,
Kenley Jansen,LAA,RP,TBBC,37,,,,,,,,,,,,,,,
Anthony DeSclafani,(N/A),SP,FA,34,,,,,,,,,,,,,,,
Brent Suter,CIN,RP,FA,35,,,,,,,,,,,,,,,
Hoby Milner,TEX,RP,FA,34,,,,,,,,,,,,,,,
Dane Dunning,TEX,SP,FA,30,,,,,,,,,,,,,,,
Justin Slaten,BOS,P,FA,27,,,,,,,,,,,,,,,
Jose Butto,NYM,RP,FA,26,,,,,,,,,,,,,,,
