Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Tyler Anderson,LAA,SP,FA,35,,-35.75719912,-43.92004696,,9,13,4.62271,29,0,0,0,169,136,7.26848,3.26559
DJ Herz,WSH,SP,FA,24,,-17.50955219,-21.62005739,,6,8,4.19536,36,0,1,1,109,119,9.78663,4.5429
Patrick Corbin,(N/A),SP,FA,35,,-34.47382436,-42.351667,,4,7,4.95277,16,0,0,0,88,68,6.95024,2.94594
David Festa,MIN,SP,FA,24,,-9.596666209,-11.9499188,,6,7,3.99565,42,0,1,1,106,111,9.41759,3.30575
Reid Detmers,LAA,SP,FA,25,,-7.42433621,-9.295169035,,7,8,4.10169,36,0,1,1,116,128,9.91271,3.13936
A.J. Puk,ARI,RP,FA,29,,11.08559302,13.32534912,,5,0,3.2634,64,17,7,24,64,78,10.9272,3.14362
Matthew Boyd,CHC,SP,FA,34,,1,1,,8,12,3.79316,31,0,1,1,122,124,9.13175,2.85047
Tomoyuki Sugano,BAL,SP,FA,35,,-26.48674116,-32.59085385,,7,10,4.68602,23,0,0,0,129,96,6.65022,1.97207
Cade Smith,CLE,RP,FA,25,,12.19479679,14.68087911,,4,0,3.01844,68,2,14,16,68,86,11.3629,3.07271
Spencer Strider,ATL,SP,FA,26,,22.77856632,27.6150372,,9,13,3.24536,21,0,0,0,119,159,12.0372,2.82404
Andre Pallante,STL,SP,FA,26,,-22.88872304,-28.19380656,,9,12,3.92336,41,0,1,1,153,113,6.64477,3.61746
Luke Weaver,NYY,RP,FA,31,,-0.969484436,-1.406857308,,3,0,3.91239,68,6,13,19,68,73,9.61735,2.68008
Eduardo Rodriguez,ARI,SP,FA,31,,-5.684461109,-7.168911508,,10,12,3.84807,32,0,1,1,143,132,8.30608,2.82654
Austin Gomber,COL,SP,FA,31,,-47.43381439,-58.18974429,,7,10,5.16996,26,0,0,0,143,102,6.42318,2.50475
Jon Gray,TEX,SP,FA,33,,-16.49964918,-20.38588037,,8,10,4.35298,40,0,1,1,148,136,8.22947,2.74231
Griffin Jax,MIN,RP,FA,30,,12.58509197,15.15784902,,5,0,3.21056,70,8,11,19,70,83,10.6384,2.5339
Chris Flexen,CHC,SP,FA,30,,1,1,,1,0,4.5569,16,0,1,1,16,13,7.29933,2.98304
Raisel Iglesias,ATL,RP,FA,35,,17.82847368,21.56565369,,5,0,3.14111,68,32,1,33,68,76,10.082,2.24938
Ryan Feltner,COL,SP,FA,28,,-42.89122411,-52.63835916,,7,14,4.78142,31,0,0,0,170,147,7.77239,3.17698
Lucas Giolito,BOS,SP,FA,30,,-19.26513465,-23.76551049,,8,10,4.42816,33,0,1,1,137,137,9.01506,3.15694
Robert Suarez,SD,RP,FA,34,,8.752298644,10.47388886,,5,0,3.65655,65,28,4,32,65,65,9.03145,3.05884
Ryan Helsley,STL,RP,BLUE,30,,23.52582019,27.93036637,9,6,0,2.91613,66,35,2,37,66,82,11.1473,3.29888
Jesus Luzardo,PHI,SP,FA,27,,-6.408667853,-8.053946324,,10,12,4.14657,41,0,1,1,158,163,9.28897,3.09798
Dean Kremer,BAL,SP,FA,29,,-16.72077857,-20.65611702,,8,12,4.21197,24,0,0,0,130,115,7.94758,3.01916
Jeffrey Springs,ATH,SP,FA,32,,1.792122682,1.968033173,,8,13,3.71524,34,0,1,1,133,131,8.86997,2.51738
Valente Bellozo,MIA,SP,FA,25,,-25.36402665,-31.21881274,,2,2,4.86013,27,0,1,1,57,41,6.51932,2.95595
Cody Bradford,TEX,SP,FA,27,,-8.527146384,-10.64288556,,5,4,4.20317,47,0,1,1,88,79,8.04619,1.96524
Yariel Rodriguez,TOR,SP,FA,27,,-9.359370778,-11.65992603,,6,5,3.98689,59,0,1,1,100,105,9.44092,3.79196
Mitch Spence,ATH,P,FA,26,,-22.36284681,-27.55114647,,6,8,4.35932,31,0,1,1,120,94,7.05789,2.72773
Ben Lively,CLE,SP,FA,33,,-28.71699157,-35.31638669,,9,12,4.52277,26,0,0,0,141,111,7.05754,2.91757
Jhoan Duran,MIN,RP,FA,27,,23.44827774,28.43347465,,7,0,2.5771,65,22,5,27,65,81,11.2114,2.80763
Yennier Cano,BAL,RP,FA,30,,-0.159992298,-0.417597361,,4,0,3.33715,61,1,12,13,61,60,8.81832,3.0724
Sean Burke,CHW,SP,FA,25,,-30.40108216,-37.37447137,,6,9,4.66982,31,0,1,1,118,111,8.51742,4.12918
Grant Holmes,ATL,SP,FA,28,,-11.78968774,-14.62995516,,6,7,3.99362,45,0,1,1,114,110,8.651,2.9396
Jose Soriano,LAA,SP,FA,26,,-13.87605751,-17.17965509,,9,14,3.97504,26,0,0,0,146,142,8.73672,3.86034
Tylor Megill,NYM,SP,FA,29,,-8.855931545,-11.04468562,,5,2,3.9897,53,0,1,1,81,83,9.26131,3.28808
Kutter Crawford,BOS,SP,FA,28,,-10.42346925,-12.96033397,,8,7,4.35245,53,0,1,1,134,129,8.66515,2.51331
Justin Martinez,ARI,RP,FA,23,,8.253719153,9.864587422,,5,0,3.10974,67,17,9,26,67,84,11.2931,4.73139
Justin Verlander,SF,SP,FA,42,,-14.86606455,-18.38951774,,8,12,4.18403,24,0,0,0,138,111,7.20782,2.45249
Yu Darvish,SD,SP,FA,38,,-0.595465235,-0.949777867,,11,15,4.10284,29,0,0,0,164,156,8.52479,2.4609
Andres Munoz,SEA,RP,FA,26,,22.37885316,27.12655782,,6,0,2.72693,64,26,4,30,64,85,11.9369,3.45395
Simeon Woods-Richardson,MIN,SP,FA,24,,1,1,,6,12,4.54403,26,0,0,0,130,111,7.69279,3.42852
Hunter Gaddis,CLE,RP,FA,26,,-3.382092637,-4.355245006,,4,0,4.02813,65,0,17,17,65,59,8.21341,2.69593
Bailey Falter,PIT,SP,FA,27,,-25.62660288,-31.53970053,,6,8,4.48684,43,0,1,1,124,91,6.64518,2.62266
Tyler Holton,DET,RP,FA,28,,7.050136478,8.393719358,,4,0,3.40482,72,6,13,19,72,64,7.945,2.30982
Hayden Birdsong,SF,SP,FA,23,,-17.31780446,-21.38572732,,6,8,4.2301,40,0,1,1,108,113,9.45065,4.08197
Luis Ortiz,CLE,SP,FA,26,,1,1,,8,10,4.288,38,0,1,1,149,127,7.66525,3.27628
David Bednar,PIT,RP,FA,30,,5.842302464,6.917655841,,4,0,3.70785,64,28,4,32,64,68,9.61732,3.27651
Michael Lorenzen,KC,RP,FA,33,,-35.9986542,-44.21512313,,7,8,4.55671,56,0,1,1,148,114,6.91506,3.67664
David Peterson,NYM,SP,FA,29,,-11.88399535,-14.74520611,,9,13,3.89694,32,0,1,1,147,136,8.36418,3.56251
Edward Cabrera,MIA,SP,FA,26,,-17.31695891,-21.384694,,7,10,4.16853,35,0,1,1,125,133,9.61473,4.25922
Cal Quantrill,MIA,SP,FA,30,,-42.38598547,-52.02091975,,7,11,4.81356,26,0,0,0,143,104,6.53395,3.36034
Jeremiah Estrada,SD,RP,FA,26,,6.846422498,8.144765636,,4,0,3.25938,63,3,13,16,63,85,12.1162,3.89994
Alec Marsh,KC,SP,FA,26,,-19.48249052,-24.03113561,,7,7,4.47772,36,0,1,1,111,106,8.59885,3.30575
Luis Garcia,HOU,SP,FA,28,,-3.932631434,-5.057492622,3,9,9,4.00506,33,0,1,1,121,119,8.88572,2.84378
Tyler Rogers,SF,RP,FA,34,,-2.868274534,-3.727320848,,4,0,3.7499,70,1,14,15,70,50,6.36792,1.83988
Shinnosuke Ogasawara,WSH,SP,FA,27,,-34.73480256,-42.67060189,,0,4,4.91346,46,0,0,0,80,74,8.28321,3.69789
Matt Strahm,PHI,RP,FA,33,,13.43513052,16.19665971,,5,0,3.26625,67,3,12,15,67,79,10.599,2.32544
Martin Perez,CHW,SP,FA,33,,-38.71551906,-47.53533522,,6,11,4.55554,24,0,0,0,136,100,6.64928,3.28325
Ryne Nelson,ARI,SP,FA,27,,-10.65544946,-13.24383113,,6,4,4.09168,55,0,1,1,100,82,7.41408,2.36268
Max Meyer,MIA,SP,FA,25,,-23.76398086,-29.26343709,,7,11,4.29614,34,0,1,1,133,117,7.89286,3.09899
Derek Law,WSH,RP,FA,34,,-6.95062037,-8.716252841,,4,0,3.87292,72,5,13,18,72,62,7.7276,3.20597
Porter Hodge,CHC,RP,FA,24,,-4.461057635,-5.673820946,,3,0,3.86524,63,11,10,21,63,68,9.74696,4.24791
Jonathan Cannon,CHW,SP,FA,24,,-40.66684976,-49.92000731,,7,11,4.75123,32,0,1,1,155,115,6.63299,3.05126
Alexis Diaz,CIN,RP,FA,28,,-0.968069321,-1.405127932,,4,0,4.15331,65,28,3,31,65,69,9.60141,4.28022
Kevin Ginkel,ARI,RP,FA,30,,6.1829077,7.333900919,,5,0,3.30591,61,3,14,17,61,65,9.58561,2.84652
Chad Green,TOR,RP,FA,33,,-0.604519804,-0.960843227,,5,0,3.93837,63,5,12,17,63,60,8.61604,2.7146
Jason Foley,DET,RP,FA,29,,-0.19324597,-0.458235836,,4,0,3.54239,63,13,7,20,63,51,7.34548,2.61843
Lucas Erceg,KC,RP,FA,29,,2.10717598,2.35305187,,4,0,3.45557,67,11,10,21,67,75,10.1396,3.73948
Kyle Freeland,COL,SP,FA,31,,-48.50771099,-59.50212627,,7,12,5.04391,28,0,0,0,152,109,6.49314,2.47503
Ryan Weathers,MIA,SP,FA,25,,-24.05459802,-29.618593,,7,12,4.29696,32,0,1,1,142,124,7.9101,3.31796
German Marquez,COL,SP,FA,30,,-36.09845234,-44.33708392,,8,13,4.67655,28,0,0,0,156,129,7.44256,3.0456
Drew Rasmussen,TB,SP,FA,29,,13.83192789,16.68157577,,9,10,3.32966,43,0,1,1,125,121,8.70035,2.23024
Alex Cobb,DET,SP,FA,37,,-12.35983285,-15.32671512,,5,10,3.82118,18,0,0,0,95,78,7.41928,2.74373
Tyler Mahle,TEX,SP,FA,30,,-13.54843514,-16.77927605,,8,13,4.28777,26,0,0,0,141,131,8.38424,2.86116
Marcus Stroman,NYY,SP,FA,33,,-25.66736298,-31.58951242,,8,9,4.39137,42,0,1,1,136,102,6.74715,3.10651
Jordan Hicks,SF,SP,FA,28,,-21.43807324,-26.42100398,,8,11,4.06093,40,0,1,1,136,127,8.36578,4.01884
Joel Payamps,MIL,RP,FA,30,,0.961326928,0.952738613,,5,0,3.67342,61,2,13,15,61,60,8.85317,2.97993
Davis Martin,CHW,SP,FA,28,,-28.19074828,-34.67327803,,6,11,4.50847,24,0,0,0,123,108,7.86315,3.33578
Joey Estes,ATH,P,FA,23,,-27.46377168,-33.78485823,,5,6,4.94662,33,0,1,1,105,79,6.72046,2.36392
Fernando Cruz,NYY,RP,FA,34,,4.324983643,5.063378739,,4,0,3.25185,61,0,13,13,61,83,12.2263,3.95882
Matt Waldron,SD,SP,FA,28,,-18.0943009,-22.33466406,,4,5,4.51622,21,0,1,1,80,66,7.41188,2.58246
Casey Mize,DET,SP,FA,27,,-16.59952827,-20.50794009,,6,11,4.23514,23,0,0,0,118,94,7.17663,2.53642
Albert Suarez,BAL,SP,FA,35,,-16.49140254,-20.37580236,,4,2,4.34476,59,0,5,5,81,70,7.8735,2.7713
Clay Holmes,NYM,RP,FA,31,,-3.355525734,-4.322778264,,13,12,3.60731,49,0,1,1,164,148,8.0931,3.17043
Kirby Yates,LAD,RP,FA,37,,3.303721857,3.81532044,,5,0,3.58916,60,9,11,20,60,73,10.9162,4.34049
Randy Vasquez,SD,SP,FA,26,,-17.94002111,-22.14612262,,4,4,4.43825,27,0,1,1,67,51,6.90177,2.99804
Aroldis Chapman,BOS,RP,FA,37,,6.323484775,7.505696621,,5,0,3.23509,63,12,9,21,63,93,13.3189,5.10149
Ryan Thompson,ARI,RP,FA,32,,-3.830141463,-4.902794188,,5,0,3.69037,63,0,13,13,63,51,7.24185,2.64729
Mark Leiter Jr.,NYY,RP,FA,33,,-3.870895952,-4.952599222,,3,0,3.90964,58,0,12,12,58,67,10.4698,3.44346
Tyler Alexander,MIL,RP,FA,30,,-14.84906402,-18.36874183,,3,1,4.5211,52,0,4,4,59,49,7.4133,1.94823
Will Vest,DET,RP,FA,29,,0.42614821,0.298710185,,3,0,3.38969,68,2,12,14,68,66,8.75907,2.80313
Colin Rea,CHC,SP,FA,34,,-23.61578367,-29.08232904,,6,8,4.53009,31,0,1,1,122,97,7.12461,2.45625
Jordan Montgomery,ARI,SP,FA,32,,-17.06278087,-21.07406941,,7,7,4.0693,42,0,1,1,117,93,7.16345,2.74044
Pete Fairbanks,TB,RP,FA,31,,6.501986836,7.723839491,,4,0,3.46473,60,22,7,29,60,67,10.0373,3.38715
