Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Evan Phillips,LAD,RP,FA,30,,-2.521158179,-3.303118696,,3,0,3.31417,44,0,1,1,44,49,10.0877,2.83146
Shawn Armstrong,TEX,RP,FA,34,,-9.178320109,-11.43866857,,3,0,4.1972,61,1,12,13,61,59,8.67606,2.87761
Garrett Cleavinger,TB,RP,FA,30,,-1.664646255,-2.256397054,,5,0,3.8616,63,3,15,18,63,74,10.5963,4.09652
Victor Vodnik,COL,RP,FA,25,,-19.68047538,-24.27308793,,3,0,4.43689,66,3,11,14,66,63,8.59205,4.3308
Buck Farmer,ATL,RP,FA,34,,-18.09032022,-22.32979937,,2,0,4.49446,46,0,1,1,46,45,8.81391,3.84245
Yimi Garcia,TOR,RP,FA,34,,4.014874533,4.684402208,,4,0,3.60036,61,3,14,17,61,67,9.86638,2.82697
Tyson Miller,CHC,RP,FA,29,,-5.774366661,-7.278782819,,3,0,3.9738,62,1,12,13,62,57,8.24706,2.91941
Jose Leclerc,ATH,RP,FA,31,,-3.721433966,-4.769945495,,4,0,3.90274,64,3,13,16,64,74,10.4517,4.27115
Jake Cousins,NYY,RP,FA,30,,-8.30707171,-10.37393785,,3,0,3.92501,54,0,7,7,54,64,10.7366,4.27453
Declan Cronin,MIA,RP,FA,27,,-11.88200689,-14.74277606,,3,0,3.94437,67,1,13,14,67,58,7.75914,3.45219
Seranthony Dominguez,BAL,RP,FA,30,,-1.543953955,-2.108902034,,4,0,3.70567,62,3,12,15,62,68,9.80988,3.54778
Yuki Matsui,SD,RP,FA,29,,-4.132216965,-5.271953048,,3,0,3.60408,56,0,9,9,56,65,10.4115,3.99055
Tyler Ferguson,ATH,P,FA,31,,-8.985868891,-11.20347878,,3,0,4.13537,62,1,15,16,62,64,9.27996,4.25971
Beau Brieske,DET,RP,FA,26,,-4.734743146,-6.008285114,,3,0,4.01998,66,10,10,20,66,62,8.51668,3.27202
Dennis Santana,PIT,RP,FA,28,,-8.782445182,-10.95487979,,3,0,3.96706,66,2,12,14,66,63,8.60829,3.61713
Gregory Soto,BAL,RP,FA,30,,-1.722269297,-2.326816722,,4,0,3.49462,59,0,10,10,59,67,10.2843,3.86317
Jorge Lopez,WSH,RP,FA,32,,-9.950699079,-12.38257345,,3,0,4.14315,60,7,12,19,60,53,7.88384,3.25876
Hector Neris,ATL,RP,FA,35,,-6.241022827,-7.849071562,,5,0,4.02116,56,0,10,10,56,59,9.5204,3.73803
Lance McCullers Jr.,HOU,SP,FA,31,,-8.354808828,-10.43227618,,5,5,3.68977,39,0,1,1,92,90,8.83822,3.56985
Bryce Elder,ATL,SP,FA,25,,-14.3705762,-17.78399392,,3,3,4.19114,16,0,1,1,46,39,7.53651,3.00546
Tyler Kinley,COL,RP,FA,34,,-13.99701901,-17.32747909,,3,0,4.72232,64,18,6,24,64,67,9.41603,3.84983
Adrian Morejon,SD,RP,FA,26,,-2.202304824,-2.913456044,,3,0,3.54673,61,1,12,13,61,65,9.52779,3.17292
Hunter Harvey,KC,RP,FA,30,,0.010828262,-0.208841859,,3,0,3.53348,60,2,14,16,60,62,9.32819,2.81821
Greg Weissert,BOS,RP,FA,30,,-10.32639198,-12.84169828,,3,0,4.02737,60,0,12,12,60,58,8.72322,3.42079
T.J. McFarland,ATH,RP,FA,35,,-14.96319778,-18.50822182,,3,0,4.16067,58,0,10,10,58,41,6.42288,3.13523
Joey Cantillo,CLE,SP,FA,25,,-14.36604241,-17.77845328,,5,5,4.00994,37,0,1,1,82,85,9.25673,4.08992
Bryse Wilson,CHW,RP,FA,27,,-32.11197787,-39.46531391,,4,4,4.88576,39,0,1,1,100,72,6.49013,2.84023
Jhony Brito,SD,SP,FA,27,,-13.95492692,-17.2760394,,3,1,4.16891,40,0,1,1,47,36,6.87204,2.72684
Shane Bieber,CLE,SP,FA,29,,-1.857202746,-2.49171549,,6,8,3.6179,25,0,1,1,96,93,8.68033,2.29353
Ian Hamilton,NYY,RP,FA,29,,-0.410823673,-0.724132066,,3,0,3.46017,60,1,15,16,60,66,9.9461,3.62046
Taylor Rogers,CIN,RP,FA,34,,-9.975359158,-12.41270991,,3,0,4.33251,62,3,13,16,62,71,10.2939,3.66442
Dylan Floro,ATH,RP,FA,34,,-12.33859118,-15.30075623,,3,0,3.78959,48,0,1,1,48,37,6.84925,2.76679
Liam Hendriks,BOS,RP,FA,36,,4.562180072,5.353250518,,4,0,3.88404,61,23,6,29,61,70,10.3231,2.85715
Nick Mears,MIL,RP,FA,28,,-4.57893876,-5.817880499,,3,0,3.7323,59,0,11,11,59,73,11.1106,4.20213
Ryan Brasier,CHC,RP,FA,37,,-0.307716425,-0.598127296,,3,0,3.62419,58,2,13,15,58,55,8.48246,2.62372
Erik Swanson,TOR,RP,FA,31,,-7.951851659,-9.939832374,,3,0,3.99597,60,0,13,13,60,59,8.84733,3.11732
Ben Joyce,LAA,RP,FA,24,,0.726314215,0.665535498,,3,0,3.47136,62,7,10,17,62,75,10.8404,4.05027
Justin Wrobleski,LAD,SP,FA,24,,1,1,,2,0,4.37911,35,0,1,1,35,31,8.03768,3.11861
Jalen Beeks,(N/A),RP,FA,31,,-13.95679686,-17.27832461,,2,0,3.96011,37,0,0,0,37,33,8.05851,3.49129
Craig Kimbrel,(N/A),RP,FA,36,,-9.37638914,-11.68072374,,3,0,3.9312,40,0,0,0,40,49,10.9139,4.29768
Bryan Hoeing,SD,RP,FA,28,,-11.63655961,-14.44282113,,3,0,4.18295,68,0,13,13,68,54,7.16653,2.65606
Andrew Nardi,MIA,RP,FA,26,,-1.52953883,-2.091285673,,3,0,3.6153,58,1,10,11,58,72,11.1613,3.59099
Chris Stratton,KC,RP,FA,34,,-19.24540103,-23.74139452,,3,0,4.53832,54,0,7,7,54,44,7.38256,3.93291
Jakob Junis,CLE,SP,FA,32,,-9.660175105,-12.02753142,,4,2,4.28605,59,0,7,7,83,76,8.31214,2.12382
Anthony Bender,MIA,RP,FA,30,,-3.209146497,-4.143891887,,3,0,3.67595,60,5,12,17,60,63,9.4353,3.28145
Adam Ottavino,BOS,RP,FA,39,,-14.5073244,-17.95111045,,2,0,4.1899,44,0,1,1,44,45,9.26122,3.84342
DL Hall,MIL,RP,FA,26,,-14.48540452,-17.92432272,,2,1,3.95208,40,0,1,1,52,56,9.65785,4.008
Ryan Burr,TOR,RP,FA,30,,-5.236838186,-6.621882812,,3,0,3.55523,50,0,4,4,50,56,10.0083,3.10023
Justin Anderson,CHW,RP,FA,32,,-14.19157593,-17.5652422,,3,0,4.38433,63,7,11,18,63,65,9.24361,4.23032
Anthony Banda,LAD,RP,FA,31,,-9.992682033,-12.43387976,,3,0,4.07454,57,0,13,13,57,56,8.83654,3.49948
Jacob Barnes,TOR,RP,FA,34,,1,1,,1,0,4.60255,24,0,1,1,24,20,7.51706,3.17295
Scott Barlow,CIN,RP,FA,32,,-9.094582422,-11.33633485,,3,0,3.87334,58,0,7,7,58,65,10.1129,3.98
Matt Brash,SEA,RP,FA,26,,-1.731506926,-2.338105795,,3,0,3.01452,48,0,1,1,48,62,11.614,3.8949
Manuel Rodriguez,TB,RP,FA,28,,-4.902730979,-6.213578812,,4,0,3.81117,61,2,13,15,61,58,8.60935,3.39283
Jared Koenig,MIL,RP,FA,31,,-4.284358041,-5.457880824,,4,0,3.75735,62,2,11,13,62,60,8.73414,3.19235
Trevor Richards,CHC,RP,FA,31,,1,1,,1,0,4.24096,26,0,1,1,26,28,9.76831,4.07205
Edwin Uceta,TB,RP,FA,27,,-2.147240248,-2.846163013,,3,0,3.91333,65,9,11,20,65,70,9.70622,3.46557
Elvis Peguero,MIL,RP,FA,27,,-8.664047129,-10.81018851,,4,0,3.85239,56,0,9,9,56,53,8.46349,3.69917
Michael Grove,LAD,SP,FA,28,,-8.029163343,-10.03431303,,3,0,3.96853,45,0,4,4,45,48,9.50049,2.84826
Luis Garcia,LAD,RP,FA,38,,-3.932631434,-5.057492622,3,9,9,4.00506,33,0,1,1,121,119,8.88572,2.84378
Paul Sewald,CLE,RP,FA,34,,-1.135799457,-1.610106705,,3,0,3.84622,59,1,12,13,59,66,10.0468,2.96798
Cade Cavalli,WSH,SP,FA,26,,-15.98344947,-19.7550457,,5,6,4.2288,28,0,1,1,82,78,8.51756,3.65719
Nick Sandlin,TOR,RP,FA,28,,-6.008042276,-7.564351901,,4,0,3.98318,59,0,12,12,59,63,9.58687,3.90227
Triston McKenzie,CLE,SP,FA,27,,-37.08256836,-45.53974732,,6,7,4.8108,38,0,1,1,120,112,8.42524,4.42958
Seth Halvorsen,COL,RP,FA,25,,-16.72882846,-20.66595459,,4,0,4.67179,63,9,8,17,63,58,8.26342,3.817
Drew Smyly,(N/A),RP,FA,35,,-14.76654471,-18.26789705,,2,0,4.20694,38,0,0,0,38,36,8.59672,3.0232
Trevor Stephan,CLE,RP,FA,29,,-10.63194004,-13.21510086,,2,0,3.85075,36,0,1,1,36,38,9.47043,3.27283
Trevor Rogers,BAL,SP,FA,27,,-17.51777423,-21.63010534,,3,2,4.24767,27,0,1,1,54,47,7.72598,3.28784
Dustin May,LAD,SP,FA,27,,-0.354483661,-0.655280356,,4,2,3.57203,53,0,7,7,74,78,9.48631,2.94597
Osvaldo Bido,ATH,SP,FA,29,,-19.85012067,-24.48040716,,7,6,4.39873,42,0,1,1,112,103,8.24079,3.66552
Huascar Brazoban,NYM,RP,FA,35,,-14.5073244,-17.95111045,,2,0,4.01894,44,0,1,1,44,45,9.20084,4.26985
Tristan Beck,SF,SP,FA,28,,-11.43698234,-14.19892277,,3,1,3.98626,48,0,1,1,55,48,7.7608,2.58582
Michael Fulmer,BOS,RP,FA,31,,-16.60454288,-20.51406832,,3,0,4.33769,50,0,1,1,50,49,8.85869,3.87312
Alex Faedo,TB,SP,FA,29,,-10.67917911,-13.27283054,,3,0,4.21937,57,0,11,11,57,55,8.75205,3.32719
Jordan Romano,PHI,RP,FA,31,,4.051976242,4.729743272,,5,0,3.83202,59,23,4,27,59,64,9.80502,3.33123
Jorge Alcala,MIN,RP,FA,29,,-6.314665258,-7.939068121,,3,0,4.01867,60,1,12,13,60,63,9.50996,3.48268
Kyle Wright,KC,SP,FA,29,,-16.96191428,-20.9508029,,6,5,4.24177,35,0,1,1,94,78,7.47265,3.02588
Matt Manning,DET,SP,FA,27,,1,1,,2,1,4.14385,28,0,1,1,35,29,7.45577,2.83929
Colin Poche,WSH,RP,FA,31,,-10.64633522,-13.23269285,,3,0,4.25243,56,0,9,9,56,50,8.07433,3.38795
Andrew Chafin,DET,RP,FA,34,,-11.04924219,-13.7250753,,3,0,3.91911,55,0,6,6,55,60,9.87693,4.21692
Ryne Stanek,NYM,RP,FA,33,,-5.148132654,-6.513478016,,4,0,3.84101,58,0,12,12,58,66,10.1869,4.11733
Tim Hill,NYY,RP,FA,35,,-17.27030748,-21.32768245,,3,0,4.23723,63,0,12,12,63,36,5.13818,2.74682
Eli Morgan,CHC,RP,FA,28,,-12.55512953,-15.56538228,,2,0,4.05184,50,0,1,1,50,47,8.4713,2.63123
Jack Leiter,TEX,SP,FA,24,,-27.87997552,-34.29349046,,6,7,4.77584,40,0,1,1,113,114,9.06061,3.97943
Adam Mazur,MIA,SP,FA,23,,1,1,,2,3,4.72981,6,0,0,0,33,25,6.83456,2.80769
Enyel De Los Santos,ATL,RP,FA,29,,1,1,,1,0,3.98724,21,0,1,1,21,22,9.2232,3.29938
Kyle Nicolas,PIT,SP,FA,26,,-17.64112855,-21.78085355,,2,0,4.29932,44,0,1,1,44,44,8.96184,4.39438
Jose Ruiz,PHI,RP,FA,30,,-12.61191899,-15.63478325,,3,0,4.27423,62,0,10,10,62,61,8.87746,3.5673
Roansy Contreras,BAL,RP,FA,25,,1,1,,2,0,4.38599,33,0,1,1,33,31,8.35635,3.32419
Dedniel Nunez,NYM,RP,FA,28,,-4.10077661,-5.233530583,,3,0,3.48631,49,0,4,4,49,55,10.1723,3.30131
Jordan Leasure,CHW,RP,FA,26,,-18.64362043,-23.00597362,,3,0,4.61593,62,0,10,10,62,60,8.69399,4.27612
Xzavion Curry,MIA,SP,FA,26,,1,1,,0,0,4.73863,8,0,1,1,8,6,6.81214,2.64789
Jesse Chavez,TEX,RP,FA,41,,1,1,,1,0,4.22736,33,0,1,1,33,30,8.14336,3.05135
Calvin Faucher,MIA,RP,FA,29,,-4.597423542,-5.840470286,,3,0,3.91425,63,22,6,28,63,66,9.41341,4.05668
Randy Rodriguez,SF,SP,FA,25,,-12.94140764,-16.03744302,,3,0,4.05228,53,0,7,7,53,54,9.11785,4.24838
Jacob Webb,TEX,RP,FA,31,,-9.568555235,-11.91556508,,3,0,4.25984,62,2,14,16,62,63,9.18092,3.94582
Kenta Maeda,DET,SP,FA,36,,-14.97402771,-18.5214568,,3,1,4.39547,63,0,5,5,77,71,8.2948,2.52281
Shelby Miller,ARI,RP,FA,34,,-11.00996774,-13.67707899,,4,0,4.33318,53,0,7,7,53,50,8.4423,3.38862
Ian Seymour,TB,SP,FA,26,,1,1,,2,1,4.36912,20,0,1,1,34,31,8.06321,3.10304
John Brebbia,DET,RP,FA,34,,-8.472710224,-10.5763605,,3,0,4.14182,57,0,9,9,57,61,9.70261,2.95326
Patrick Sandoval,BOS,SP,FA,28,,1,1,,1,1,3.82197,8,0,1,1,15,14,8.72013,3.55899
James McArthur,KC,RP,FA,28,,1,1,,2,0,4.04379,31,0,1,1,31,28,8.07924,2.91185
Louie Varland,MIN,SP,FA,27,,1,1,,4,1,3.96764,56,0,7,7,63,61,8.70847,2.51117
Paul Blackburn,NYM,SP,FA,31,,-21.4452906,-26.42982414,,7,6,4.38895,46,0,1,1,115,94,7.37389,2.87015
Genesis Cabrera,NYM,RP,FA,28,,1,1,,1,0,4.29797,22,0,1,1,22,20,8.34655,4.04625
Justin Lawrence,PIT,RP,FA,30,,-18.40656076,-22.71626896,,4,0,4.39375,66,0,8,8,66,60,8.183,4.27734
Carlos Carrasco,NYY,SP,FA,37,,1,1,,1,1,4.64368,17,0,1,1,23,20,7.69958,2.89534
Angel Zerpa,KC,SP,FA,25,,-8.602712733,-10.73523329,,3,0,3.86681,59,0,12,12,59,51,7.74261,3.03727
Emilio Pagan,CIN,RP,FA,33,,-8.788347162,-10.96209245,,4,0,4.51807,64,3,12,15,64,65,9.17037,2.92029
Dillon Tate,(N/A),RP,FA,30,,1,1,,1,0,4.19343,33,0,0,0,33,25,6.73514,2.88993
Zack Kelly,BOS,RP,FA,30,,1,1,,2,0,4.25508,26,0,1,1,26,27,9.43749,4.36013
Zebby Matthews,MIN,SP,FA,24,,-7.993550494,-9.990791469,,5,5,4.02931,39,0,1,1,87,80,8.25044,1.8677
Sam Moll,CIN,RP,FA,33,,-9.872596206,-12.28712589,,3,0,4.16511,55,0,10,10,55,55,9.03584,3.81554
Slade Cecconi,CLE,P,FA,25,,-8.826540146,-11.00876714,,3,1,4.14797,44,0,1,1,51,46,8.18334,2.03266
Josh Sborz,TEX,RP,FA,31,,-9.843025795,-12.25098864,,2,0,3.7868,38,3,1,4,38,42,9.83597,3.52383
Brendon Little,TOR,RP,FA,28,,-12.02291274,-14.91497356,,3,0,3.85956,56,0,10,10,56,48,7.764,4.01065
Seth Martinez,SEA,RP,FA,30,,1,1,,1,0,4.07491,17,0,1,1,17,14,7.59022,3.39249
Gregory Santos,SEA,RP,FA,25,,6.807428348,8.097111868,,3,0,2.94792,62,5,13,18,62,67,9.74429,2.92704
Brennan Bernardino,BOS,RP,FA,33,,-11.73257931,-14.56016438,,3,0,3.95345,52,0,4,4,52,52,8.97371,3.51163
Evan Reifert,WSH,RP,FA,25,,-18.02535105,-22.25040218,,2,0,4.49383,52,0,6,6,52,55,9.5027,4.74182
J.P. France,HOU,SP,FA,29,,1,1,,2,1,4.318,23,0,1,1,30,27,8.11312,3.44873
Carmen Mlodzinski,PIT,P,FA,26,,-10.17940486,-12.66206902,,4,0,4.06686,61,1,12,13,61,54,8.00007,3.53367
Cristian Javier,HOU,SP,FA,27,,1,1,,1,0,4.03859,17,0,1,1,17,18,9.38866,3.38435
Jack Kochanowicz,LAA,SP,FA,24,,-31.73900556,-39.00951385,,5,6,4.78994,29,0,1,1,97,54,5.03447,2.45755
Landon Knack,LAD,SP,FA,27,,-12.27358139,-15.2213094,,3,1,4.24232,42,0,1,1,48,47,8.80478,2.83413
Wandy Peralta,SD,RP,FA,33,,-11.96355484,-14.84243376,,3,0,3.88421,52,0,4,4,52,44,7.69414,3.77112
Brock Burke,LAA,RP,FA,28,,-4.355442005,-5.544750746,,3,0,3.84888,66,1,16,17,66,66,9.00646,3.13995
Kyle Leahy,STL,P,FA,27,,-15.13693755,-18.72054482,,3,0,4.27143,56,0,10,10,56,44,7.00487,3.26813
Lucas Sims,WSH,RP,FA,30,,-15.40177427,-19.0441951,,3,0,4.48534,58,1,11,12,58,60,9.30001,4.81271
Dakota Hudson,LAA,SP,FA,30,,1,1,,1,0,4.80277,21,0,1,1,21,14,6.01552,3.59658
James Karinchak,CHW,RP,FA,29,,-14.76123712,-18.26141078,,2,0,4.28121,37,0,1,1,37,45,10.8889,4.86488
Jesus Tinoco,MIA,RP,FA,29,,-4.859731771,-6.161030563,,3,0,3.81975,64,6,10,16,64,64,9.0327,3.4431
Matt Moore,BOS,RP,FA,35,,1,1,,2,0,4.60292,28,0,1,1,28,26,8.38162,4.11802
Shawn Dubin,HOU,RP,FA,29,,1,1,,1,0,3.99286,33,0,1,1,33,34,9.31009,4.22279
Keaton Winn,SF,SP,FA,27,,-10.6834904,-13.27809925,,2,0,3.94153,42,0,1,1,42,39,8.31874,2.60931
Gabe Speier,SEA,RP,FA,29,,-2.257030092,-2.980334415,,3,0,3.57169,58,0,10,10,58,61,9.48053,2.99771
Steven Matz,STL,SP,FA,33,,-13.83582072,-17.13048272,,6,8,4.00892,42,0,1,1,116,102,7.91952,2.7311
Grant Wolfram,MIL,RP,FA,28,,1,1,,1,0,4.36227,18,0,1,1,18,17,8.59982,4.19457
Danny Coulombe,MIN,RP,FA,35,,-5.057095762,-6.402224124,,3,0,3.48479,51,0,4,4,51,52,9.16863,2.74908
Tommy Kahnle,DET,RP,FA,35,,-7.379497814,-9.24037316,,2,0,3.77684,58,2,10,12,58,59,9.20228,3.92719
Hayden Wesneski,HOU,SP,FA,27,,-15.29219126,-18.91027647,,6,5,4.34315,49,0,1,1,106,98,8.36531,2.9815
Tayler Saucedo,SEA,RP,FA,31,,-8.017183687,-10.019673,,3,0,3.78314,61,0,12,12,61,58,8.60545,3.82377
Jose Suarez,LAA,RP,FA,27,,-12.3078445,-15.26318148,,3,1,4.19055,62,0,10,10,69,67,8.73489,3.24185
Giovanny Gallegos,LAD,RP,FA,33,,1,1,,2,0,4.56756,33,0,1,1,33,32,8.8019,3.18669
Tim Mayza,PIT,RP,FA,33,,-17.91624824,-22.11707039,,2,0,4.07118,55,0,4,4,55,41,6.78342,3.15347
Collin Snider,SEA,RP,FA,29,,-10.90334993,-13.54678405,,4,0,4.12718,65,3,12,15,65,60,8.25438,3.81886
Will Smith,(N/A),RP,FA,35,,1,1,,1,0,4.65662,30,0,0,0,30,26,7.78682,3.3736
Joe Boyle,TB,P,FA,25,,-19.54654738,-24.10941789,,3,2,4.28637,41,0,1,1,59,69,10.4978,5.76328
Joey Wentz,PIT,RP,FA,27,,-13.51068513,-16.73314271,,3,0,4.25861,57,1,9,10,57,56,8.89542,3.72415
Luke Jackson,TEX,RP,FA,33,,-10.38465502,-12.91290006,,3,0,3.95825,55,0,10,10,55,58,9.56168,4.02158
Jake Bird,COL,RP,FA,29,,-21.04723822,-25.94337436,,2,0,4.60577,61,1,10,11,61,52,7.63814,3.75597
Cam Booser,CHW,RP,FA,32,,-13.96164319,-17.2842472,,3,0,4.32183,60,0,11,11,60,61,9.14266,3.74058
Bobby Miller,LAD,SP,FA,25,,-10.09786777,-12.5624246,,3,1,4.03153,40,0,1,1,47,45,8.75922,3.06208
Sam Long,KC,RP,FA,29,,-14.04712373,-17.3887108,,3,0,4.30053,56,0,10,10,56,49,7.94238,3.61057
Caleb Ferguson,PIT,RP,FA,28,,-4.078563022,-5.206383917,,3,0,3.44289,60,1,11,12,60,63,9.47847,3.61395
Bryce Jarvis,ARI,SP,FA,27,,-21.35128418,-26.31494127,,2,0,4.4286,50,0,4,4,50,40,7.11326,4.05234
Justin Wilson,BOS,RP,FA,37,,-11.96990826,-14.85019811,,3,0,4.14981,58,0,10,10,58,60,9.2616,3.12162
Michel Otanez,ATH,RP,FA,27,,-6.658522101,-8.359286906,,4,0,3.83219,61,0,13,13,61,75,11.0474,4.99272
Joe Ross,PHI,SP,FA,31,,-16.99406798,-20.99009712,,3,1,4.37316,56,0,6,6,63,55,7.90631,3.29052
Taijuan Walker,PHI,SP,FA,32,,-23.65257638,-29.12729249,,3,1,4.81061,51,0,1,1,66,48,6.58765,3.08577
Chase Silseth,LAA,SP,FA,24,,-14.66012204,-18.13784059,,3,1,4.17068,48,0,1,1,54,52,8.73761,3.47616
Steven Wilson,CHW,RP,FA,30,,1,1,,1,0,5.05592,32,0,1,1,32,31,8.79623,4.66872
Justin Topa,MIN,RP,FA,33,,-11.84346901,-14.69567989,,3,0,3.86438,50,0,1,1,50,43,7.76215,3.04598
Alex Lange,DET,RP,FA,29,,-10.6918709,-13.28834086,,3,0,3.71021,39,0,1,1,39,45,10.2852,4.82655
Angel Chivilli,COL,RP,FA,22,,-19.01265911,-23.45696649,,3,0,4.76498,53,0,6,6,53,48,8.16996,3.36435
Scott Effross,NYY,RP,FA,31,,1,1,,3,0,4.00192,34,0,1,1,34,28,7.52406,2.68642
Richard Lovelady,TOR,RP,FA,29,,1,1,,3,0,3.75658,32,0,1,1,32,29,8.03461,2.63063
Stephen Kolek,SD,P,FA,27,,-15.68745153,-19.39331407,,3,1,4.24218,31,0,1,1,47,38,7.28854,3.31602
Daniel Lynch,KC,RP,FA,28,,-15.86825031,-19.61426372,,3,1,4.30203,52,0,4,4,59,48,7.2657,2.70062
Keegan Thompson,CHC,RP,FA,29,,-8.466976843,-10.56935388,,4,0,4.05667,66,0,13,13,66,68,9.20608,4.0194
Caleb Thielbar,CHC,RP,FA,38,,-3.977549388,-5.0829377,,3,0,3.71106,56,0,10,10,56,61,9.80951,3.20661
Scott Alexander,COL,RP,FA,35,,-13.92070802,-17.23422135,,3,0,4.11861,56,0,9,9,56,42,6.82595,2.95871
Steven Okert,HOU,RP,FA,33,,1,1,,1,0,4.17841,26,0,1,1,26,28,9.55938,3.77429
Cooper Criswell,BOS,RP,FA,28,,1,1,,2,1,4.43405,23,0,1,1,30,22,6.83027,2.4537
Hunter Stratton,PIT,RP,FA,28,,1,1,,1,0,4.10953,15,0,1,1,15,14,8.53862,3.48356
Carson Spiers,CIN,RP,FA,27,,-20.16469299,-24.86483806,,2,1,4.88552,38,0,1,1,46,40,7.88493,2.95882
Ian Anderson,ATL,SP,FA,26,,-21.37737357,-26.34682445,,5,7,4.25919,24,0,1,1,92,79,7.76446,3.65942
Julian Merryweather,CHC,RP,FA,33,,-8.146740788,-10.17800147,,3,0,3.74435,52,0,4,4,52,58,10.052,3.68628
Austin Adams,BOS,RP,FA,33,,1,1,,1,0,4.53856,24,0,1,1,24,29,10.7293,4.85448
Elvin Rodriguez,MIL,RP,FA,26,,1,1,,1,0,4.24765,25,0,1,1,25,23,8.34358,2.8994
Braxton Ashcraft,PIT,SP,FA,25,,-13.27415325,-16.44408305,,2,1,4.06614,33,0,1,1,46,38,7.51042,2.22167
J.T. Ginn,ATH,P,FA,25,,-24.71469345,-30.425279,,4,5,4.43818,35,0,1,1,91,67,6.63168,3.09333
Logan Allen,CLE,SP,FA,26,,1,1,,2,3,4.32843,6,0,0,0,34,29,7.76885,3.43185
Alek Manoah,TOR,SP,FA,27,,1,1,,1,1,4.14214,10,0,1,1,17,16,8.57981,3.28303
Scott McGough,ARI,RP,FA,35,,1,1,,1,0,4.47755,22,0,1,1,22,21,8.38766,4.0557
Kody Funderburk,MIN,RP,FA,28,,-13.83846246,-17.13371113,,2,0,3.84542,48,0,1,1,48,48,9.04675,3.66433
Tanner Rainey,PIT,RP,FA,32,,-24.16627437,-29.75506985,,1,0,4.94358,42,0,1,1,42,38,8.14094,4.5371
Keynan Middleton,(N/A),RP,FA,31,,1,1,,1,0,3.97259,18,0,0,0,18,19,9.35759,3.74009
Penn Murfee,CHW,RP,FA,30,,-16.98816888,-20.98288798,,2,0,4.45559,51,0,4,4,51,47,8.35565,3.48432
Alex Wood,(N/A),SP,FA,34,,-21.98915023,-27.09446129,,4,6,4.66589,13,0,0,0,69,57,7.44702,3.20909
Noah Murdock,ATH,RP,FA,26,,-24.70474364,-30.41311958,,2,0,4.71414,56,0,7,7,56,47,7.55439,5.01501
Abner Uribe,MIL,RP,FA,24,,-11.26296487,-13.98626041,,2,0,3.58771,49,0,1,1,49,58,10.7204,5.12713
Chase Dollander,COL,SP,FA,23,,-34.15983319,-41.9679463,,4,7,5.06042,18,0,0,0,95,85,8.10648,3.58325
Carlos Hernandez,KC,RP,FA,27,,-15.78711458,-19.51510979,,2,0,4.20954,48,0,1,1,48,46,8.69779,3.84448
Cody Poteet,CHC,SP,FA,30,,1,1,,1,0,3.85951,30,0,1,1,30,28,8.33832,2.96184
J.T. Chargois,TEX,RP,FA,34,,1,1,,1,0,4.10366,26,0,1,1,26,24,8.24055,3.62793
Luis Curvelo,TEX,RP,FA,24,,1,1,,1,0,4.70433,24,0,1,1,24,21,8.01075,3.37824
Caden Dana,LAA,SP,FA,21,,-25.34401323,-31.19435484,,4,5,4.92308,13,0,0,0,69,59,7.60761,3.39056
Joe Kelly,(N/A),RP,FA,36,,1,1,,2,0,3.72097,34,0,0,0,34,40,10.5594,4.23168
Jake Bloss,TOR,SP,FA,23,,-19.65301698,-24.23953171,,2,2,4.73789,19,0,1,1,37,30,7.31171,3.40606
Evan Sisk,KC,RP,FA,27,,-15.4029306,-19.04560822,,2,0,4.12256,36,0,1,1,36,33,8.25192,4.31279
Landen Roupp,SF,SP,FA,26,,-9.925038872,-12.35121475,,4,2,3.7775,55,0,4,4,75,74,8.81311,3.59661
Jake Diekman,ATL,RP,FA,38,,-17.27526978,-21.33374676,,2,0,4.31878,40,0,1,1,40,47,10.5131,5.56486
Yilber Diaz,ARI,SP,FA,24,,-13.61023606,-16.85480139,,3,1,4.12305,42,0,1,1,49,49,8.98521,3.96597
Kendall Graveman,ARI,RP,FA,34,,-8.750217739,-10.91549545,,4,0,3.85948,56,0,10,10,56,55,8.78042,4.02205
Eduard Bazardo,SEA,RP,FA,29,,-6.891664711,-8.644204616,,3,0,3.6719,50,0,1,1,50,50,8.96121,2.97345
Angel Perdomo,ATL,RP,FA,30,,-6.815385291,-8.550985459,,3,0,3.78473,54,0,7,7,54,68,11.4127,4.31768
Vince Velasquez,CLE,SP,FA,32,,1,1,,1,0,4.02252,12,0,1,1,12,12,9.18983,3.01357
Shintaro Fujinami,SEA,RP,FA,30,,1,1,,1,0,4.127,24,0,1,1,24,26,9.79333,4.8624
Mason Englert,TB,SP,FA,25,,-14.770771,-18.2730619,,2,0,4.34696,46,0,1,1,46,41,7.9495,2.82581
Spencer Bivens,SF,RP,FA,30,,-16.26106884,-20.09431734,,2,0,4.31698,40,0,1,1,40,30,6.7603,3.03049
Brandon Sproat,NYM,SP,FA,24,,1,1,,1,2,4.22844,5,0,0,0,25,22,7.84824,3.36833
Ryan Borucki,PIT,RP,FA,30,,1,1,,1,0,4.20042,28,0,1,1,28,28,8.92971,3.93846
