Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Will Benson,CIN,OF,FA,26,,-28.35110145,-34.86924159,,45,196,168,35,6,25,22,24,2,8,0.209955
Manuel Margot,MIL,OF,FA,30,,-39.364283,-48.32817329,,13,56,51,13,1,6,6,4,0,1,0.261212
Jose Trevino,CIN,C,FA,32,,-20.0285521,-24.69846371,,66,262,242,59,7,28,30,16,2,2,0.245553
Chris Taylor,LAD,"2B,3B,OF",FA,34,,-25.40376672,-31.26737808,,66,287,252,56,7,33,30,29,3,6,0.220591
Justin Turner,CHC,1B,FA,40,,-19.37663831,-23.9017763,,83,357,314,79,8,40,39,33,6,1,0.251866
Donovan Solano,SEA,"1B,3B",FA,37,,-23.9117526,-29.44402521,,83,357,323,82,6,33,32,25,7,1,0.252758
Gio Urshela,ATH,3B,FA,33,,-18.09030704,-22.32978325,,89,385,359,96,8,37,40,21,2,1,0.267419
Jarred Kelenic,ATL,OF,FA,25,,-28.31060476,-34.81975161,,42,182,164,40,6,21,23,16,1,4,0.242231
Alek Thomas,ARI,OF,FA,24,,-17.6407547,-21.78039667,,71,308,283,72,8,38,37,20,2,7,0.254982
Justyn-Henry Malloy,DET,OF,FA,25,,-33.68240671,-41.38449543,,36,154,131,30,4,17,16,20,2,1,0.227637
Elias Diaz,SD,C,FA,34,,-21.22018834,-26.15473233,,78,307,283,64,8,29,33,20,2,0,0.226472
James McCann,(N/A),C,FA,34,,-26.86171782,-33.04910338,,45,179,164,38,5,18,19,10,2,2,0.229032
Jorge Mateo,BAL,2B,FA,29,,-32.78936017,-40.29312575,,31,133,123,29,3,16,14,7,1,9,0.232807
Pavin Smith,ARI,OF,FA,29,,-17.42876058,-21.52132399,,78,336,294,73,10,40,41,37,2,2,0.248253
Dominic Canzone,SEA,OF,FA,27,,-38.71876116,-47.53929731,,13,56,51,12,2,7,7,4,0,1,0.241076
Joey Gallo,CHW,1B,FA,31,,-29.64046964,-36.44494597,,53,231,195,35,11,26,26,33,2,2,0.178267
Adam Duvall,(N/A),OF,FA,36,,-32.93175391,-40.46714156,,36,154,141,30,6,16,20,10,2,1,0.209234
Korey Lee,CHW,C,FA,26,,-26.72259584,-32.87908591,,47,186,174,38,6,19,19,10,1,3,0.22123
Brooks Baldwin,CHW,2B,FA,24,,-29.37122257,-36.11590591,,49,210,193,48,5,22,21,14,1,5,0.248612
Miguel Andujar,ATH,OF,FA,30,,-16.65345587,-20.57384365,,79,343,319,86,8,38,38,20,2,4,0.271201
Edmundo Sosa,PHI,"2B,3B,SS",FA,28,,-31.41246724,-38.61045959,,41,175,161,39,4,21,19,7,5,3,0.24558
Esteury Ruiz,ATH,OF,FA,26,,-32.42771971,-39.85117406,,26,112,100,25,2,14,12,7,3,10,0.250353
Ezequiel Duran,TEX,"3B,OF",FA,25,,-31.70617517,-38.96939266,,39,168,157,39,4,18,19,9,2,3,0.249603
Deyvison De Los Santos,MIA,"1B,3B",FA,21,,-14.91194747,-18.44559011,,81,350,329,82,15,40,45,16,3,1,0.250589
Jose Tena,WSH,3B,FA,23,,-20.24971174,-24.96873734,,75,322,298,76,7,34,35,18,2,7,0.253808
Kevin Newman,LAA,"2B,SS",FA,31,,-30.64205208,-37.66895464,,52,224,207,51,3,23,19,12,2,5,0.244746
Matt Mervis,MIA,UT,FA,26,,-16.82683897,-20.78573076,,92,399,356,81,14,42,47,34,6,2,0.22779
Bryan Ramos,CHW,3B,FA,22,,-36.13381002,-44.38029365,,28,119,109,25,4,12,13,8,2,1,0.225759
Victor Caratini,HOU,C,FA,31,,-25.27336048,-31.10801189,,50,200,177,43,5,20,22,17,3,1,0.241055
Tim Anderson,LAA,SS,FA,31,,-37.6390455,-46.21980401,,24,105,99,26,1,11,8,4,1,2,0.259538
David Fry,CLE,"C,1B,OF",FA,29,,-24.11653042,-29.69427903,,40,175,154,38,6,20,22,16,3,2,0.244106
Max Schuemann,ATH,"3B,SS",FA,27,,-37.41029209,-45.94025022,,26,112,97,21,2,13,10,11,2,3,0.218233
Pedro Pages,STL,C,FA,26,,-24.23919052,-29.84417884,,62,243,220,49,6,23,27,19,2,2,0.22482
Alex Call,WSH,OF,FA,30,,-25.89679657,-31.86989744,,60,259,222,50,6,30,26,30,4,7,0.225789
Endy Rodriguez,PIT,C,FA,24,,-13.89416122,-17.20177918,,86,352,318,78,8,41,39,28,3,2,0.246107
Jose Iglesias,SD,"2B,3B",FA,35,,-23.24224219,-28.6258334,,75,322,302,80,4,34,31,14,4,3,0.265208
Romy Gonzalez,BOS,"1B,2B,SS",FA,28,,-35.41637054,-43.50352894,,21,91,84,21,3,11,12,5,1,4,0.254524
Whit Merrifield,(N/A),"2B,OF",FA,36,,-30.87966077,-37.95933023,,42,182,165,41,3,21,17,13,1,7,0.246954
Sean Bouchard,COL,OF,FA,28,,-30.41241889,-37.3883257,,36,154,134,33,5,19,19,16,2,3,0.24445
Darell Hernaiz,ATH,3B,FA,23,,-36.24383648,-44.51475422,,26,112,102,26,2,12,11,7,1,2,0.252302
Jack Suwinski,PIT,OF,FA,26,,-31.63830363,-38.88644855,,34,147,128,29,6,17,18,16,1,3,0.225199
Jace Jung,DET,3B,FA,24,,-21.77005642,-26.82671226,,84,364,315,71,10,38,39,44,3,2,0.224217
Travis Jankowski,CHC,OF,FA,33,,-42.23634691,-51.83805024,,5,21,19,4,0,2,2,2,0,1,0.232898
David Peralta,(N/A),OF,FA,37,,-29.32873134,-36.06397845,,50,217,197,49,5,22,23,16,2,1,0.246202
Ben Rortvedt,TB,C,FA,27,,-25.56951168,-31.46993081,,65,256,226,49,5,25,25,25,3,1,0.217705
Luisangel Acuna,NYM,SS,FA,22,,-30.53686319,-37.54040595,,39,168,156,39,3,21,16,10,1,8,0.246509
Oswald Peraza,NYY,3B,FA,24,,-27.86038429,-34.26954851,,47,203,183,42,6,24,24,15,4,7,0.232535
Yasmani Grandal,(N/A),C,FA,36,,-29.46297026,-36.22802845,,36,141,123,29,4,14,14,16,1,1,0.233233
DJ LeMahieu,NYY,"1B,3B",FA,36,,-21.18665108,-26.1137473,,87,378,334,82,7,40,36,38,2,2,0.24552
Stuart Fairchild,CIN,OF,FA,28,,-25.47816223,-31.35829495,,52,224,198,45,7,27,26,18,5,8,0.228679
Rob Refsnyder,BOS,OF,FA,33,,-25.88912153,-31.86051796,,50,217,189,49,6,26,26,22,4,2,0.260469
Lenyn Sosa,CHW,"2B,3B",FA,25,,-22.15439818,-27.29640665,,71,308,289,72,9,32,36,14,2,2,0.249616
Vidal Brujan,CHC,"2B,SS,OF",FA,27,,-36.63278882,-44.99008308,,26,112,100,23,2,13,10,9,1,4,0.22639
Trent Grisham,NYY,OF,FA,28,,-30.29089984,-37.23982033,,42,182,157,33,7,22,21,21,2,3,0.212013
Cavan Biggio,KC,2B,FA,29,,-43.33269866,-53.17787409,,5,21,18,4,0,2,2,3,0,0,0.210868
Jason Heyward,SD,OF,FA,35,,-20.35591905,-25.09853062,,79,343,309,70,10,38,39,28,4,4,0.228268
Ramon Urias,BAL,3B,FA,30,,-26.94825353,-33.15485649,,53,231,209,53,6,26,27,17,4,1,0.254148
Edgar Quero,CHW,C,FA,21,,-28.55679757,-35.12061764,,39,154,136,32,4,15,17,14,2,1,0.236635
Oscar Colas,CHW,OF,FA,26,,-30.55061311,-37.55720937,,44,189,172,41,5,20,20,14,2,3,0.236893
Kyle Teel,CHW,C,FA,23,,-26.21418906,-32.2577748,,45,179,159,38,4,21,17,18,2,3,0.239506
Jon Berti,CHC,3B,FA,35,,-31.07647142,-38.19984757,,42,182,164,40,3,21,16,15,2,8,0.244305
Dillon Dingler,DET,C,FA,26,,-22.46953784,-27.68153088,,60,237,214,48,7,26,28,17,4,2,0.226203
Javier Baez,DET,SS,FA,32,,-20.30638893,-25.03800111,,79,343,320,75,9,37,38,16,4,7,0.23318
DaShawn Keirsey,MIN,OF,FA,27,,-39.73136433,-48.77677413,,11,49,45,11,1,5,5,3,1,2,0.243982
Everson Pereira,NYY,OF,FA,23,,-40.90091133,-50.20604806,,6,28,26,6,1,3,4,2,0,1,0.234248
Jacob Stallings,COL,C,FA,35,,-21.92410768,-27.01497443,,75,294,260,60,6,28,31,27,5,1,0.229564
Brett Baty,NYM,3B,FA,25,,-39.78487707,-48.84217071,,13,56,50,12,2,6,7,5,1,0,0.238722
Thomas Saggese,STL,2B,FA,22,,-28.89767231,-35.53719207,,49,210,194,47,6,23,25,11,3,2,0.242255
Jordan Beck,COL,OF,FA,23,,-12.93214394,-16.0261221,,94,406,367,90,11,45,45,34,2,9,0.244573
Pedro Leon,HOU,OF,FA,26,,-41.426414,-50.84825163,,6,28,25,5,1,3,3,2,1,1,0.214346
Robbie Grossman,(N/A),OF,FA,35,,-37.20672737,-45.69147892,,28,119,102,22,2,13,11,15,1,1,0.221008
Michael A. Taylor,CHW,OF,FA,33,,-32.59499223,-40.05559359,,39,168,153,33,5,18,16,12,1,5,0.215917
Drew Romo,COL,C,FA,23,,-21.91348866,-27.0019972,,62,243,226,56,5,25,28,11,3,2,0.247371
Tyler Wade,SD,"3B,OF",FA,30,,-36.96788756,-45.3995988,,24,105,94,21,1,13,8,8,1,6,0.224651
Andy Ibanez,DET,2B,FA,31,,-31.97005397,-39.29187228,,45,196,180,43,4,21,20,13,2,2,0.241228
Henry Davis,PIT,C,FA,25,,-33.42375665,-41.06840571,,18,72,63,14,2,8,8,7,2,1,0.22866
Jared Serna,MIA,SS,FA,22,,-37.53591416,-46.0937698,,23,98,89,21,2,11,10,6,1,2,0.231191
Tirso Ornelas,SD,OF,FA,24,,-19.70603392,-24.30432237,,81,350,318,77,9,38,38,27,3,3,0.241186
Carson Kelly,CHC,C,FA,30,,-19.64151677,-24.22547759,,76,301,267,61,8,32,33,27,4,1,0.229213
Bryan De La Cruz,ATL,OF,FA,28,,-34.48494832,-42.36526131,,26,112,104,26,4,12,14,7,1,1,0.247243
Niko Kavadas,LAA,UT,FA,26,,-43.01634446,-52.79126559,,3,14,12,2,1,2,2,2,0,0,0.196592
Ben Rice,NYY,1B,FA,26,,-31.23727087,-38.39635653,,34,144,125,28,7,18,20,15,2,2,0.225571
Chase DeLauter,CLE,OF,FA,23,,-34.73281581,-42.66817392,,24,105,95,25,3,12,13,8,1,1,0.259246
Trey Lipscomb,WSH,3B,FA,24,,-42.1203213,-51.69625826,,8,35,33,8,0,3,3,2,0,1,0.242517
Luis Torrens,NYM,C,FA,28,,-28.12606488,-34.59423007,,40,160,146,33,5,16,18,11,1,1,0.22867
Garrett Stubbs,PHI,C,FA,31,,-37.20740732,-45.69230986,,5,19,17,4,0,2,2,2,0,0,0.209952
Jake Bauers,MIL,1B,FA,29,,-41.78550819,-51.2870916,,6,28,24,5,1,3,3,3,0,1,0.202086
Brett Wisely,SF,"2B,SS",FA,25,,-33.83571991,-41.57185563,,34,147,132,32,3,17,15,12,1,3,0.239547
Kristian Campbell,BOS,"2B,SS,OF",FA,22,,-22.05674964,-27.17707283,,55,238,210,56,6,31,31,23,4,6,0.265673
Scott Kingery,LAA,"2B,SS,OF",FA,30,,-42.23586036,-51.83745564,,6,28,26,5,1,3,3,2,0,1,0.215052
Nicky Lopez,CHC,"2B,SS",FA,29,,-43.5655552,-53.4624422,,2,7,6,2,0,1,0,1,0,0,0.243826
Drake Baldwin,ATL,C,FA,23,,-24.23670028,-29.84113558,,53,211,187,44,5,24,24,21,3,1,0.235772
Tyrone Taylor,NYM,OF,FA,31,,-16.84878147,-20.81254615,,78,336,308,72,10,42,40,19,6,8,0.233352
Jon Singleton,HOU,1B,FA,33,,-38.84884168,-47.69826544,,19,84,72,15,3,9,9,11,0,0,0.210876
Shay Whitcomb,HOU,3B,FA,26,,-41.6879005,-51.16780769,,8,35,32,7,1,4,4,2,0,1,0.230362
Adrian Del Castillo,ARI,C,FA,25,,-29.60174675,-36.39762371,,29,119,107,26,3,14,15,10,1,0,0.239999
James Outman,LAD,OF,FA,27,,-42.26804424,-51.87678675,,3,14,12,3,0,2,2,1,0,0,0.220417
Gustavo Campero,LAA,"OF,UT",FA,27,,-42.59721188,-52.27905423,,2,7,6,2,0,1,1,0,0,0,0.242285
Tom Murphy,SF,C,FA,33,,-29.50040833,-36.27378057,,36,146,129,29,4,15,15,14,1,1,0.222408
Adam Frazier,PIT,"2B,OF",FA,33,,-30.49913017,-37.49429337,,53,231,209,51,3,25,20,17,3,4,0.243789
Yuli Gurriel,(N/A),1B,FA,40,,-39.81817725,-48.88286602,,13,56,51,13,1,6,6,5,0,1,0.253962
Nacho Alvarez,ATL,2B,FA,21,,-43.06089301,-52.84570725,,5,21,19,5,0,2,2,2,0,0,0.246038
Liover Peguero,PIT,SS,FA,24,,-41.86925465,-51.38943604,,6,28,26,6,1,3,3,2,0,1,0.235471
Graham Pauley,MIA,3B,FA,24,,-38.41840055,-47.17223418,,21,91,82,18,2,10,10,7,1,1,0.223924
Joey Loperfido,TOR,OF,FA,25,,-30.39858119,-37.371415,,42,182,164,37,5,21,21,13,3,4,0.224027
Austin Hedges,CLE,C,FA,32,,-32.19250467,-39.56372369,,49,192,173,32,3,16,16,11,3,2,0.186279
Enmanuel Valdez,PIT,2B,FA,26,,-43.22530408,-53.04662988,,3,14,13,3,0,2,2,1,0,0,0.233149
Juan Yepez,WSH,1B,FA,27,,-36.24908911,-44.52117333,,23,98,89,22,3,11,12,8,1,1,0.247721
Adael Amador,COL,2B,FA,21,,-41.22649473,-50.60393533,,8,35,31,8,1,4,4,3,0,1,0.241964
Javier Sanoja,MIA,"OF,UT",FA,22,,-29.60953095,-36.40713658,,52,224,206,55,2,21,21,14,1,5,0.264288
J.C. Escarra,NYY,"C,1B",FA,29,,-41.94392953,-51.48069433,,8,32,29,6,1,4,3,3,0,0,0.223631
Eguy Rosario,SD,3B,FA,25,,-20.50043494,-25.27513985,,70,301,270,62,10,35,37,25,3,7,0.230739
Blaze Alexander,ARI,SS,FA,25,,-36.66166542,-45.02537244,,29,126,113,26,2,13,13,9,2,2,0.227559
Jhonny Pereda,ATH,C,FA,28,,-32.98133127,-40.5277288,,28,109,97,24,1,10,9,10,1,0,0.242911
Kyle Farmer,COL,"2B,3B",FA,34,,-24.97317172,-30.74115877,,62,266,242,61,7,29,29,16,6,3,0.250654
Austin Barnes,LAD,C,FA,35,,-31.52601435,-38.74922266,,36,141,125,27,2,14,12,13,2,2,0.21864
Casey Schmitt,SF,2B,FA,26,,-40.52100563,-49.74177488,,11,49,45,11,1,5,6,3,1,1,0.243033
Luke Maile,KC,C,FA,34,,-37.20740732,-45.69230986,,5,19,17,4,0,2,2,2,0,0,0.213234
Jonatan Clase,TOR,OF,FA,22,,-40.40194864,-49.59627832,,8,35,31,7,1,4,4,3,0,2,0.22047
Nick Yorke,PIT,2B,FA,22,,-33.29361965,-40.90936856,,36,154,139,35,3,17,16,12,1,3,0.251432
Carlos Narvaez,BOS,C,FA,26,,-27.47559652,-33.79930908,,50,198,173,37,4,21,20,21,3,2,0.216138
Oscar Gonzalez,SD,OF,FA,27,,-40.86299764,-50.1597147,,6,28,26,7,1,3,4,1,0,0,0.252364
Taylor Trammell,HOU,OF,FA,27,,-37.63016881,-46.20895604,,18,77,67,14,3,9,9,8,1,2,0.215982
Tyler Freeman,CLE,"OF,UT",FA,25,,-35.23473707,-43.28155925,,24,105,92,23,2,13,11,7,4,3,0.253407
Santiago Espinal,CIN,"2B,3B",FA,30,,-30.18070994,-37.10516003,,47,203,185,48,3,21,21,14,1,4,0.261268
Dominic Smith,NYY,1B,FA,29,,-41.4436159,-50.86927364,,10,42,38,9,1,4,4,3,1,0,0.235834
Jorge Barrosa,ARI,OF,FA,24,,-42.96381759,-52.72707382,,2,7,6,1,0,1,1,1,0,0,0.232637
DJ Stewart,PIT,OF,FA,31,,-41.33113832,-50.73181763,,8,35,30,6,1,4,4,4,1,0,0.214131
Nick Loftin,KC,2B,FA,26,,-35.70380218,-43.8547919,,29,126,112,28,2,14,13,11,1,2,0.247562
Tyler Locklear,SEA,1B,FA,24,,-37.31820308,-45.82771057,,23,98,86,19,3,11,11,8,2,1,0.223538
Billy Cook,PIT,"1B,OF",FA,26,,-36.4538869,-44.77145154,,21,91,83,19,3,10,10,6,1,3,0.230796
Alexander Canario,NYM,OF,FA,24,,-41.501409,-50.93990113,,6,28,25,5,1,3,4,2,0,0,0.209498
Matt Thaiss,CHW,C,FA,29,,-32.82253436,-40.3336671,,28,109,94,20,2,11,10,13,1,1,0.212911
Ryan Noda,LAA,1B,FA,28,,-43.41771184,-53.28176655,,2,7,6,1,0,1,1,1,0,0,0.197394
J.D. Davis,LAA,1B,FA,31,,-37.62058175,-46.19723992,,26,112,100,22,3,11,12,10,1,0,0.223889
Nick Ahmed,TEX,SS,FA,34,,-43.77326395,-53.71627783,,2,7,7,1,0,1,1,0,0,0,0.21502
Brady House,WSH,3B,FA,21,,-41.80349148,-51.30906852,,8,35,33,7,1,4,4,2,0,0,0.229349
Andruw Monasterio,MIL,"2B,3B",FA,27,,-36.64788856,-45.00853608,,26,112,99,24,2,13,10,11,1,3,0.238697
Drew Millas,WSH,C,FA,27,,-34.78463027,-42.73149507,,11,45,40,10,1,5,5,4,0,1,0.242011
Jacob Melton,HOU,OF,FA,24,,-30.120873,-37.03203482,,40,175,162,36,5,20,20,11,1,7,0.221082
Jose Herrera,ARI,C,FA,28,,-34.84800255,-42.80894074,,19,77,68,15,1,8,6,7,0,0,0.222065
Blake Sabol,BOS,C,FA,27,,-34.30916019,-42.15043506,,15,58,51,12,1,6,7,5,1,1,0.237963
Grant McCray,SF,OF,FA,24,,-34.79041568,-42.73856528,,28,119,108,24,3,14,13,9,1,4,0.223524
Christian Moore,LAA,2B,FA,22,,-17.65211524,-21.7942801,,65,280,260,67,10,42,36,17,1,3,0.257329
Kody Clemens,PHI,1B,FA,28,,-42.41537117,-52.05683127,,5,21,19,4,1,3,3,1,0,0,0.227744
Nathan Lukes,TOR,OF,FA,30,,-38.66850965,-47.47788621,,15,63,57,15,1,7,7,5,1,1,0.268816
Oliver Dunn,MIL,3B,FA,27,,-26.04287202,-32.04841256,,71,308,272,57,7,33,31,31,3,7,0.208414
Addison Barger,TOR,"3B,OF",FA,25,,-35.85031524,-44.03384182,,26,112,100,24,3,13,13,10,1,1,0.239865
Marco Luciano,SF,"2B,SS",FA,23,,-40.64187004,-49.88948022,,15,63,56,12,1,7,6,6,0,1,0.219799
Weston Wilson,PHI,"OF,UT",FA,30,,-37.12399558,-45.59037448,,19,84,75,16,3,10,10,8,0,2,0.219704
Nick Allen,ATL,SS,FA,26,,-37.15649501,-45.63009122,,26,112,101,25,1,12,11,9,1,2,0.248927
Will Wagner,TOR,2B,FA,26,,-14.12763994,-17.48710764,,94,406,357,97,7,47,43,41,4,3,0.271638
Colby Thomas,ATH,OF,FA,24,,-34.19369437,-42.00932719,,28,119,110,26,4,13,15,6,2,2,0.235528
Owen Miller,COL,1B,FA,28,,-43.45967167,-53.3330446,,2,7,6,2,0,1,1,0,0,0,0.263117
Ben Gamel,HOU,OF,FA,32,,-32.53196251,-39.97856656,,37,161,139,33,4,19,17,19,1,1,0.233407
Jorbit Vivas,NYY,"2B,3B",FA,23,,-43.38420105,-53.24081385,,3,14,12,3,0,2,1,1,0,0,0.222071
Miles Mastrobuoni,SEA,3B,FA,29,,-42.50891689,-52.17115114,,6,28,25,6,0,3,2,3,0,1,0.234235
Dylan Carlson,BAL,OF,FA,26,,-41.05933267,-50.39965079,,8,35,31,7,1,4,4,3,1,0,0.238622
Alex Jackson,NYY,C,FA,29,,-29.64423909,-36.44955252,,32,128,116,24,5,14,16,9,2,1,0.206374
Luis Guillorme,HOU,2B,FA,30,,-42.16315166,-51.74860016,,10,42,37,9,0,4,3,5,0,1,0.243097
Tyler Heineman,TOR,C,FA,33,,-31.60821989,-38.84968397,,36,141,122,26,2,14,12,13,2,2,0.212641
Zac Veen,COL,OF,FA,23,,-33.17804717,-40.76813034,,31,133,119,28,3,15,14,11,1,6,0.235182
Agustin Ramirez,MIA,"C,1B",FA,23,,-18.6321971,-22.99201345,,65,263,237,56,8,30,30,22,3,5,0.236808
Christian Bethancourt,TOR,C,FA,33,,-32.64577777,-40.11765732,,19,77,72,17,2,9,9,3,0,1,0.232624
Steward Berroa,TOR,OF,FA,25,,-42.96381759,-52.72707382,,2,7,6,1,0,1,1,1,0,0,0.220589
Blake Dunn,CIN,OF,FA,26,,-42.19304924,-51.78513725,,3,14,12,3,0,2,1,1,0,1,0.229025
Tyler Callihan,CIN,2B,FA,24,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,0,0,0,0.225982
Greg Jones,COL,"OF,UT",FA,26,,-37.65721448,-46.24200787,,15,63,57,13,2,8,7,4,1,4,0.233659
Matthew Lugo,LAA,OF,FA,23,,-43.67846389,-53.60042507,,2,7,6,1,0,1,1,0,0,0,0.230851
Nick Kurtz,ATH,1B,FA,21,,-41.49511829,-50.93221341,,8,35,32,8,1,4,3,2,0,0,0.253041
Osleivis Basabe,SF,SS,FA,24,,-43.31185819,-53.15240547,,2,7,6,2,0,1,1,0,0,0,0.249341
Johnathan Rodriguez,CLE,OF,FA,25,,-32.05583604,-39.3967044,,34,147,132,32,5,17,18,13,1,1,0.244824
Brandon Lockridge,SD,OF,FA,27,,-40.05467236,-49.17188074,,10,42,38,9,1,5,4,4,0,2,0.23599
Matt Duffy,(N/A),3B,FA,34,,-41.14550169,-50.50495578,,13,56,51,12,1,5,5,4,1,0,0.23336
Eric Haase,MIL,C,FA,32,,-29.11873642,-35.80734895,,32,128,117,25,5,14,17,9,1,1,0.21688
Alan Roden,TOR,OF,FA,25,,-34.5443477,-42.4378518,,28,119,105,27,2,14,13,11,2,2,0.255181
Joe Mack,MIA,C,FA,22,,-37.63137501,-46.2104301,,3,13,12,3,0,1,1,1,0,0,0.219515
Reese McGuire,CHC,C,FA,30,,-37.63137501,-46.2104301,,3,13,12,3,0,1,1,1,0,0,0.217654
Jeferson Quero,MIL,C,FA,22,,-36.3974744,-44.70251125,,6,26,23,5,1,3,3,2,0,0,0.229252
Luke Williams,ATL,2B,FA,28,,-41.211395,-50.58548233,,8,35,32,7,1,4,4,3,0,2,0.225981
Garrett Cooper,ATL,1B,FA,34,,-42.96381759,-52.72707382,,2,7,6,1,0,1,1,1,0,0,0.235872
Zach Dezenzo,HOU,1B,FA,24,,-41.74086438,-51.23253351,,5,21,19,5,1,3,3,2,0,0,0.245126
Curtis Mead,TB,2B,FA,24,,-38.72103652,-47.54207798,,16,70,63,16,2,8,8,5,1,1,0.257357
Nick Sogard,BOS,2B,FA,27,,-43.67846389,-53.60042507,,2,7,6,1,0,1,1,1,0,0,0.241237
Logan Driscoll,TB,C,FA,27,,-36.23306333,-44.50158862,,8,32,29,7,1,3,3,2,0,0,0.233291
Chadwick Tromp,ATL,C,FA,29,,-35.41031698,-43.49613103,,13,51,47,11,1,5,5,4,0,0,0.228445
Cooper Bowman,CIN,"2B,OF",FA,25,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,1,0,0,0.221471
Jake Mangum,TB,OF,FA,28,,-31.95741628,-39.27642809,,36,154,144,38,2,17,16,7,2,4,0.264448
Tim Tawa,ARI,"1B,2B",FA,25,,-42.94673344,-52.70619572,,5,21,19,4,1,2,2,1,0,0,0.226814
Michael Helman,STL,"OF,UT",FA,28,,-39.14682247,-48.06242026,,15,63,57,13,2,7,7,5,1,2,0.22557
Curt Casali,ATL,C,FA,36,,-37.90318066,-46.54259694,,3,13,11,2,0,1,1,1,0,0,0.216934
Austin Shenton,SEA,1B,FA,27,,-41.51322692,-50.95434352,,8,35,31,7,1,4,4,4,0,0,0.214888
Ryan Bliss,SEA,2B,FA,25,,-30.60035621,-37.61799917,,41,175,157,35,4,21,18,14,2,10,0.221296
Braden Shewmake,NYY,SS,FA,27,,-43.77326395,-53.71627783,,2,7,7,1,0,1,1,0,0,0,0.219656
Stone Garrett,WSH,UT,FA,29,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,1,0,0,0.224747
Matt Koperniak,STL,OF,FA,27,,-42.19843322,-51.79171687,,5,21,19,5,0,2,2,1,0,0,0.250925
Gage Workman,CHC,"3B,SS",FA,25,,-39.0725425,-47.97164457,,16,70,64,14,2,8,8,5,0,2,0.221982
Juan Brito,CLE,"1B,2B,3B",FA,23,,-26.26923507,-32.32504514,,66,287,251,58,6,31,30,30,3,4,0.231687
Eric Wagaman,MIA,3B,FA,27,,-33.09871604,-40.67118177,,34,147,135,34,4,16,16,10,1,2,0.247959
Liam Hicks,MIA,C,FA,25,,-32.99405592,-40.54327927,,26,103,89,21,1,10,9,11,2,1,0.240564
Leo Rivas,SEA,SS,FA,27,,-39.87831223,-48.95635546,,16,70,59,13,1,8,5,9,1,3,0.216452
Brewer Hicklen,MIL,OF,FA,29,,-41.17271698,-50.5382149,,6,28,25,5,1,3,4,3,1,1,0.203266
Jason Delay,PIT,C,FA,29,,-37.20740732,-45.69230986,,5,19,17,4,0,2,2,1,0,0,0.232587
Cal Stevenson,PHI,OF,FA,28,,-40.23167796,-49.38819481,,10,42,36,8,1,5,4,6,0,2,0.226555
Tyler Gentry,KC,OF,FA,26,,-41.05933267,-50.39965079,,8,35,31,7,1,4,4,3,0,0,0.233904
Nick Maton,CHW,3B,FA,28,,-43.38420105,-53.24081385,,3,14,12,3,0,2,1,2,0,0,0.219446
Gabriel Arias,CLE,3B,FA,25,,-32.80793771,-40.3158289,,34,147,135,33,4,16,16,9,2,4,0.242988
Tucker Barnhart,TEX,C,FA,34,,-38.04948311,-46.72138947,,2,6,6,1,0,1,0,1,0,0,0.200337
Tim Elko,CHW,1B,FA,26,,-41.93719462,-51.47246376,,6,28,26,6,1,3,3,1,0,0,0.23933
Mike Brosseau,SD,1B,FA,30,,-43.19506825,-53.00967943,,3,14,13,3,0,1,2,1,0,0,0.217231
Brett Harris,ATH,3B,FA,26,,-43.02479757,-52.80159592,,5,21,18,4,0,2,2,2,0,0,0.225587
Joey Wiemer,KC,OF,FA,26,,-34.69536663,-42.62240823,,34,147,131,28,3,16,14,14,1,4,0.217698
Max Muncy,ATH,SS,FA,22,,-40.44553501,-49.64954413,,13,56,51,12,1,6,6,4,1,1,0.229239
Isaac Collins,MIL,"OF,UT",FA,27,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,1,0,0,0.222393
Darren Baker,WSH,2B,FA,26,,-42.38492472,-52.01962343,,6,28,26,7,0,3,2,2,0,1,0.254566
Buddy Kennedy,PHI,2B,FA,26,,-41.15054849,-50.51112334,,11,49,43,10,1,6,5,5,1,0,0.235425
Ryan Kreidler,DET,SS,FA,27,,-43.67846389,-53.60042507,,2,7,6,1,0,1,1,1,0,0,0.19752
Jacob Amaya,CHW,SS,FA,26,,-43.60885288,-53.5153552,,3,14,13,3,0,1,1,1,0,0,0.216141
Jahmai Jones,DET,"OF,UT",FA,27,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,1,0,0,0.226667
Luken Baker,STL,UT,FA,27,,-35.14482482,-43.17167975,,29,126,111,24,5,13,17,13,1,0,0.215367
Mason McCoy,SD,SS,FA,29,,-43.60885288,-53.5153552,,3,14,13,3,0,1,1,1,0,0,0.201768
Myles Straw,TOR,OF,FA,30,,-39.93469097,-49.0252545,,16,70,63,14,0,7,5,6,0,3,0.22783
Robert Hassell,WSH,OF,FA,23,,-38.40219574,-47.15243069,,24,105,95,21,1,10,9,8,1,2,0.22043
Justin Foscue,TEX,UT,FA,26,,-43.82627738,-53.7810642,,2,7,6,1,0,1,1,1,0,0,0.224825
