Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Jake McCarthy,ARI,OF,FA,27,,3.093482297,3.558391971,,120,518,466,124,9,64,57,37,10,26,0.266401
Zack Gelof,ATH,2B,FA,25,,7.322652635,8.726754488,,146,630,571,131,22,73,73,50,4,25,0.229471
Andrew Vaughn,CHW,1B,FA,26,,5.572477414,6.587909446,,144,623,568,145,23,66,80,43,8,1,0.25498
Heliot Ramos,SF,OF,FA,25,,7.734311524,9.229832445,,139,602,547,137,22,72,78,45,5,7,0.25127
Mike Trout,LAA,OF,FA,33,,12.53900283,15.10152464,,120,518,446,114,28,77,73,61,7,9,0.254968
Kerry Carpenter,DET,OF,FA,27,,3.108252199,3.576441896,,115,497,451,115,22,60,74,35,7,3,0.254986
Jorge Soler,LAA,"OF,UT",FA,33,,5.248470327,6.191948548,,133,574,500,116,27,75,76,64,6,1,0.231125
Yandy Diaz,TB,1B,FA,33,,12.78710911,15.40472907,,152,658,580,167,18,83,72,66,6,1,0.287771
Garrett Mitchell,MIL,OF,FA,26,,-0.2377712,-0.512648998,,110,476,422,102,15,60,60,46,5,20,0.242181
JJ Bleday,ATH,OF,FA,27,,4.697376388,5.51847053,,152,658,573,130,24,79,77,77,4,5,0.227723
Spencer Horwitz,PIT,"1B,2B",FA,27,,-10.4910292,-13.04289727,,102,441,378,102,10,53,47,53,6,2,0.270251
Tyler O'Neill,BAL,OF,BLUE,29,,2.038065594,2.266798031,12,110,476,419,101,24,64,66,48,6,6,0.240829
Jesus Sanchez,MIA,OF,FA,27,,5.348290854,6.3139367,,125,539,486,125,21,63,71,45,5,10,0.256441
Trevor Story,BOS,SS,FA,32,,1,1,,141,609,548,123,17,68,68,50,7,23,0.22526
Carlos Correa,MIN,SS,FA,30,,5.833814547,6.907282972,,130,560,491,132,20,74,69,60,5,1,0.269366
Joc Pederson,TEX,UT,FA,32,,0.701771996,0.63554307,,105,455,390,98,22,61,66,51,11,5,0.250645
Luis Arraez,SD,"1B,2B",FA,27,,10.36184965,12.44088059,,151,651,603,185,8,81,60,37,6,7,0.306484
Tyler Stephenson,CIN,C,FA,28,,1,1,,121,490,436,112,15,59,61,45,6,1,0.257764
Jonathan Aranda,TB,1B,FA,26,,-14.3341393,-17.7394653,,81,350,305,78,12,44,45,35,6,1,0.256587
Josh Bell,WSH,1B,FA,32,,0.291392655,0.134028816,,134,581,514,129,20,64,70,58,4,1,0.250053
Keibert Ruiz,WSH,C,FA,26,,-3.082057144,-3.98857919,,122,480,446,112,15,49,57,25,5,3,0.251453
J.T. Realmuto,PHI,C,FA,33,,3.542882086,4.107592131,,126,501,454,114,17,59,62,35,9,8,0.251692
Connor Wong,BOS,C,FA,28,,-10.19326765,-12.67901039,,94,371,341,85,10,42,42,22,5,6,0.250213
Trey Sweeney,DET,SS,FA,24,,-20.68243142,-25.49755316,,81,350,315,70,9,40,36,29,3,9,0.222999
