Name,OriginalSalary,AdjustedSalary,AuctionSalary
Gabriel Moreno ,3.721259299,4.325582428,
Nico Hoerner ,3.61145083,4.180047665,9
J.T. Realmuto ,3.542882086,4.107592131,
Joey Ortiz ,3.529158449,4.090820819,
Kerry Carpenter ,3.108252199,3.576441896,
Jake McCarthy ,3.093482297,3.558391971,
Francisco Alvarez ,2.721665448,3.099068867,7
Lars Nootbaar ,2.493228082,2.824836418,
Victor Robles ,2.274818119,2.555215661,3
Willi Castro ,2.247775765,2.524875325,
Tyler O'Neill ,2.038065594,2.266798031,12
Eugenio Suarez,2.010459587,2.234857203,
Colt Keith ,1.421141955,1.514666973,
Jacob Wilson ,1.410579942,1.501759402,
Rhys Hoskins ,1.183135805,1.223805653,
Matt Shaw ,1.151549773,1.185166838,5
Nolan Jones ,1.08512539,1.104029595,
Jonathan India ,1,1,
Trevor Story ,1,1,
Max Muncy ,1,1,15
Ryan Mountcastle ,1,1,9
Alec Burleson ,1,1,3
Tyler Stephenson ,1,1,
Brandon Marsh ,0.793895408,0.74812477,
Spencer Steer ,0.734104436,0.675055731,
Joc Pederson ,0.701771996,0.63554307,
Matt Wallner ,0.640697453,0.56090541,
Jo Adell ,0.543459383,0.441725159,3
Michael Busch ,0.293371889,0.136447589,
Josh Bell ,0.291392655,0.134028816,
Garrett Mitchell ,-0.2377712,-0.512648998,
Logan O'Hoppe ,-0.307074104,-0.597342332,
Jacob Young ,-0.430839879,-0.748593366,
Jordan Walker ,-0.601217605,-0.96109584,10
Thairo Estrada ,-0.752239233,-1.14136742,
Parker Meadows ,-0.992374518,-1.441473383,5.5
Nolan Gorman ,-1.026637539,-1.476702676,
Christopher Morel ,-1.282228965,-1.789054518,
Jeimer Candelario ,-1.478874134,-2.029369625,
Kyle Isbel ,-1.629467013,-2.213405388,
Ke'Bryan Hayes ,-1.667493892,-2.259877079,
Michael Massey ,-1.73937096,-2.347716233,
Austin Hays ,-1.765850544,-2.380076265,
Luke Raley ,-1.939450967,-2.592228968,
Jake Cronenworth ,-2.063148282,-2.743396341,
Nolan Schanuel ,-2.453594224,-3.22055049,
Evan Carter ,-2.573410643,-3.388389651,6.5
Geraldo Perdomo ,-2.622803229,-3.427336551,
Michael Conforto ,-2.623182801,-3.427800416,
Keibert Ruiz ,-3.082057144,-3.98857919,
Wilyer Abreu ,-3.247114914,-4.190292132,
Austin Wells ,-3.353145299,-4.319869194,
Carlos Santana ,-3.450491788,-4.438833886,
Max Kepler ,-4.502104469,-5.723983248,
Tyler Soderstrom ,-4.553248105,-5.786484597,
MJ Melendez ,-4.602119006,-5.846208494,
Jake Fraley ,-4.882423837,-6.188761965,
Brayan Rocchio ,-5.144520738,-6.509063985,
Ceddanne Rafaela ,-5.203848531,-6.646346199,5
Jonny DeLuca ,-5.326152074,-6.731031065,
Orlando Arcia ,-5.668229461,-7.149075221,
Trevor Larnach ,-5.679451984,-7.162789983,
Jeff McNeil ,-5.764377663,-7.266575516,
Bo Naylor ,-5.824969238,-7.340622953,
Nick Gonzales ,-5.867764346,-7.392921776,
Giancarlo Stanton ,-5.903443018,-7.436523783,
Ryan Jeffers ,-6.005988917,-7.561842542,
Ryan O'Hearn ,-6.199784283,-7.798674976,
Isiah Kiner-Falefa ,-6.334922928,-7.96382451,
Patrick Bailey ,-6.395443092,-8.037784677,
Chas McCormick ,-6.504452426,-8.171002237,
J.P. Crawford ,-6.599929785,-8.287682713,
Otto Lopez ,-6.713123395,-8.426013771,
Jorge Polanco ,-7.088525271,-8.884782946,
Gavin Lux ,-7.102131839,-8.901411191,
Alejandro Kirk ,-7.633148384,-9.550353131,
Kyle Manzardo ,-7.885384155,-9.991978552,6.5
Andrew Benintendi ,-7.899147589,-9.875424058,
Miguel Vargas ,-8.018070547,-10.02075681,
Mike Yastrzemski ,-8.197422181,-10.23993792,
Ivan Herrera ,-8.210733078,-10.25620483,
Jackson Holliday ,-8.686694657,-10.99655665,10.5
Masataka Yoshida ,-8.785271311,-10.95833353,
Heston Kjerstad ,-8.96338351,-11.34395056,4
Christian Encarnacion-Strand ,-9.084106745,-11.32353279,
LaMonte Wade Jr. ,-9.288136589,-11.57287252,
Hunter Goodman ,-9.294094889,-11.58015401,
Sal Frelick ,-9.31077366,-11.60053671,
Brooks Lee ,-9.582853173,-12.12268525,5.5
Ha-Seong Kim ,-9.605216294,-11.96036764,
Jose Siri ,-9.689187885,-12.0629872,
Yoan Moncada ,-9.689515504,-12.06338758,
Kyle Stowers ,-9.817317682,-12.2195714,
Matt Vierling ,-10.01276204,-12.45841903,
Jake Meyers ,-10.15306479,-12.62987949,
Connor Wong ,-10.19326765,-12.67901039,
Spencer Horwitz ,-10.4910292,-13.04289727,
Sean Murphy ,-10.5543294,-13.12025486,
Hyeseong Kim ,-10.64508352,-13.23116318,
Kris Bryant ,-10.79738028,-13.41728121,
Joey Bart ,-11.09515497,-13.78118415,
Tommy Pham ,-11.11703416,-13.80792216,
Danny Jansen ,-11.54941247,-14.3363208,
Jesse Winker ,-12.38372141,-15.35590874,
Ty France ,-12.46183147,-15.45136507,
Harrison Bader ,-12.54925456,-15.55820264,
Luis Campusano ,-12.85483732,-15.93164762,
Jordan Beck ,-12.93214394,-16.0261221,
Jake Rogers ,-12.96481624,-16.06605008,
Dylan Moore ,-13.15364356,-16.2968112,
Andrew McCutchen ,-13.42712961,-16.63103161,
Jose Miranda ,-13.62328456,-16.87074763,
Endy Rodriguez,-13.89416122,-17.20177918,
Oswaldo Cabrera ,-14.01237837,-17.34624938,
Will Wagner ,-14.12763994,-17.48710764,
Jonathan Aranda ,-14.3341393,-17.7394653,
Jerar Encarnacion ,-14.42469602,-17.85013239,
Mike Tauchman ,-14.87334508,-18.3984151,
Deyvison De Los Santos ,-14.91194747,-18.44559011,
Dane Myers ,-14.91252925,-18.44630108,
Kyle Higashioka ,-15.080117,-18.65110586,
Leody Taveras ,-15.36584479,-19.00028659,
Seth Brown ,-15.79062391,-19.51939845,
Jonah Heim ,-16.00745642,-19.78438399,
Roman Anthony ,-16.22464528,-20.55686152,7.5
Hunter Renfroe ,-16.43806587,-20.31062096,
Miguel Amaya ,-16.48969149,-20.37371132,
Miguel Andujar ,-16.65345587,-20.57384365,
Josh Smith ,-16.65473121,-20.5754022,
Matt Mervis ,-16.82683897,-20.78573076,
Tyrone Taylor ,-16.84878147,-20.81254615,
Jhonkensy Noel ,-17.07973859,-21.09479302,
Wenceel Perez,-17.21789664,-21.26363248,
Mitch Haniger ,-17.3421442,-21.4154723,
Nick Fortes ,-17.35280084,-21.42849551,
Pavin Smith ,-17.42876058,-21.52132399,
Johan Rojas ,-17.51412891,-21.62565049,
J.D. Martinez ,-17.63473179,-21.77303623,
Alek Thomas ,-17.6407547,-21.78039667,
Christian Moore ,-17.65211524,-21.7942801,
Dairon Blanco ,-18.00611641,-22.22689601,
Gio Urshela ,-18.09030704,-22.32978325,
Alex Verdugo ,-18.09730433,-22.33833447,
Agustin Ramirez ,-18.6321971,-22.99201345,
Mauricio Dubon ,-18.82130448,-23.22311681,
Brendan Rodgers ,-18.91151952,-23.33336635,
Jonah Bride ,-18.96805857,-23.4024613,
Freddy Fermin ,-18.99909118,-23.44038546,
Justin Turner ,-19.37663831,-23.9017763,
Starling Marte ,-19.42229528,-23.95757253,
Ernie Clement ,-19.51868515,-24.07536816,
Travis d'Arnaud ,-19.53320911,-24.09311752,
Mitch Garver ,-19.61241489,-24.18991292,
Richie Palacios ,-19.63378101,-24.21602392,
Carson Kelly ,-19.64151677,-24.22547759,
Tirso Ornelas ,-19.70603392,-24.30432237,
Jose Caballero ,-19.82195862,-24.44599103,
Jose Trevino ,-20.0285521,-24.69846371,
Colson Montgomery ,-20.05328141,-25.49028481,4
Jose Tena ,-20.24971174,-24.96873734,
Javier Baez,-20.30638893,-25.03800111,
Jason Heyward ,-20.35591905,-25.09853062,
Eguy Rosario ,-20.50043494,-25.27513985,
Mickey Moniak ,-20.67231141,-25.48518574,
Trey Sweeney ,-20.68243142,-25.49755316,
Josh Rojas ,-20.88740696,-25.7480486,
Gary Sanchez,-20.9803025,-25.8615739,
DJ LeMahieu ,-21.18665108,-26.1137473,
Elias Diaz,-21.22018834,-26.15473233,
Derek Hill ,-21.57554316,-26.58900251,
Jace Jung ,-21.77005642,-26.82671226,
Drew Romo ,-21.91348866,-27.0019972,
Jacob Stallings ,-21.92410768,-27.01497443,
Kristian Campbell ,-22.05674964,-27.17707283,
Lenyn Sosa ,-22.15439818,-27.29640665,
Paul DeJong ,-22.20584186,-27.35927467,
Sam Hilliard ,-22.26416824,-27.43055388,
Christian Vazquez,-22.27408226,-27.44266954,
Dillon Dingler ,-22.46953784,-27.68153088,
Randal Grichuk ,-22.63500658,-27.88374606,
Griffin Conine ,-22.76311294,-28.04030162,
Wilmer Flores ,-22.99212527,-28.32017182,
Edouard Julien ,-22.99644786,-28.32545435,
Luis Urias,-23.13901588,-28.49968313,
Jose Iglesias ,-23.24224219,-28.6258334,
Donovan Solano ,-23.9117526,-29.44402521,
Victor Scott II ,-24.0523575,-29.61585491,
Connor Joe ,-24.06167527,-29.62724192,
David Fry ,-24.11653042,-29.69427903,
Drake Baldwin ,-24.23670028,-29.84113558,
Pedro Pages,-24.23919052,-29.84417884,
Enrique Hernandez,-24.46613899,-30.12152685,
Tyler Black ,-24.47754489,-30.13546571,
Anthony Rizzo ,-24.75748821,-30.47757739,
Kyle Farmer ,-24.97317172,-30.74115877,
Victor Caratini ,-25.27336048,-31.10801189,
Chris Taylor ,-25.40376672,-31.26737808,
Stuart Fairchild ,-25.47816223,-31.35829495,
Ben Rortvedt ,-25.56951168,-31.46993081,
Will Brennan ,-25.63124491,-31.54537344,
Chase Meidroth ,-25.76175886,-31.70487125,
Rob Refsnyder ,-25.88912153,-31.86051796,
Alex Call ,-25.89679657,-31.86989744,
Oliver Dunn ,-26.04287202,-32.04841256,
Blake Perkins ,-26.08174503,-32.09591828,
Kyle Teel ,-26.21418906,-32.2577748,
Luis Matos ,-26.22290559,-32.26842706,
Juan Brito ,-26.26923507,-32.32504514,
Michael Siani ,-26.43060656,-32.52225317,
Korey Lee ,-26.72259584,-32.87908591,
James McCann ,-26.86171782,-33.04910338,
Ramon Urias,-26.94825353,-33.15485649,
Ramon Laureano ,-27.43770696,-33.75300519,
Jordan Lawlar ,-27.44681383,-35.16918816,8
Carlos Narvaez ,-27.47559652,-33.79930908,
Andy Pages ,-27.70989333,-34.0856373,
Caleb Durbin ,-27.73505729,-34.11638955,
Oswald Peraza ,-27.86038429,-34.26954851,
Brandon Drury ,-28.03172824,-34.47894363,
Luis Torrens ,-28.12606488,-34.59423007,
Jarred Kelenic ,-28.31060476,-34.81975161,
Orelvis Martinez ,-28.31478104,-34.82485533,
Will Benson ,-28.35110145,-34.86924159,
Amed Rosario ,-28.36736759,-34.88912003,
Spencer Torkelson ,-28.49819026,-35.04899512,
Edgar Quero ,-28.55679757,-35.12061764,
Austin Slater ,-28.57461031,-35.14238613,
Thomas Saggese ,-28.89767231,-35.53719207,
Eloy Jimenez,-28.93147517,-35.57850169,
Taylor Walls ,-29.09976266,-35.7841616,
Jared Triolo ,-29.11818194,-35.80667133,
Eric Haase ,-29.11873642,-35.80734895,
David Peralta ,-29.32873134,-36.06397845,
Brooks Baldwin ,-29.37122257,-36.11590591,
Yasmani Grandal ,-29.46297026,-36.22802845,
Tom Murphy ,-29.50040833,-36.27378057,
Angel Martinez,-29.59628502,-36.39094906,
Adrian Del Castillo ,-29.60174675,-36.39762371,
Javier Sanoja ,-29.60953095,-36.40713658,
Joey Gallo ,-29.64046964,-36.44494597,
Alex Jackson ,-29.64423909,-36.44955252,
Rafael Marchan,-29.85567039,-36.70793739,
Jacob Melton ,-30.120873,-37.03203482,
Santiago Espinal ,-30.18070994,-37.10516003,
Trent Grisham ,-30.29089984,-37.23982033,
Joey Loperfido ,-30.39858119,-37.371415,
Sean Bouchard ,-30.41241889,-37.3883257,
Adam Frazier ,-30.49913017,-37.49429337,
Luisangel Acuna ,-30.53686319,-37.54040595,
Oscar Colas,-30.55061311,-37.55720937,
Ryan Bliss ,-30.60035621,-37.61799917,
Davis Schneider ,-30.62186722,-37.64428723,
Kevin Newman ,-30.64205208,-37.66895464,
Zach McKinstry ,-30.69290935,-37.73110602,
Whit Merrifield ,-30.87966077,-37.95933023,
Jon Berti ,-31.07647142,-38.19984757,
Ben Rice ,-31.23727087,-38.39635653,
Riley Adams ,-31.33406143,-38.51464182,
Edmundo Sosa ,-31.41246724,-38.61045959,
Austin Barnes ,-31.52601435,-38.74922266,
Chandler Simpson ,-31.53269903,-38.75739184,
Tyler Heineman ,-31.60821989,-38.84968397,
Jack Suwinski ,-31.63830363,-38.88644855,
Ezequiel Duran ,-31.70617517,-38.96939266,
Jake Mangum ,-31.95741628,-39.27642809,
Andy Ibanez,-31.97005397,-39.29187228,
Johnathan Rodriguez ,-32.05583604,-39.3967044,
Austin Hedges ,-32.19250467,-39.56372369,
Esteury Ruiz ,-32.42771971,-39.85117406,
Noelvi Marte ,-32.49857513,-39.93776468,
Ben Gamel ,-32.53196251,-39.97856656,
Michael A. Taylor ,-32.59499223,-40.05559359,
Christian Bethancourt ,-32.64577777,-40.11765732,
Jorge Mateo ,-32.78936017,-40.29312575,
Gabriel Arias ,-32.80793771,-40.3158289,
Matt Thaiss ,-32.82253436,-40.3336671,
Adam Duvall ,-32.93175391,-40.46714156,
Jhonny Pereda ,-32.98133127,-40.5277288,
Liam Hicks ,-32.99405592,-40.54327927,
Eric Wagaman ,-33.09871604,-40.67118177,
Zac Veen ,-33.17804717,-40.76813034,
Nelson Velazquez,-33.18830174,-40.78066219,
Nick Yorke ,-33.29361965,-40.90936856,
Henry Davis ,-33.42375665,-41.06840571,
Mark Canha ,-33.44976562,-41.10019062,
Justyn-Henry Malloy ,-33.68240671,-41.38449543,
Brett Wisely ,-33.83571991,-41.57185563,
Coby Mayo ,-33.9767524,-43.88824674,4
Colby Thomas ,-34.19369437,-42.00932719,
Blake Sabol ,-34.30916019,-42.15043506,
Joshua Palacios ,-34.32865317,-42.17425694,
Bryan De La Cruz ,-34.48494832,-42.36526131,
Alan Roden ,-34.5443477,-42.4378518,
Joey Wiemer ,-34.69536663,-42.62240823,
Chase DeLauter ,-34.73281581,-42.66817392,
Drew Millas ,-34.78463027,-42.73149507,
Grant McCray ,-34.79041568,-42.73856528,
Jose Herrera ,-34.84800255,-42.80894074,
Luken Baker ,-35.14482482,-43.17167975,
Tyler Freeman ,-35.23473707,-43.28155925,
Austin Martin ,-35.32393422,-43.39056484,
Cole Young ,-35.39145876,-45.79878981,5
Chadwick Tromp ,-35.41031698,-43.49613103,
Romy Gonzalez ,-35.41637054,-43.50352894,
Nick Loftin ,-35.70380218,-43.8547919,
Addison Barger ,-35.85031524,-44.03384182,
Sam Huff ,-35.8523933,-44.03638138,
Bryan Ramos ,-36.13381002,-44.38029365,
Logan Driscoll ,-36.23306333,-44.50158862,
Darell Hernaiz ,-36.24383648,-44.51475422,
Juan Yepez ,-36.24908911,-44.52117333,
Daniel Schneemann ,-36.28243512,-44.56192464,
Jeferson Quero ,-36.3974744,-44.70251125,
Billy Cook ,-36.4538869,-44.77145154,
Vinny Capra ,-36.45395668,-44.77153682,
Miguel Rojas ,-36.49872415,-44.82624601,
Drew Waters ,-36.51888919,-44.8508892,
Vidal Brujan,-36.63278882,-44.99008308,
Andruw Monasterio ,-36.64788856,-45.00853608,
Blaze Alexander ,-36.66166542,-45.02537244,
Travis Bazzana ,-36.71991388,-45.09655642,
Jair Camargo ,-36.8214421,-45.22063149,
Bryce Eldridge ,-36.8500624,-47.77676603,3.5
David Hamilton ,-36.94323278,-45.36946882,
Martin Maldonado ,-36.96627474,-45.39762782,
Tyler Wade ,-36.96788756,-45.3995988,
Weston Wilson ,-37.12399558,-45.59037448,
Nick Allen ,-37.15649501,-45.63009122,
Robbie Grossman ,-37.20672737,-45.69147892,
Hunter Feduccia ,-37.20740732,-45.69230986,
Jason Delay ,-37.20740732,-45.69230986,
