Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Whit Merrifield,42,182,165,41,3,21,17,13,1,7,0.246954
Tirso Ornelas,81,350,318,77,9,38,38,27,3,3,0.241186
Stuart Fairchild,52,224,198,45,7,27,26,18,5,8,0.228679
Anthony Rizzo,68,294,259,59,9,32,33,25,8,1,0.229925
Adrian Del Castillo,29,119,107,26,3,14,15,10,1,0,0.239999
Joshua Palacios,26,112,101,26,3,13,13,8,1,2,0.258365
Andruw Monasterio,26,112,99,24,2,13,10,11,1,3,0.238697
J.D. Martinez,86,371,331,78,13,41,46,34,3,0,0.236139
Andy Ibáñez,45,196,180,43,4,21,20,13,2,2,0.241228
Emmanuel Rodriguez,15,63,52,11,2,9,7,10,1,1,0.21144
Austin Martin,28,119,102,25,1,14,11,13,3,4,0.2432
Christian Bethancourt,19,77,72,17,2,9,9,3,0,1,0.232624
Romy Gonzalez,21,91,84,21,3,11,12,5,1,4,0.254524
Vinny Capra,29,126,112,27,2,13,12,11,1,2,0.239686
Daniel Schneemann,31,133,117,26,3,14,13,14,1,2,0.220889
Taylor Trammell,18,77,67,14,3,9,9,8,1,2,0.215982
Kyle Farmer,62,266,242,61,7,29,29,16,6,3,0.250654
Michael Siani,68,294,262,56,4,32,24,26,2,13,0.214791
Hunter Goodman,78,326,300,72,15,39,48,19,4,2,0.238024
