Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Jose Camacho,LAA,1B,FA,18,,,,,,,,,,,,,,,
Santiago Camacho,SF,C,FA,18,,,,,,,,,,,,,,,
Johan Camargo,(N/A),"2B,SS",FA,31,,,,,,,,,,,,,,,
Ali Camarillo,ATH,SS,FA,21,,,,,,,,,,,,,,,
Mario Camilletti,CHW,2B,FA,25,,,,,,,,,,,,,,,
Alain Camou,(N/A),2B,FA,21,,,,,,,,,,,,,,,
Marino Campana,BOS,OF,FA,27,,,,,,,,,,,,,,,
Sergio Campana,PIT,OF,FA,22,,,,,,,,,,,,,,,
Clayton Campbell,DET,"C,1B,3B",FA,21,,,,,,,,,,,,,,,
Drew Campbell,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Dylan Campbell,PHI,OF,FA,22,,,,,,,,,,,,,,,
Jacob Campbell,SD,OF,FA,24,,,,,,,,,,,,,,,
Noah Campbell,(N/A),OF,FA,25,,,,,,,,,,,,,,,
Alexander Campos,ATH,SS,FA,25,,,,,,,,,,,,,,,
Daniel Campos,CHC,C,FA,19,,,,,,,,,,,,,,,
Diego Campos,HOU,C,FA,18,,,,,,,,,,,,,,,
Dyron Campos,NYM,OF,FA,24,,,,,,,,,,,,,,,
Edrei Campos,BAL,3B,FA,19,,,,,,,,,,,,,,,
Elio Campos,ATL,SS,FA,0,,,,,,,,,,,,,,,
Roberto Campos,DET,OF,FA,21,,,,,,,,,,,,,,,
Ryan Campos,STL,C,FA,22,,,,,,,,,,,,,,,
Hector Campusano,BAL,2B,FA,17,,,,,,,,,,,,,,,
Gabriel Cancel,(N/A),"3B,SS",FA,28,,,,,,,,,,,,,,,
Franklin Candelario,(N/A),OF,FA,18,,,,,,,,,,,,,,,
Stir Candelario,TB,OF,FA,24,,,,,,,,,,,,,,,
Wilmin Candelario,KC,SS,FA,23,,,,,,,,,,,,,,,
Malquin Canelo,(N/A),SS,FA,30,,,,,,,,,,,,,,,
Cam Cannarella,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Gage Canning,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Cameron Cannon,BOS,SS,FA,27,,,,,,,,,,,,,,,
Connor Cannon,NYY,1B,FA,26,,,,,,,,,,,,,,,
Jordan Cannon,BAL,C,FA,28,,,,,,,,,,,,,,,
Gregori Cano,(N/A),1B,FA,20,,,,,,,,,,,,,,,
Ichiro Cano,CIN,3B,FA,20,,,,,,,,,,,,,,,
Hayden Cantrelle,CHC,"2B,SS",FA,26,,,,,,,,,,,,,,,
Justin Capellan,NYY,C,FA,18,,,,,,,,,,,,,,,
Samuel Capellan,(N/A),OF,FA,20,,,,,,,,,,,,,,,
Yiddi Cappe,MIA,3B,FA,22,,,,,,,,,,,,,,,
Balian Caraballo,LAA,OF,FA,18,,,,,,,,,,,,,,,
Brandy Caraballo,DET,OF,FA,19,,,,,,,,,,,,,,,
Heriberto Caraballo,STL,C,FA,20,,,,,,,,,,,,,,,
Trent Caraway,(N/A),3B,FA,20,,,,,,,,,,,,,,,
Daniel Carbonell,SF,OF,FA,33,,,,,,,,,,,,,,,
Scott Carcaise,MIA,"1B,OF",FA,32,,,,,,,,,,,,,,,
Noah Cardenas,MIN,C,FA,25,,,,,,,,,,,,,,,
Ruben Cardenas,PHI,OF,FA,27,,,,,,,,,,,,,,,
Jose Cardona,TEX,OF,FA,30,,,,,,,,,,,,,,,
Victor Cardoza,PHI,OF,FA,19,,,,,,,,,,,,,,,
Leny Carela,PHI,2B,FA,20,,,,,,,,,,,,,,,
D.K. Carey,WSH,OF,FA,33,,,,,,,,,,,,,,,
Owen Carey,ATL,OF,FA,18,,,,,,,,,,,,,,,
Benjamin Carhart,LAD,3B,FA,35,,,,,,,,,,,,,,,
Michael Carico,CHC,C,FA,22,,,,,,,,,,,,,,,
Carlos Caripa,CLE,OF,FA,17,,,,,,,,,,,,,,,
Jean Carlos Sio,SF,3B,FA,20,,,,,,,,,,,,,,,
Billy Carlson,(N/A),SS,FA,18,,,,,,,,,,,,,,,
Easton Carmichael,(N/A),C,FA,21,,,,,,,,,,,,,,,
Stephen Carmon,SD,SS,FA,35,,,,,,,,,,,,,,,
Angel Carmona,ATL,SS,FA,17,,,,,,,,,,,,,,,
Carlos Carmona,STL,OF,FA,20,,,,,,,,,,,,,,,
William Carmona,PHI,3B,FA,33,,,,,,,,,,,,,,,
Hunter Carns,(N/A),C,FA,19,,,,,,,,,,,,,,,
Carlos Caro,PIT,2B,FA,20,,,,,,,,,,,,,,,
Hector Caro,CLE,OF,FA,29,,,,,,,,,,,,,,,
Roberto Caro,CHC,OF,FA,31,,,,,,,,,,,,,,,
Josh Caron,SEA,C,FA,21,,,,,,,,,,,,,,,
Brock Carpenter,LAD,3B,FA,29,,,,,,,,,,,,,,,
Luis Carpio,DET,SS,FA,27,,,,,,,,,,,,,,,
Jared Carr,PHI,OF,FA,25,,,,,,,,,,,,,,,
Peyton Carr,MIN,3B,FA,22,,,,,,,,,,,,,,,
Dennicher Carrasco,KC,3B,FA,29,,,,,,,,,,,,,,,
Carlos Carrasquel,BOS,SS,FA,18,,,,,,,,,,,,,,,
Julio Carreras,COL,"3B,SS",FA,25,,,,,,,,,,,,,,,
Chris Carrier,CHC,OF,FA,29,,,,,,,,,,,,,,,
Lorenzo Carrier,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Shane Carrier,MIN,OF,FA,28,,,,,,,,,,,,,,,
Cole Carrigg,COL,OF,FA,22,,,,,,,,,,,,,,,
Oliver Carrillo,HOU,OF,FA,23,,,,,,,,,,,,,,,
Julio Carrion,(N/A),1B,FA,26,,,,,,,,,,,,,,,
Omar Carrizales,COL,OF,FA,30,,,,,,,,,,,,,,,
Dallas Carroll,MIL,3B,FA,30,,,,,,,,,,,,,,,
Trevyne Carter,SD,OF,FA,27,,,,,,,,,,,,,,,
Willie Carter,ATL,OF,FA,27,,,,,,,,,,,,,,,
Jair Casanova,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Gavin Casas,(N/A),1B,FA,23,,,,,,,,,,,,,,,
Cash Case,(N/A),"2B,SS",FA,25,,,,,,,,,,,,,,,
Donovan Casey,WSH,OF,FA,29,,,,,,,,,,,,,,,
Yanuel Casiano,CIN,C,FA,18,,,,,,,,,,,,,,,
Isaias Casitllo,NYY,OF,FA,16,,,,,,,,,,,,,,,
Connor Caskenette,MIA,C,FA,22,,,,,,,,,,,,,,,
Conrad Cason,BOS,SS,FA,18,,,,,,,,,,,,,,,
Xavier Casserilla,HOU,3B,FA,21,,,,,,,,,,,,,,,
Estanlin Cassiani,(N/A),OF,FA,22,,,,,,,,,,,,,,,
Johnny Castagnozzi,(N/A),2B,FA,23,,,,,,,,,,,,,,,
Adrian Castano,DET,OF,FA,29,,,,,,,,,,,,,,,
Marcos Castanon,SD,"2B,3B",FA,25,,,,,,,,,,,,,,,
Alejandro Castellano,HOU,C,FA,18,,,,,,,,,,,,,,,
Angelo Castellano,(N/A),"2B,SS",FA,30,,,,,,,,,,,,,,,
Enger Castellano,(N/A),1B,FA,22,,,,,,,,,,,,,,,
Pedro Castellanos,(N/A),1B,FA,27,,,,,,,,,,,,,,,
Ali Castillo,(N/A),2B,FA,35,,,,,,,,,,,,,,,
Byron Castillo,LAA,OF,FA,19,,,,,,,,,,,,,,,
Chad Castillo,PHI,1B,FA,24,,,,,,,,,,,,,,,
Daniel Castillo,MIL,SS,FA,24,,,,,,,,,,,,,,,
Darian Castillo,SD,2B,FA,18,,,,,,,,,,,,,,,
Deuri Castillo,SEA,SS,FA,20,,,,,,,,,,,,,,,
Diego Castillo,MIN,3B,FA,27,,,,,,,,,,,,,,,
Eruviel Castillo,BAL,SS,FA,21,,,,,,,,,,,,,,,
Estanli Castillo,TB,OF,FA,23,,,,,,,,,,,,,,,
Haritzon Castillo,MIN,SS,FA,16,,,,,,,,,,,,,,,
Henry Castillo,ARI,2B,FA,30,,,,,,,,,,,,,,,
Ivan Castillo,(N/A),2B,FA,29,,,,,,,,,,,,,,,
Jackson Castillo,NYY,OF,FA,21,,,,,,,,,,,,,,,
Jesus Castillo,PIT,SS,FA,21,,,,,,,,,,,,,,,
Juan Castillo,COL,C,FA,22,,,,,,,,,,,,,,,
Kenny Castillo,ARI,C,FA,21,,,,,,,,,,,,,,,
Kevyn Castillo,LAA,OF,FA,19,,,,,,,,,,,,,,,
Kyler Castillo,MIA,OF,FA,27,,,,,,,,,,,,,,,
Leugim Castillo,MIL,OF,FA,25,,,,,,,,,,,,,,,
Luis Castillo,CHW,3B,FA,28,,,,,,,,,,,,,,,
Luis Castillo,MIL,OF,FA,21,,,,,,,,,,,,,,,
Marino Castillo,(N/A),OF,FA,22,,,,,,,,,,,,,,,
Moises Castillo,CHW,SS,FA,25,,,,,,,,,,,,,,,
Neyfy Castillo,(N/A),"1B,OF",FA,24,,,,,,,,,,,,,,,
Osiris Castillo,(N/A),SS,FA,24,,,,,,,,,,,,,,,
Phillips Castillo,SEA,OF,FA,31,,,,,,,,,,,,,,,
Ruben Castillo,NYY,OF,FA,17,,,,,,,,,,,,,,,
Winifer Castillo,PHI,OF,FA,18,,,,,,,,,,,,,,,
Yeiferth Castillo,CLE,OF,FA,18,,,,,,,,,,,,,,,
Yolfran Castillo,TEX,SS,FA,18,,,,,,,,,,,,,,,
Allan Castro,BOS,OF,FA,21,,,,,,,,,,,,,,,
Anderson Castro,MIA,OF,FA,27,,,,,,,,,,,,,,,
Ariel Castro,MIN,OF,FA,19,,,,,,,,,,,,,,,
Daniel Castro,(N/A),2B,FA,32,,,,,,,,,,,,,,,
Erik Castro,HOU,3B,FA,37,,,,,,,,,,,,,,,
Fidel Castro,CIN,OF,FA,26,,,,,,,,,,,,,,,
Jesus Castro,SD,C,FA,20,,,,,,,,,,,,,,,
Jose Castro,MIA,OF,FA,18,,,,,,,,,,,,,,,
Jose Castro,NYY,OF,FA,19,,,,,,,,,,,,,,,
Leandro Castro,PHI,OF,FA,35,,,,,,,,,,,,,,,
Luis Castro,HOU,"1B,3B",FA,29,,,,,,,,,,,,,,,
Ruben Castro,(N/A),C,FA,28,,,,,,,,,,,,,,,
Samuel Castro,MIA,2B,FA,27,,,,,,,,,,,,,,,
Sebastian Castro,NYM,OF,FA,20,,,,,,,,,,,,,,,
Starlin Castro,(N/A),"2B,3B",FA,34,,,,,,,,,,,,,,,
Vincent Catricala,ATH,"1B,3B",FA,36,,,,,,,,,,,,,,,
Pedro Catuy,ARI,OF,FA,19,,,,,,,,,,,,,,,
Cameron Cauley,TEX,"2B,SS",FA,22,,,,,,,,,,,,,,,
Carlos Cauro,HOU,1B,FA,19,,,,,,,,,,,,,,,
Keoni Cavaco,HOU,SS,FA,23,,,,,,,,,,,,,,,
Drew Cavanaugh,SF,C,FA,23,,,,,,,,,,,,,,,
Brian Cavazos-Galvez,LAD,OF,FA,37,,,,,,,,,,,,,,,
Pres Cavenaugh,CLE,OF,FA,24,,,,,,,,,,,,,,,
Yeison Ceballo,(N/A),C,FA,24,,,,,,,,,,,,,,,
Sabin Ceballos,SF,3B,FA,22,,,,,,,,,,,,,,,
Garin Cecchini,KC,"1B,3B,SS",FA,33,,,,,,,,,,,,,,,
Gavin Cecchini,(N/A),SS,FA,31,,,,,,,,,,,,,,,
Jose Cedeno,CLE,C,FA,20,,,,,,,,,,,,,,,
Leandro Cedeno,(N/A),1B,FA,26,,,,,,,,,,,,,,,
Mani Cedeno,NYY,SS,FA,16,,,,,,,,,,,,,,,
Nerwilian Cedeno,SD,2B,FA,22,,,,,,,,,,,,,,,
Oliver Cedeno,(N/A),SS,FA,20,,,,,,,,,,,,,,,
Lorenzo Cedrola,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Jeremy Celedonio,(N/A),OF,FA,23,,,,,,,,,,,,,,,
Victor Celedonio,BAL,SS,FA,21,,,,,,,,,,,,,,,
Felnin Celesten,SEA,SS,FA,19,,,,,,,,,,,,,,,
Gilberto Celestino,NYM,OF,FA,26,,,,,,,,,,,,,,,
Andres Centeno,MIN,OF,FA,21,,,,,,,,,,,,,,,
Juan Centeno,(N/A),C,FA,35,,,,,,,,,,,,,,,
Angel Cepeda,CHC,"3B,SS",FA,19,,,,,,,,,,,,,,,
Geisel Cepeda,TEX,OF,FA,27,,,,,,,,,,,,,,,
Ryan Cepero,KC,SS,FA,22,,,,,,,,,,,,,,,
Allan Cerda,MIN,OF,FA,25,,,,,,,,,,,,,,,
Christian Cerda,ARI,C,FA,22,,,,,,,,,,,,,,,
Jose Cerice,KC,1B,FA,19,,,,,,,,,,,,,,,
Matthew Cerione,SEA,OF,FA,37,,,,,,,,,,,,,,,
Brady Cerkownyk,DET,C,FA,22,,,,,,,,,,,,,,,
Ryan Cermak,TB,OF,FA,23,,,,,,,,,,,,,,,
Logan Cerny,HOU,OF,FA,25,,,,,,,,,,,,,,,
Michael Cervantes,SD,SS,FA,24,,,,,,,,,,,,,,,
Gabriel Cesa,ATL,OF,FA,18,,,,,,,,,,,,,,,
Randy Cesar,HOU,3B,FA,30,,,,,,,,,,,,,,,
Ryan Cesarini,CLE,OF,FA,22,,,,,,,,,,,,,,,
Cristopher Cespedes,(N/A),OF,FA,26,,,,,,,,,,,,,,,
Ivan Cespedes,CHC,C,FA,19,,,,,,,,,,,,,,,
Ricardo Cespedes,NYM,OF,FA,27,,,,,,,,,,,,,,,
Rubel Cespedes,MIN,"2B,3B",FA,24,,,,,,,,,,,,,,,
Yoeilin Cespedes,BOS,SS,FA,19,,,,,,,,,,,,,,,
Yoelkis Cespedes,CHW,OF,FA,27,,,,,,,,,,,,,,,
Yorbin Ceuta,HOU,SS,FA,25,,,,,,,,,,,,,,,
Adan Chacon,(N/A),1B,FA,18,,,,,,,,,,,,,,,
Esney Chacon,DET,OF,FA,24,,,,,,,,,,,,,,,
Juan Chacon,BOS,OF,FA,22,,,,,,,,,,,,,,,
Robinson Chacon,KC,OF,FA,17,,,,,,,,,,,,,,,
Elizaul Chalas,CHC,2B,FA,20,,,,,,,,,,,,,,,
Matt Chamberlain,(N/A),OF,FA,26,,,,,,,,,,,,,,,
Chase Chambers,NYM,1B,FA,29,,,,,,,,,,,,,,,
Mack Chambers,STL,SS,FA,25,,,,,,,,,,,,,,,
Yu Chang,(N/A),SS,FA,29,,,,,,,,,,,,,,,
Loidel Chapelli,CHW,2B,FA,23,,,,,,,,,,,,,,,
Art Charles,TOR,1B,FA,34,,,,,,,,,,,,,,,
Austin Charles,KC,"3B,SS",FA,21,,,,,,,,,,,,,,,
Eddinson Charles,(N/A),OF,W (Wed),17,,,,,,,,,,,,,,,
Henry Charles,SD,OF,FA,31,,,,,,,,,,,,,,,
Connor Charping,SEA,C,FA,25,,,,,,,,,,,,,,,
Chris Chatfield,SD,OF,FA,28,,,,,,,,,,,,,,,
C.J. Chatham,(N/A),SS,FA,30,,,,,,,,,,,,,,,
Parker Chavers,CHC,OF,FA,26,,,,,,,,,,,,,,,
Alberti Chavez,(N/A),2B,FA,29,,,,,,,,,,,,,,,
Frainyer Chavez,TEX,"2B,3B",FA,25,,,,,,,,,,,,,,,
Johermyn Chavez,SEA,OF,FA,36,,,,,,,,,,,,,,,
Santiago Chavez,(N/A),C,FA,29,,,,,,,,,,,,,,,
Michael Chavis,LAD,"1B,2B,3B",FA,29,,,,,,,,,,,,,,,
Chun-Hsiu Chen,(N/A),1B,FA,36,,,,,,,,,,,,,,,
Pin-Chieh Chen,CHC,OF,FA,33,,,,,,,,,,,,,,,
Sheng-Ping Chen,ARI,SS,FA,24,,,,,,,,,,,,,,,
Griffin Cheney,TEX,SS,FA,25,,,,,,,,,,,,,,,
Carl Chester,(N/A),OF,FA,29,,,,,,,,,,,,,,,
Luis Chevalier,CIN,1B,FA,23,,,,,,,,,,,,,,,
Chih-Hsien Chiang,BOS,SS,FA,37,,,,,,,,,,,,,,,
Justin Chigbogu,LAD,1B,FA,30,,,,,,,,,,,,,,,
Frainner Chirinos,BAL,3B,FA,18,,,,,,,,,,,,,,,
Jesus Chirinos,MIL,1B,FA,23,,,,,,,,,,,,,,,
Kendry Chirinos,TOR,3B,FA,20,,,,,,,,,,,,,,,
Nixon Chirinos,MIA,C,FA,19,,,,,,,,,,,,,,,
Roberto Chirinos,NYY,SS,FA,24,,,,,,,,,,,,,,,
Yhostin Chirinos,LAD,SS,FA,24,,,,,,,,,,,,,,,
Marcus Chiu,LAD,"2B,3B",FA,28,,,,,,,,,,,,,,,
Hendry Chivilli,MIN,SS,FA,19,,,,,,,,,,,,,,,
Orlando Chivilli,PIT,3B,FA,22,,,,,,,,,,,,,,,
Won-Bin Cho,STL,OF,FA,21,,,,,,,,,,,,,,,
B.Y. Choi,SD,SS,FA,22,,,,,,,,,,,,,,,
Ji-Man Choi,(N/A),1B,FA,33,,,,,,,,,,,,,,,
Roch Cholowsky,(N/A),SS,FA,19,,,,,,,,,,,,,,,
Byron Chourio,MIN,OF,FA,19,,,,,,,,,,,,,,,
Jaison Chourio,CLE,OF,FA,19,,,,,,,,,,,,,,,
Jakob Christian,SF,OF,FA,22,,,,,,,,,,,,,,,
Shamoy Christopher,MIN,C,FA,27,,,,,,,,,,,,,,,
Nathan Church,STL,OF,FA,24,,,,,,,,,,,,,,,
Anthony Churlin,ATH,OF,FA,27,,,,,,,,,,,,,,,
Nathanael Cijntje,PHI,OF,FA,18,,,,,,,,,,,,,,,
Nick Cimillo,PIT,1B,FA,25,,,,,,,,,,,,,,,
Jancarlos Cintron,(N/A),"2B,SS",FA,30,,,,,,,,,,,,,,,
Arbert Cipion,MIL,OF,FA,24,,,,,,,,,,,,,,,
Alberto Ciprian,ARI,2B,FA,22,,,,,,,,,,,,,,,
Audy Ciriaco,DET,SS,FA,37,,,,,,,,,,,,,,,
Juan Ciriaco,(N/A),2B,FA,34,,,,,,,,,,,,,,,
Tytus Cissell,ARI,SS,FA,18,,,,,,,,,,,,,,,
Brendt Citta,PIT,OF,FA,28,,,,,,,,,,,,,,,
Gabe Clark,TOR,1B,FA,30,,,,,,,,,,,,,,,
Kellum Clark,NYM,OF,FA,23,,,,,,,,,,,,,,,
Ledarious Clark,(N/A),OF,FA,31,,,,,,,,,,,,,,,
Levi Clark,(N/A),C,FA,18,,,,,,,,,,,,,,,
Logun Clark,CLE,C,FA,21,,,,,,,,,,,,,,,
Max Clark,DET,OF,MMAS,20,,,,,,,,,,,,,,,
Wes Clarke,MIL,1B,FA,25,,,,,,,,,,,,,,,
Nick Clarno,ATL,C,FA,26,,,,,,,,,,,,,,,
Bryce Clavon,(N/A),SS,FA,19,,,,,,,,,,,,,,,
Cam Clayton,MIA,SS,FA,22,,,,,,,,,,,,,,,
Hendrik Clementina,(N/A),C,FA,27,,,,,,,,,,,,,,,
Nolan Clifford,COL,3B,FA,23,,,,,,,,,,,,,,,
Ryan Clifford,NYM,"1B,OF",FA,21,,,,,,,,,,,,,,,
Patrick Clohisy,ATL,OF,FA,23,,,,,,,,,,,,,,,
Jackson Cluff,WSH,"2B,SS",FA,28,,,,,,,,,,,,,,,
Owen Cobb,NYY,SS,FA,23,,,,,,,,,,,,,,,
Yeison Coca,BOS,SS,FA,25,,,,,,,,,,,,,,,
Cutter Coffey,TOR,"3B,SS",FA,20,,,,,,,,,,,,,,,
Kasey Coffman,DET,OF,FA,33,,,,,,,,,,,,,,,
Spence Coffman,SD,SS,FA,21,,,,,,,,,,,,,,,
Branden Cogswell,ATH,SS,FA,32,,,,,,,,,,,,,,,
Abraham Cohen,BAL,OF,FA,18,,,,,,,,,,,,,,,
Cavan Cohoes,SEA,SS,FA,31,,,,,,,,,,,,,,,
Zach Cole Jr.,HOU,UT,FA,24,,,,,,,,,,,,,,,
Deion Cole,(N/A),SS,FA,17,,,,,,,,,,,,,,,
Eric Cole,KC,OF,FA,28,,,,,,,,,,,,,,,
Kendall Coleman,NYY,OF,FA,29,,,,,,,,,,,,,,,
Mark Coley II,MIA,OF,FA,24,,,,,,,,,,,,,,,
Jose Colina,COL,2B,FA,21,,,,,,,,,,,,,,,
Oscar Colina,MIA,OF,FA,21,,,,,,,,,,,,,,,
Harold Coll,LAA,SS,FA,23,,,,,,,,,,,,,,,
Maick Collado,CLE,1B,FA,22,,,,,,,,,,,,,,,
Cam Collier,CIN,3B,FA,20,,,,,,,,,,,,,,,
Ke'Shun Collier,CHC,OF,FA,24,,,,,,,,,,,,,,,
Manny Collier,CHC,OF,FA,24,,,,,,,,,,,,,,,
Zach Collier,(N/A),OF,FA,34,,,,,,,,,,,,,,,
Kyle Colligan,CHW,OF,FA,37,,,,,,,,,,,,,,,
Corey Collins,NYM,1B,FA,23,,,,,,,,,,,,,,,
Darnel Collins,KC,1B,FA,20,,,,,,,,,,,,,,,
Darryl Collins,(N/A),OF,FA,23,,,,,,,,,,,,,,,
Gavin Collins,STL,C,FA,29,,,,,,,,,,,,,,,
Tyler Collins,ATL,OF,FA,21,,,,,,,,,,,,,,,
Malik Collymore,STL,"2B,SS",FA,29,,,,,,,,,,,,,,,
Jose Colmenares,NYY,2B,FA,22,,,,,,,,,,,,,,,
Carlos Colmenarez,TB,SS,FA,21,,,,,,,,,,,,,,,
Rabel Colon,HOU,OF,FA,21,,,,,,,,,,,,,,,
Juan Colorado,SF,SS,FA,18,,,,,,,,,,,,,,,
Anderson Comas,CHW,OF,FA,25,,,,,,,,,,,,,,,
Sanders Commings,ATL,OF,FA,34,,,,,,,,,,,,,,,
Brandon Compton,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Drew Compton,ATL,1B,FA,23,,,,,,,,,,,,,,,
Carlos Concepcion,SF,OF,FA,19,,,,,,,,,,,,,,,
Vince Conde,NYY,SS,FA,31,,,,,,,,,,,,,,,
Charlie Condon,COL,OF,FA,21,,,,,,,,,,,,,,,
Zach Cone,TEX,OF,FA,35,,,,,,,,,,,,,,,
Yerlin Confidan,CIN,OF,FA,22,,,,,,,,,,,,,,,
Cal Conley,ATL,"2B,SS",FA,25,,,,,,,,,,,,,,,
Kashon Conliffe,SD,OF,FA,19,,,,,,,,,,,,,,,
Cole Conn,ATH,C,FA,23,,,,,,,,,,,,,,,
Justin Connell,WSH,OF,FA,26,,,,,,,,,,,,,,,
Caden Connor,CHW,OF,FA,24,,,,,,,,,,,,,,,
Ethan Conrad,(N/A),1B,FA,20,,,,,,,,,,,,,,,
Stanley Consuegra,(N/A),OF,FA,24,,,,,,,,,,,,,,,
Gavin Conticello,ARI,OF,FA,21,,,,,,,,,,,,,,,
Johan Contreras,NYY,C,FA,19,,,,,,,,,,,,,,,
Jose Contreras,TB,OF,FA,19,,,,,,,,,,,,,,,
Mark Contreras,(N/A),OF,FA,30,,,,,,,,,,,,,,,
Mc Gregory Contreras,(N/A),OF,FA,26,,,,,,,,,,,,,,,
Ronaldo Contreras,SD,OF,FA,28,,,,,,,,,,,,,,,
Yan Contreras,CIN,SS,FA,24,,,,,,,,,,,,,,,
Yondry Contreras,PIT,OF,FA,27,,,,,,,,,,,,,,,
Casey Cook,TEX,2B,FA,22,,,,,,,,,,,,,,,
Zac Cook,TOR,2B,FA,26,,,,,,,,,,,,,,,
Billy Cooke,SEA,OF,FA,29,,,,,,,,,,,,,,,
Bjay Cooke,ATH,SS,FA,21,,,,,,,,,,,,,,,
Everett Cooper III,WSH,SS,FA,21,,,,,,,,,,,,,,,
Daniel Cope,COL,C,FA,27,,,,,,,,,,,,,,,
Raino Coran,CHC,OF,FA,22,,,,,,,,,,,,,,,
Ryan Cordell,(N/A),OF,FA,32,,,,,,,,,,,,,,,
Andretty Cordero,TEX,3B,FA,27,,,,,,,,,,,,,,,
Carlos Cordero,ATL,SS,FA,19,,,,,,,,,,,,,,,
Franchy Cordero,WSH,UT,FA,30,,,,,,,,,,,,,,,
Jacob Cordero,ARI,"2B,3B,SS",FA,30,,,,,,,,,,,,,,,
Jose Cordero,SD,OF,FA,21,,,,,,,,,,,,,,,
Allen Cordoba,(N/A),"SS,OF",FA,29,,,,,,,,,,,,,,,
Jose Cordoba,STL,OF,FA,22,,,,,,,,,,,,,,,
Jose Cordova,COL,"C,1B",FA,25,,,,,,,,,,,,,,,
Maykel Coret,TB,OF,FA,17,,,,,,,,,,,,,,,
Kevin Cornelius,NYY,"1B,3B",FA,32,,,,,,,,,,,,,,,
Enmanuel Corniel,BAL,OF,FA,18,,,,,,,,,,,,,,,
Juan Corniel,ARI,SS,FA,22,,,,,,,,,,,,,,,
Luis Corobo,MIL,C,FA,17,,,,,,,,,,,,,,,
Daniel Corona,(N/A),SS,FA,21,,,,,,,,,,,,,,,
Jorge Corona,CHW,C,FA,24,,,,,,,,,,,,,,,
Kenedy Corona,HOU,OF,FA,24,,,,,,,,,,,,,,,
Deivid Coronil,SD,SS,FA,17,,,,,,,,,,,,,,,
J.C. Correa,(N/A),SS,FA,26,,,,,,,,,,,,,,,
Jesus Correa,CIN,SS,FA,20,,,,,,,,,,,,,,,
Aldrem Corredor,PHI,1B,FA,29,,,,,,,,,,,,,,,
Carlos Cortes,ATH,OF,FA,27,,,,,,,,,,,,,,,
Brayan Cortesia,WSH,SS,FA,17,,,,,,,,,,,,,,,
Cesar Cortez,HOU,OF,FA,25,,,,,,,,,,,,,,,
Elian Cortorreal,ATL,SS,FA,20,,,,,,,,,,,,,,,
Teudis Cortorreal,BAL,OF,FA,21,,,,,,,,,,,,,,,
Andrew Cossetti,MIN,"C,1B",FA,25,,,,,,,,,,,,,,,
Jack Costello,SD,1B,FA,23,,,,,,,,,,,,,,,
Marty Costes,(N/A),OF,FA,29,,,,,,,,,,,,,,,
Maxwell Costes,(N/A),1B,FA,25,,,,,,,,,,,,,,,
Felix Cotes,TB,2B,FA,19,,,,,,,,,,,,,,,
Chase Cotton,(N/A),3B,FA,16,,,,,,,,,,,,,,,
Quin Cotton,(N/A),OF,FA,26,,,,,,,,,,,,,,,
Clint Coulter,STL,OF,FA,31,,,,,,,,,,,,,,,
Cam Coursey,ARI,"2B,SS",FA,26,,,,,,,,,,,,,,,
Ryan Court,(N/A),3B,FA,36,,,,,,,,,,,,,,,
Corey Cousin,KC,OF,FA,18,,,,,,,,,,,,,,,
Austin Cousino,SEA,OF,FA,31,,,,,,,,,,,,,,,
Matt Coutney,LAA,1B,FA,25,,,,,,,,,,,,,,,
Jackson Coutts,(N/A),"1B,OF",FA,26,,,,,,,,,,,,,,,
Luis Cova,MIA,OF,FA,18,,,,,,,,,,,,,,,
Ricardo Cova,SEA,OF,FA,20,,,,,,,,,,,,,,,
Kaleb Cowart,NYY,3B,FA,32,,,,,,,,,,,,,,,
Ben Cowles,CHC,"3B,SS",FA,25,,,,,,,,,,,,,,,
Brenner Cox,WSH,OF,FA,20,,,,,,,,,,,,,,,
Jonah Cox,SF,OF,FA,23,,,,,,,,,,,,,,,
Zack Cox,(N/A),3B,FA,35,,,,,,,,,,,,,,,
Bobby Coyle,LAD,OF,FA,35,,,,,,,,,,,,,,,
Sean Coyle,BOS,2B,FA,33,,,,,,,,,,,,,,,
Tommy Coyle,TB,2B,FA,34,,,,,,,,,,,,,,,
Jacob Cozart,CLE,C,FA,22,,,,,,,,,,,,,,,
Trendon Craig,BAL,OF,FA,24,,,,,,,,,,,,,,,
Will Craig,(N/A),1B,FA,30,,,,,,,,,,,,,,,
Trevor Craport,BAL,"3B,SS",FA,28,,,,,,,,,,,,,,,
Justin Crawford,PHI,OF,VLAD,21,,,,,,,,,,,,,,,
Landon Cray,TB,OF,FA,31,,,,,,,,,,,,,,,
Dustin Crenshaw,SEA,2B,FA,23,,,,,,,,,,,,,,,
Wyatt Crenshaw,ARI,2B,FA,24,,,,,,,,,,,,,,,
